## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:55:19
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Midi-Pyrénées
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : O0362510
## Nom station                      : Le Salat à Soueix-Rogalle [Kercabanac]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      553956 ;    6202677 ;      553998 ;    6202681 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      508071 ;    1767945 ;      508113 ;    1767949 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     1.21321 ;   42.90864 ;     1.21372 ;   42.90868 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      379.00 ;     384.54 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         464 ;        472 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     0.1 [%]
## Débits disponibles               :  1931-01-01 ; 2021-02-23 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19310101;   29200;   6.561;     9;     1
 19310102;   24500;   5.505;     9;     1
 19310103;   21200;   4.763;     9;     1
 19310104;   18200;   4.089;     9;     1
 19310105;   18200;   4.089;     9;     1
 19310106;   15000;   3.370;     9;     1
 19310107;   13300;   2.988;     9;     1
 19310108;   12100;   2.719;     9;     1
 19310109;   10900;   2.449;     9;     1
 19310110;   10200;   2.292;     9;     1
 19310111;    9550;   2.146;     9;     1
 19310112;    8540;   1.919;     9;     1
 19310113;    8230;   1.849;     9;     1
 19310114;    7610;   1.710;     9;     1
 19310115;    7300;   1.640;     9;     1
 19310116;    7300;   1.640;     9;     1
 19310117;    8850;   1.988;     9;     1
 19310118;   30400;   6.830;     9;     1
 19310119;   19200;   4.314;     9;     1
 19310120;   14600;   3.280;     9;     1
 19310121;   12500;   2.809;     9;     1
 19310122;   10900;   2.449;     9;     1
 19310123;   10900;   2.449;     9;     1
 19310124;   10600;   2.382;     9;     1
 19310125;   33500;   7.527;     9;     1
 19310126;   29200;   6.561;     9;     1
 19310127;   24000;   5.392;     9;     1
 19310128;   24000;   5.392;     9;     1
 19310129;   20200;   4.539;     9;     1
 19310130;   18700;   4.202;     9;     1
 19310131;   16700;   3.752;     9;     1
 19310201;   20200;   4.539;     9;     1
 19310202;   18200;   4.089;     9;     1
 19310203;   14600;   3.280;     9;     1
 19310204;   13300;   2.988;     9;     1
 19310205;   11700;   2.629;     9;     1
 19310206;   10600;   2.382;     9;     1
 19310207;   14600;   3.280;     9;     1
 19310208;   14600;   3.280;     9;     1
 19310209;   13300;   2.988;     9;     1
 19310210;   14600;   3.280;     9;     1
 19310211;   25100;   5.640;     9;     1
 19310212;   19200;   4.314;     9;     1
 19310213;   44100;   9.909;     9;     1
 19310214;   28600;   6.426;     9;     1
 19310215;   20700;   4.651;     9;     1
 19310216;   20700;   4.651;     9;     1
 19310217;   21700;   4.876;     9;     1
 19310218;   18700;   4.202;     9;     1
 19310219;   15400;   3.460;     9;     1
 19310220;   14200;   3.191;     9;     1
 19310221;   12900;   2.898;     9;     1
 19310222;   15900;   3.572;     9;     1
 19310223;   13300;   2.988;     9;     1
 19310224;   11700;   2.629;     9;     1
 19310225;   10900;   2.449;     9;     1
 19310226;   10600;   2.382;     9;     1
 19310227;   11300;   2.539;     9;     1
 19310228;   12900;   2.898;     9;     1
 19310301;   15400;   3.460;     9;     1
 19310302;   16700;   3.752;     9;     1
 19310303;   21700;   4.876;     9;     1
 19310304;   28000;   6.291;     9;     1
 19310305;   36700;   8.246;     9;     1
 19310306;   42700;   9.594;     9;     1
 19310307;   42700;   9.594;     9;     1
 19310308;   40000;   8.987;     9;     1
 19310309;   34800;   7.819;     9;     1
 19310310;   38000;   8.538;     9;     1
 19310311;   33500;   7.527;     9;     1
 19310312;   26800;   6.022;     9;     1
 19310313;   24000;   5.392;     9;     1
 19310314;   21700;   4.876;     9;     1
 19310315;   22800;   5.123;     9;     1
 19310316;   21700;   4.876;     9;     1
 19310317;   23400;   5.258;     9;     1
 19310318;   23400;   5.258;     9;     1
 19310319;   25100;   5.640;     9;     1
 19310320;   46800;  10.515;     9;     1
 19310321;   48900;  10.987;     9;     1
 19310322;   38700;   8.695;     9;     1
 19310323;   31000;   6.965;     9;     1
 19310324;   29800;   6.696;     9;     1
 19310325;   26200;   5.887;     9;     1
 19310326;   26700;   5.999;     9;     1
 19310327;   25100;   5.640;     9;     1
 19310328;   24000;   5.392;     9;     1
 19310329;   22800;   5.123;     9;     1
 19310330;   24500;   5.505;     9;     1
 19310331;   26200;   5.887;     9;     1
 19310401;   23400;   5.258;     9;     1
 19310402;   40000;   8.987;     9;     1
 19310403;   35400;   7.954;     9;     1
 19310404;   23400;   5.258;     9;     1
 19310405;   20200;   4.539;     9;     1
 19310406;   19200;   4.314;     9;     1
 19310407;   19200;   4.314;     9;     1
 19310408;   19200;   4.314;     9;     1
 19310409;   20200;   4.539;     9;     1
 19310410;   28600;   6.426;     9;     1
 19310411;   28000;   6.291;     9;     1
 19310412;   28000;   6.291;     9;     1
 19310413;   27400;   6.156;     9;     1
 19310414;   22800;   5.123;     9;     1
 19310415;   20700;   4.651;     9;     1
 19310416;   20700;   4.651;     9;     1
 19310417;   16700;   3.752;     9;     1
 19310418;   15000;   3.370;     9;     1
