## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:55:52
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Midi-Pyrénées
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : O1442910
## Nom station                      : L'Hers Vif au Peyrat
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      613051 ;    6206682 ;      613066 ;    6206683 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      567198 ;    1772448 ;      567213 ;    1772449 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     1.93543 ;   42.95424 ;     1.93562 ;   42.95425 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      190.00 ;     191.46 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         413 ;        417 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       0 [%]
## Débits disponibles               :  1962-01-01 ; 2021-02-23 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19620101;    1700;   0.767;     9;     1
 19620102;    1600;   0.722;     9;     1
 19620103;    1600;   0.722;     9;     1
 19620104;    1600;   0.722;     9;     1
 19620105;    1600;   0.722;     9;     1
 19620106;    1700;   0.767;     9;     1
 19620107;    1800;   0.812;     9;     1
 19620108;    1700;   0.767;     9;     1
 19620109;    1700;   0.767;     9;     1
 19620110;    1800;   0.812;     9;     1
 19620111;    2600;   1.173;     9;     1
 19620112;    4100;   1.850;     9;     1
 19620113;    3200;   1.444;     9;     1
 19620114;    3500;   1.579;     9;     1
 19620115;    4400;   1.986;     9;     1
 19620116;    3600;   1.625;     9;     1
 19620117;    3300;   1.489;     9;     1
 19620118;    2900;   1.309;     9;     1
 19620119;    5900;   2.662;     9;     1
 19620120;    5700;   2.572;     9;     1
 19620121;    4100;   1.850;     9;     1
 19620122;    3800;   1.715;     9;     1
 19620123;    3800;   1.715;     9;     1
 19620124;    3500;   1.579;     9;     1
 19620125;    3500;   1.579;     9;     1
 19620126;    4400;   1.986;     9;     1
 19620127;    4300;   1.940;     9;     1
 19620128;    4100;   1.850;     9;     1
 19620129;    3600;   1.625;     9;     1
 19620130;    3300;   1.489;     9;     1
 19620131;    2900;   1.309;     9;     1
 19620201;    2900;   1.309;     9;     1
 19620202;    2800;   1.264;     9;     1
 19620203;    2500;   1.128;     9;     1
 19620204;    3000;   1.354;     9;     1
 19620205;    4100;   1.850;     9;     1
 19620206;    3600;   1.625;     9;     1
 19620207;    3500;   1.579;     9;     1
 19620208;    4100;   1.850;     9;     1
 19620209;    5900;   2.662;     9;     1
 19620210;    4900;   2.211;     9;     1
 19620211;    4100;   1.850;     9;     1
 19620212;    3500;   1.579;     9;     1
 19620213;    3600;   1.625;     9;     1
 19620214;    7200;   3.249;     9;     1
 19620215;    5100;   2.301;     9;     1
 19620216;    4100;   1.850;     9;     1
 19620217;    3900;   1.760;     9;     1
 19620218;    3800;   1.715;     9;     1
 19620219;    3600;   1.625;     9;     1
 19620220;    3600;   1.625;     9;     1
 19620221;    3600;   1.625;     9;     1
 19620222;    3600;   1.625;     9;     1
 19620223;    3500;   1.579;     9;     1
 19620224;    3300;   1.489;     9;     1
 19620225;    3200;   1.444;     9;     1
 19620226;    3200;   1.444;     9;     1
 19620227;    3000;   1.354;     9;     0
 19620228;    3000;   1.354;     9;     0
 19620301;    3000;   1.354;     9;     0
 19620302;    3000;   1.354;     9;     0
 19620303;    3000;   1.354;     9;     0
 19620304;    3300;   1.489;     9;     1
 19620305;    4100;   1.850;     9;     1
 19620306;    3800;   1.715;     9;     1
 19620307;    3500;   1.579;     9;     1
 19620308;    3500;   1.579;     9;     1
 19620309;    3600;   1.625;     9;     1
 19620310;    3900;   1.760;     9;     1
 19620311;    4300;   1.940;     9;     1
 19620312;    4400;   1.986;     9;     1
 19620313;    5500;   2.482;     9;     1
 19620314;    5100;   2.301;     9;     1
 19620315;    4400;   1.986;     5;     1
 19620316;    4100;   1.850;     5;     1
 19620317;    3900;   1.760;     5;     1
 19620318;    3600;   1.625;     5;     1
 19620319;    3500;   1.579;     9;     1
 19620320;    3300;   1.489;     9;     1
 19620321;    3300;   1.489;     9;     1
 19620322;    3200;   1.444;     9;     1
 19620323;    3000;   1.354;     9;     1
 19620324;    2900;   1.309;     9;     1
