## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:55:57
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Midi-Pyrénées
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : O1484320
## Nom station                      : La Touyre à Montferrier [2]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      599924 ;    6199493 ;      599920 ;    6199501 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      554117 ;    1765141 ;      554113 ;    1765149 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     1.77611 ;   42.88789 ;     1.77606 ;   42.88796 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :       29.20 ;      28.97 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         768 ;        786 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     0.1 [%]
## Débits disponibles               :  1969-10-23 ; 2021-02-23 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19691023;     360;   1.074;     9;     1
 19691024;     360;   1.074;     9;     1
 19691025;     380;   1.133;     9;     1
 19691026;     360;   1.074;     9;     1
 19691027;     360;   1.074;     9;     1
 19691028;     340;   1.014;     9;     1
 19691029;     340;   1.014;     9;     1
 19691030;     340;   1.014;     9;     1
 19691031;     340;   1.014;     9;     1
 19691101;     320;   0.954;     9;     0
 19691102;     320;   0.954;     9;     0
 19691103;     320;   0.954;     9;     0
 19691104;     320;   0.954;     9;     0
 19691105;     320;   0.954;     9;     0
 19691106;     320;   0.954;     9;     0
 19691107;     300;   0.895;     9;     1
 19691108;     300;   0.895;     9;     1
 19691109;     300;   0.895;     9;     1
 19691110;     320;   0.954;     9;     0
 19691111;     320;   0.954;     9;     0
 19691112;     320;   0.954;     9;     0
 19691113;     320;   0.954;     9;     0
 19691114;     320;   0.954;     9;     0
 19691115;     320;   0.954;     9;     0
 19691116;     320;   0.954;     9;     0
 19691117;     300;   0.895;     9;     1
 19691118;     300;   0.895;     9;     1
 19691119;     320;   0.954;     9;     1
 19691120;     300;   0.895;     9;     1
 19691121;     320;   0.954;     9;     1
 19691122;     300;   0.895;     9;     1
 19691123;     340;   1.014;     9;     1
 19691124;     340;   1.014;     9;     1
 19691125;     320;   0.954;     9;     1
 19691126;     300;   0.895;     9;     1
 19691127;     300;   0.895;     9;     1
 19691128;     300;   0.895;     9;     1
 19691129;     300;   0.895;     9;     1
 19691130;     320;   0.954;     9;     1
 19691201;     300;   0.895;     9;     1
 19691202;     300;   0.895;     9;     1
 19691203;     890;   2.654;     9;     1
 19691204;    4820;  14.375;     9;     1
 19691205;    2020;   6.024;     9;     1
 19691206;    1230;   3.668;     9;     1
 19691207;    1060;   3.161;     9;     1
 19691208;     950;   2.833;     9;     1
 19691209;     835;   2.490;     9;     1
 19691210;     740;   2.207;     9;     1
 19691211;     705;   2.103;     9;     1
 19691212;     665;   1.983;     9;     1
 19691213;     630;   1.879;     9;     1
 19691214;     590;   1.760;     9;     1
 19691215;    1000;   2.982;     9;     1
 19691216;    2020;   6.024;     9;     1
 19691217;    1680;   5.010;     9;     1
 19691218;    1680;   5.010;     9;     1
 19691219;    4380;  13.063;     9;     1
 19691220;    5350;  15.956;     9;     1
 19691221;    3240;   9.663;     9;     1
 19691222;    2550;   7.605;     9;     1
 19691223;    2110;   6.293;     9;     1
 19691224;    1770;   5.279;     9;     1
 19691225;    1600;   4.772;     9;     1
 19691226;    1510;   4.503;     9;     1
 19691227;    1340;   3.996;     9;     1
 19691228;    1230;   3.668;     9;     1
 19691229;    1110;   3.310;     9;     1
 19691230;    1110;   3.310;     9;     1
 19691231;    1000;   2.982;     9;     1
 19700101;     950;   2.833;     9;     1
 19700102;     890;   2.654;     9;     1
 19700103;     835;   2.490;     9;     1
 19700104;    1000;   2.982;     9;     1
 19700105;    1110;   3.310;     9;     1
 19700106;    1110;   3.310;     9;     1
 19700107;    1110;   3.310;     9;     1
 19700108;    1940;   5.786;     9;     1
 19700109;    2200;   6.561;     9;     1
 19700110;    2110;   6.293;     9;     1
 19700111;    1940;   5.786;     9;     1
 19700112;    1680;   5.010;     9;     1
 19700113;    1510;   4.503;     9;     1
 19700114;    1420;   4.235;     9;     1
 19700115;    1340;   3.996;     9;     1
 19700116;    1280;   3.817;     9;     1
