## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:56:32
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Midi-Pyrénées
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : O3006710
## Nom station                      : La Goudech à Saint-Maurice-de-Ventalon [La Cépède]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      762873 ;    6360569 ;      762906 ;    6360458 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      715880 ;    1927760 ;      715913 ;    1927649 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     3.78863 ;   44.34133 ;     3.78902 ;   44.34032 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :        10.0 ;       10.1 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :        1008 ;       1026 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     0.9 [%]
## Débits disponibles               :  1949-09-01 ; 2021-01-31 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19490901;      30;   0.257;     9;     0
 19490902;      30;   0.257;     9;     0
 19490903;      30;   0.257;     9;     0
 19490904;      30;   0.257;     9;     0
 19490905;      30;   0.257;     9;     0
 19490906;      50;   0.428;     9;     1
 19490907;      50;   0.428;     9;     1
 19490908;      50;   0.428;     9;     1
 19490909;      70;   0.599;     9;     1
 19490910;      70;   0.599;     9;     1
 19490911;      50;   0.428;     9;     0
 19490912;      50;   0.428;     9;     0
 19490913;      50;   0.428;     9;     0
 19490914;      50;   0.428;     9;     0
 19490915;      50;   0.428;     9;     0
 19490916;      50;   0.428;     9;     0
 19490917;      50;   0.428;     9;     0
 19490918;      50;   0.428;     9;     0
 19490919;      30;   0.257;     9;     1
 19490920;      50;   0.428;     9;     0
 19490921;      50;   0.428;     9;     0
 19490922;      50;   0.428;     9;     0
 19490923;      50;   0.428;     9;     0
 19490924;      50;   0.428;     9;     0
 19490925;      70;   0.599;     9;     1
 19490926;      50;   0.428;     9;     0
 19490927;      50;   0.428;     9;     0
 19490928;      50;   0.428;     9;     0
 19490929;      50;   0.428;     9;     0
 19490930;      50;   0.428;     9;     0
 19491001;     480;   4.106;     9;     1
 19491002;     260;   2.224;     9;     1
 19491003;     220;   1.882;     9;     1
 19491004;     180;   1.540;     9;     1
 19491005;     150;   1.283;     9;     1
 19491006;     150;   1.283;     9;     1
 19491007;     150;   1.283;     9;     1
 19491008;     440;   3.764;     9;     1
 19491009;     390;   3.336;     9;     1
 19491010;     300;   2.566;     9;     1
 19491011;     260;   2.224;     9;     1
 19491012;     220;   1.882;     9;     1
 19491013;     220;   1.882;     9;     1
 19491014;     180;   1.540;     9;     1
 19491015;     150;   1.283;     9;     1
 19491016;     150;   1.283;     9;     1
 19491017;     120;   1.027;     9;     1
 19491018;      90;   0.770;     9;     1
 19491019;      70;   0.599;     9;     1
 19491020;      90;   0.770;     9;     1
 19491021;     150;   1.283;     9;     1
 19491022;     150;   1.283;     9;     1
 19491023;     150;   1.283;     9;     1
 19491024;     120;   1.027;     9;     1
 19491025;     150;   1.283;     9;     1
 19491026;     180;   1.540;     9;     0
 19491027;     180;   1.540;     9;     0
 19491028;     180;   1.540;     9;     0
 19491029;     180;   1.540;     9;     0
 19491030;     180;   1.540;     9;     0
 19491031;     180;   1.540;     9;     0
 19491101;     180;   1.540;     9;     0
 19491102;     150;   1.283;     9;     1
 19491103;     150;   1.283;     9;     1
 19491104;     150;   1.283;     9;     1
 19491105;     150;   1.283;     9;     1
 19491106;     120;   1.027;     9;     1
 19491107;     180;   1.540;     9;     1
 19491108;     150;   1.283;     9;     1
 19491109;    1150;   9.838;     9;     1
 19491110;     150;   1.283;     9;     0
 19491111;     150;   1.283;     9;     0
 19491112;     150;   1.283;     9;     0
 19491113;     150;   1.283;     9;     0
 19491114;     150;   1.283;     9;     0
 19491115;     150;   1.283;     9;     0
 19491116;     150;   1.283;     9;     0
 19491117;     150;   1.283;     9;     0
 19491118;     150;   1.283;     9;     0
 19491119;    2540;  21.728;     9;     1
 19491120;    5050;  43.200;     9;     1
 19491121;    2420;  20.702;     9;     1
 19491122;    2020;  17.280;     9;     1
 19491123;    1660;  14.200;     9;     1
 19491124;    1480;  12.661;     9;     1
 19491125;    1330;  11.377;     9;     1
 19491126;    1180;  10.094;     9;     1
 19491127;    1030;   8.811;     9;     1
