## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:56:33
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Midi-Pyrénées
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : O3011010
## Nom station                      : Le Tarn au Pont-de-Montvert [Fontchalettes]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      760125 ;    6362780 ;      760128 ;    6362779 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      713110 ;    1929950 ;      713113 ;    1929949 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     3.75443 ;   44.36147 ;     3.75446 ;   44.36146 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :       67.00 ;      65.03 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         905 ;        927 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     1.2 [%]
## Débits disponibles               :  1948-01-01 ; 2021-01-31 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19480101;    2000;   2.657;     9;     1
 19480102;    2000;   2.657;     9;     1
 19480103;    2000;   2.657;     9;     1
 19480104;    2000;   2.657;     9;     1
 19480105;    2500;   3.322;     9;     1
 19480106;    3000;   3.986;     9;     1
 19480107;    3800;   5.049;     9;     1
 19480108;    3500;   4.650;     9;     1
 19480109;    3300;   4.384;     9;     1
 19480110;    2500;   3.322;     9;     1
 19480111;    2500;   3.322;     9;     1
 19480112;    2500;   3.322;     9;     1
 19480113;    2500;   3.322;     9;     1
 19480114;    1750;   2.325;     9;     1
 19480115;    1500;   1.993;     9;     1
 19480116;    1500;   1.993;     9;     1
 19480117;    1400;   1.860;     9;     1
 19480118;    1400;   1.860;     9;     1
 19480119;    1200;   1.594;     9;     1
 19480120;    1750;   2.325;     9;     1
 19480121;    1650;   2.192;     9;     1
 19480122;    1500;   1.993;     9;     1
 19480123;    1750;   2.325;     9;     1
 19480124;    2000;   2.657;     9;     1
 19480125;    3500;   4.650;     9;     1
 19480126;    3800;   5.049;     9;     1
 19480127;    7500;   9.965;     9;     1
 19480128;   10500;  13.950;     9;     1
 19480129;    9600;  12.755;     9;     1
 19480130;    8700;  11.559;     9;     1
 19480131;    7000;   9.300;     9;     1
 19480201;    6000;   7.972;     9;     1
 19480202;    5100;   6.776;     9;     1
 19480203;    5100;   6.776;     9;     1
 19480204;    3800;   5.049;     9;     1
 19480205;    3500;   4.650;     9;     1
 19480206;    3500;   4.650;     9;     1
 19480207;    3300;   4.384;     9;     1
 19480208;    3300;   4.384;     9;     1
 19480209;    3000;   3.986;     9;     1
 19480210;    2800;   3.720;     9;     1
 19480211;    2700;   3.587;     9;     1
 19480212;    2500;   3.322;     9;     1
 19480213;    2500;   3.322;     9;     1
 19480214;    2500;   3.322;     9;     1
 19480215;    2500;   3.322;     9;     1
 19480216;    2700;   3.587;     9;     1
 19480217;    2700;   3.587;     9;     1
 19480218;    2700;   3.587;     9;     1
 19480219;    2500;   3.322;     9;     1
 19480220;    2300;   3.056;     9;     1
 19480221;    2200;   2.923;     9;     1
 19480222;    2200;   2.923;     9;     1
 19480223;    2200;   2.923;     9;     1
 19480224;    2000;   2.657;     9;     1
 19480225;    1900;   2.524;     9;     1
 19480226;    1900;   2.524;     9;     1
 19480227;    1750;   2.325;     9;     1
 19480228;    1750;   2.325;     9;     1
 19480229;    1650;   2.192;     9;     1
 19480301;    1650;   2.192;     9;     1
 19480302;    1750;   2.325;     9;     1
 19480303;    1500;   1.993;     9;     1
 19480304;    1400;   1.860;     9;     1
 19480305;    1400;   1.860;     9;     1
 19480306;    1400;   1.860;     9;     1
 19480307;    1500;   1.993;     9;     1
 19480308;    1400;   1.860;     9;     1
 19480309;    1400;   1.860;     9;     1
 19480310;    1200;   1.594;     9;     1
 19480311;    1100;   1.461;     9;     1
 19480312;    1050;   1.395;     9;     0
 19480313;    1050;   1.395;     9;     0
 19480314;    1050;   1.395;     9;     0
 19480315;    1050;   1.395;     9;     0
 19480316;    1050;   1.395;     9;     0
 19480317;     970;   1.289;     9;     1
 19480318;    1000;   1.329;     9;     1
 19480319;     970;   1.289;     9;     1
 19480320;     970;   1.289;     9;     1
 19480321;    1050;   1.395;     9;     1
 19480322;     970;   1.289;     9;     1
 19480323;     970;   1.289;     9;     1
 19480324;     970;   1.289;     9;     1
