## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:56:43
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Midi-Pyrénées
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : O3141010
## Nom station                      : Le Tarn à Mostuéjouls [La Muse]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      717773 ;    6345746 ;      717826 ;    6345755 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      670860 ;    1912540 ;      670913 ;    1912549 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     3.22241 ;   44.21050 ;     3.22308 ;   44.21058 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      925.00 ;     944.86 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         388 ;        405 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       0 [%]
## Débits disponibles               :  1913-01-01 ; 2020-11-30 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19130101;   24300;   2.222;     9;     1
 19130102;   23300;   2.131;     9;     1
 19130103;   23300;   2.131;     9;     1
 19130104;   24800;   2.268;     9;     1
 19130105;   24300;   2.222;     9;     1
 19130106;   84000;   7.681;     9;     1
 19130107;   84000;   7.681;     9;     1
 19130108;  109000;   9.967;     9;     1
 19130109;  149000;  13.625;     9;     1
 19130110;  110000;  10.059;     9;     1
 19130111;  100000;   9.144;     9;     1
 19130112;   80500;   7.361;     9;     1
 19130113;   74000;   6.767;     9;     1
 19130114;   62000;   5.669;     9;     1
 19130115;   59500;   5.441;     9;     1
 19130116;   51500;   4.709;     9;     1
 19130117;   44800;   4.097;     9;     1
 19130118;   45600;   4.170;     9;     1
 19130119;   46400;   4.243;     9;     1
 19130120;   45600;   4.170;     9;     1
 19130121;   44000;   4.023;     9;     1
 19130122;   55000;   5.029;     9;     1
 19130123;   48800;   4.462;     9;     1
 19130124;   54000;   4.938;     9;     1
 19130125;   47200;   4.316;     9;     1
 19130126;   41600;   3.804;     9;     1
 19130127;   38700;   3.539;     9;     1
 19130128;   35900;   3.283;     9;     1
 19130129;   36600;   3.347;     9;     1
 19130130;   35200;   3.219;     9;     1
 19130131;   43200;   3.950;     9;     1
 19130201;   50500;   4.618;     9;     1
 19130202;   46400;   4.243;     9;     1
 19130203;   40800;   3.731;     9;     1
 19130204;   38000;   3.475;     9;     1
 19130205;   35900;   3.283;     9;     1
 19130206;   35200;   3.219;     9;     1
 19130207;   33200;   3.036;     9;     1
 19130208;   30200;   2.762;     9;     1
 19130209;   28400;   2.597;     9;     1
 19130210;   27300;   2.496;     9;     1
 19130211;   26300;   2.405;     9;     1
 19130212;   24800;   2.268;     9;     1
 19130213;   23800;   2.176;     9;     1
 19130214;   23300;   2.131;     9;     1
 19130215;   22800;   2.085;     9;     1
 19130216;   22300;   2.039;     9;     1
 19130217;   21300;   1.948;     9;     1
 19130218;   21800;   1.993;     9;     1
 19130219;   21300;   1.948;     9;     1
 19130220;   20800;   1.902;     9;     1
 19130221;   21300;   1.948;     9;     1
 19130222;   20400;   1.865;     9;     1
 19130223;   20000;   1.829;     9;     1
 19130224;   19600;   1.792;     9;     1
 19130225;   20400;   1.865;     9;     1
 19130226;   20000;   1.829;     9;     1
 19130227;   25300;   2.313;     9;     1
 19130228;   31400;   2.871;     9;     1
 19130301;   29600;   2.707;     9;     1
 19130302;   27900;   2.551;     9;     1
 19130303;   25800;   2.359;     9;     1
 19130304;   24800;   2.268;     9;     1
 19130305;   28400;   2.597;     9;     1
 19130306;   29600;   2.707;     9;     1
 19130307;   30800;   2.816;     9;     1
 19130308;   33200;   3.036;     9;     1
 19130309;   43200;   3.950;     9;     1
 19130310;   34500;   3.155;     9;     1
 19130311;   30200;   2.762;     9;     1
 19130312;   29600;   2.707;     9;     1
 19130313;   31400;   2.871;     9;     1
 19130314;   30200;   2.762;     9;     1
 19130315;   29600;   2.707;     9;     1
 19130316;   30200;   2.762;     9;     1
 19130317;   28400;   2.597;     9;     1
 19130318;   30200;   2.762;     9;     1
 19130319;   30800;   2.816;     9;     1
 19130320;   28400;   2.597;     9;     1
 19130321;   30200;   2.762;     9;     1
 19130322;   33200;   3.036;     9;     1
 19130323;   88000;   8.047;     9;     1
 19130324;   94000;   8.596;     9;     1
