## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:56:46
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Midi-Pyrénées
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : O3194010
## Nom station                      : La Jonte à Meyrueis [aval]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      734119 ;    6342501 ;      734082 ;    6342520 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      687250 ;    1909430 ;      687213 ;    1909449 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     3.42675 ;   44.18069 ;     3.42629 ;   44.18086 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      102.00 ;      98.21 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         693 ;        704 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       0 [%]
## Débits disponibles               :  1969-09-18 ; 2021-01-31 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19690918;    2630;   2.314;     9;     1
 19690919;    2520;   2.217;     9;     1
 19690920;    3050;   2.683;     9;     1
 19690921;    2650;   2.331;     9;     1
 19690922;    2280;   2.006;     9;     1
 19690923;    2110;   1.856;     9;     1
 19690924;    1990;   1.751;     9;     1
 19690925;    1870;   1.645;     9;     1
 19690926;    1760;   1.548;     9;     1
 19690927;    1640;   1.443;     9;     1
 19690928;    1540;   1.355;     9;     1
 19690929;    1460;   1.284;     9;     1
 19690930;    1370;   1.205;     9;     1
 19691001;    1290;   1.135;     9;     1
 19691002;    1200;   1.056;     9;     1
 19691003;    1120;   0.985;     9;     1
 19691004;    1050;   0.924;     9;     1
 19691005;     981;   0.863;     9;     1
 19691006;     911;   0.801;     9;     1
 19691007;     847;   0.745;     9;     1
 19691008;     815;   0.717;     9;     1
 19691009;     787;   0.692;     9;     1
 19691010;     761;   0.669;     9;     1
 19691011;     737;   0.648;     9;     1
 19691012;     712;   0.626;     9;     1
 19691013;     689;   0.606;     9;     1
 19691014;    3190;   2.806;     9;     1
 19691015;    2260;   1.988;     9;     1
 19691016;    1840;   1.619;     9;     1
 19691017;    1550;   1.364;     9;     1
 19691018;    3170;   2.789;     9;     1
 19691019;   29900;  26.304;     5;     1
 19691020;   32000;  28.152;     9;     1
 19691021;   32600;  28.680;     9;     1
 19691022;   24600;  21.642;     9;     1
 19691023;   16700;  14.692;     9;     1
 19691024;   10300;   9.061;     9;     1
 19691025;    7690;   6.765;     9;     1
 19691026;    6370;   5.604;     9;     1
 19691027;    5100;   4.487;     9;     1
 19691028;    3980;   3.501;     9;     1
 19691029;    3390;   2.982;     9;     1
 19691030;    2910;   2.560;     9;     1
 19691031;    2490;   2.191;     9;     1
 19691101;    2140;   1.883;     9;     1
 19691102;    1910;   1.680;     9;     1
 19691103;    1680;   1.478;     9;     1
 19691104;    1500;   1.320;     9;     1
 19691105;    1450;   1.276;     9;     1
 19691106;    1450;   1.276;     9;     1
 19691107;    1450;   1.276;     9;     1
 19691108;    1450;   1.276;     9;     1
 19691109;    1460;   1.284;     9;     1
 19691110;    1590;   1.399;     9;     1
 19691111;    1670;   1.469;     9;     1
 19691112;    1740;   1.531;     9;     1
 19691113;    1790;   1.575;     9;     1
 19691114;    1760;   1.548;     9;     1
 19691115;    1720;   1.513;     9;     1
 19691116;    1680;   1.478;     9;     1
 19691117;    1640;   1.443;     9;     1
 19691118;    1610;   1.416;     9;     1
 19691119;    1600;   1.408;     9;     1
 19691120;    1600;   1.408;     9;     1
 19691121;    1600;   1.408;     9;     1
 19691122;    4190;   3.686;     9;     1
 19691123;   11900;  10.469;     9;     1
 19691124;   21100;  18.563;     9;     1
 19691125;   13100;  11.525;     9;     1
 19691126;    9440;   8.305;     9;     1
 19691127;    7360;   6.475;     9;     1
 19691128;    5810;   5.111;     9;     1
 19691129;    4800;   4.223;     9;     1
 19691130;    4000;   3.519;     9;     1
 19691201;    3320;   2.921;     9;     1
 19691202;    2780;   2.446;     9;     1
 19691203;    2720;   2.393;     9;     1
 19691204;    3950;   3.475;     9;     1
 19691205;    3300;   2.903;     9;     1
 19691206;    2650;   2.331;     9;     1
 19691207;    2430;   2.138;     9;     1
 19691208;    2220;   1.953;     9;     1
 19691209;    2110;   1.856;     9;     1
