## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:56:49
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Midi-Pyrénées
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : O3314010
## Nom station                      : La Dourbie à Dourbies [Le Mazet-récent]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      737351 ;    6330221 ;      737375 ;    6330205 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      690589 ;    1897165 ;      690613 ;    1897149 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     3.46626 ;   44.07000 ;     3.46656 ;   44.06985 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :       42.90 ;      40.81 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         950 ;        969 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     4.2 [%]
## Débits disponibles               :  1960-01-01 ; 2021-01-31 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19600101;    4850;  10.268;     9;     1
 19600102;    5350;  11.327;     9;     1
 19600103;    6150;  13.020;     9;     1
 19600104;    6000;  12.703;     9;     1
 19600105;    5350;  11.327;     9;     1
 19600106;    4850;  10.268;     9;     1
 19600107;    4050;   8.574;     9;     1
 19600108;    3510;   7.431;     9;     1
 19600109;    3030;   6.415;     9;     1
 19600110;    2600;   5.505;     9;     1
 19600111;    2410;   5.102;     9;     1
 19600112;    2130;   4.509;     9;     1
 19600113;    2040;   4.319;     5;     1
 19600114;    2040;   4.319;     5;     1
 19600115;    2040;   4.319;     5;     1
 19600116;    2130;   4.509;     5;     1
 19600117;    2130;   4.509;     5;     1
 19600118;    2130;   4.509;     9;     1
 19600119;    2130;   4.509;     9;     1
 19600120;    1950;   4.128;     9;     1
 19600121;    1610;   3.409;     9;     1
 19600122;    1380;   2.922;     9;     1
 19600123;    1610;   3.409;     9;     1
 19600124;    2310;   4.891;     9;     1
 19600125;   13100;  27.734;     9;     1
 19600126;   10200;  21.595;     9;     1
 19600127;   27500;  58.221;     9;     1
 19600128;   31600;  66.901;     9;     1
 19600129;   15000;  31.757;     9;     1
 19600130;    9700;  20.536;     9;     1
 19600131;    6750;  14.291;     9;     1
 19600201;    5350;  11.327;     9;     1
 19600202;    4530;   9.591;     9;     1
 19600203;    3780;   8.003;     9;     1
 19600204;    3260;   6.902;     9;     1
 19600205;    2910;   6.161;     9;     1
 19600206;    2510;   5.314;     9;     1
 19600207;    2310;   4.891;     9;     1
 19600208;    2040;   4.319;     9;     1
 19600209;    1870;   3.959;     9;     1
 19600210;    1700;   3.599;     9;     1
 19600211;    2310;   4.891;     9;     1
 19600212;    2220;   4.700;     9;     1
 19600213;    1870;   3.959;     9;     1
 19600214;    1700;   3.599;     9;     1
 19600215;    1610;   3.409;     9;     1
 19600216;    1530;   3.239;     9;     1
 19600217;    1780;   3.768;     9;     1
 19600218;    2130;   4.509;     9;     1
 19600219;    1950;   4.128;     9;     1
 19600220;    1870;   3.959;     9;     1
 19600221;    1870;   3.959;     9;     1
 19600222;    3780;   8.003;     9;     1
 19600223;    3030;   6.415;     9;     1
 19600224;    2910;   6.161;     9;     1
 19600225;    3030;   6.415;     9;     1
 19600226;    2800;   5.928;     9;     1
 19600227;    2700;   5.716;     9;     1
 19600228;    2600;   5.505;     9;     1
 19600229;    2510;   5.314;     9;     1
 19600301;    2410;   5.102;     9;     1
 19600302;    2410;   5.102;     9;     1
 19600303;    2600;   5.505;     9;     1
 19600304;    2310;   4.891;     9;     1
 19600305;    2220;   4.700;     9;     1
 19600306;    2130;   4.509;     9;     1
 19600307;    2130;   4.509;     9;     1
 19600308;    2040;   4.319;     9;     1
 19600309;    2700;   5.716;     9;     1
 19600310;    4210;   8.913;     9;     1
 19600311;    3910;   8.278;     9;     1
 19600312;    3510;   7.431;     9;     1
 19600313;    3910;   8.278;     9;     1
 19600314;    9200;  19.478;     9;     1
 19600315;   23800;  50.388;     9;     1
 19600316;   17100;  36.203;     9;     1
 19600317;   12200;  25.829;     9;     1
 19600318;    9200;  19.478;     9;     1
 19600319;    6750;  14.291;     9;     1
 19600320;    5500;  11.644;     9;     1
 19600321;    4690;   9.929;     9;     1
 19600322;    3910;   8.278;     9;     1
 19600323;    3510;   7.431;     9;     1
