## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:56:51
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) EDF
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : O3364010
## Nom station                      : La Dourbie à Nant [Pont de Gardies]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      723246 ;    6330462 ;      723191 ;    6330425 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      676468 ;    1897287 ;      676413 ;    1897249 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     3.29020 ;   44.07278 ;     3.28951 ;   44.07244 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      300.00 ;     427.64 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         433 ;        446 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     0.1 [%]
## Débits disponibles               :  1962-01-01 ; 2017-12-31 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19620101;    4590;   0.927;     9;     1
 19620102;    4450;   0.899;     9;     1
 19620103;    4450;   0.899;     9;     1
 19620104;    5400;   1.091;     9;     1
 19620105;    4860;   0.982;     9;     1
 19620106;    4720;   0.954;     9;     1
 19620107;    4590;   0.927;     9;     1
 19620108;    4590;   0.927;     9;     1
 19620109;    4450;   0.899;     9;     1
 19620110;    4450;   0.899;     9;     1
 19620111;    4590;   0.927;     9;     1
 19620112;    4860;   0.982;     9;     1
 19620113;    6060;   1.224;     9;     1
 19620114;    5620;   1.135;     9;     1
 19620115;    5260;   1.063;     9;     1
 19620116;    4990;   1.008;     9;     1
 19620117;    5620;   1.135;     9;     1
 19620118;   21000;   4.243;     9;     1
 19620119;   31300;   6.324;     9;     1
 19620120;   23100;   4.667;     9;     1
 19620121;   18400;   3.718;     9;     1
 19620122;   16100;   3.253;     9;     1
 19620123;   14000;   2.829;     9;     1
 19620124;   12100;   2.445;     9;     1
 19620125;   11200;   2.263;     9;     1
 19620126;   10500;   2.121;     9;     1
 19620127;    9520;   1.923;     9;     1
 19620128;    8800;   1.778;     9;     1
 19620129;    8080;   1.632;     9;     1
 19620130;    7160;   1.447;     9;     1
 19620131;    6500;   1.313;     9;     1
 19620201;    5840;   1.180;     9;     1
 19620202;    6060;   1.224;     9;     1
 19620203;    5620;   1.135;     9;     1
 19620204;    5260;   1.063;     9;     1
 19620205;    5200;   1.051;     9;     1
 19620206;    4990;   1.008;     9;     1
 19620207;    4860;   0.982;     9;     1
 19620208;    4720;   0.954;     9;     1
 19620209;    4450;   0.899;     9;     1
 19620210;    4320;   0.873;     9;     1
 19620211;    4180;   0.845;     9;     1
 19620212;    4050;   0.818;     9;     1
 19620213;    4050;   0.818;     9;     1
 19620214;    4320;   0.873;     9;     1
 19620215;    3840;   0.776;     9;     1
 19620216;    3420;   0.691;     9;     1
 19620217;    3630;   0.733;     9;     1
 19620218;    3420;   0.691;     9;     1
 19620219;    3310;   0.669;     9;     1
 19620220;    3310;   0.669;     9;     1
 19620221;    3310;   0.669;     9;     1
 19620222;    3210;   0.649;     9;     1
 19620223;    3100;   0.626;     9;     1
 19620224;    3100;   0.626;     9;     1
 19620225;    3100;   0.626;     9;     1
 19620226;    3100;   0.626;     9;     1
 19620227;    3210;   0.649;     9;     1
 19620228;    4720;   0.954;     9;     1
 19620301;    4320;   0.873;     9;     1
 19620302;    4050;   0.818;     9;     1
 19620303;    3840;   0.776;     9;     1
 19620304;    5910;   1.194;     9;     1
 19620305;    7160;   1.447;     9;     1
 19620306;    6350;   1.283;     9;     1
 19620307;    5400;   1.091;     9;     1
 19620308;    5840;   1.180;     9;     1
 19620309;    6280;   1.269;     9;     1
 19620310;    8560;   1.729;     9;     1
 19620311;    9040;   1.826;     9;     1
 19620312;    8560;   1.729;     9;     1
 19620313;    7840;   1.584;     9;     1
 19620314;    7160;   1.447;     9;     1
 19620315;    6720;   1.358;     9;     1
 19620316;    5070;   1.024;     9;     1
 19620317;    5400;   1.091;     9;     1
 19620318;    5130;   1.036;     9;     1
 19620319;    5400;   1.091;     9;     1
 19620320;    5130;   1.036;     9;     1
 19620321;    4940;   0.998;     9;     1
 19620322;    4860;   0.982;     9;     1
 19620323;    4590;   0.927;     9;     1
 19620324;    4320;   0.873;     9;     1
