## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:56:59
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Midi-Pyrénées
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : O3454310
## Nom station                      : La Muze à Montjaux [Saint-Hippolyte]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      693731 ;    6331412 ;      693729 ;    6331373 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      646915 ;    1897988 ;      646913 ;    1897949 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     2.92173 ;   44.08168 ;     2.92170 ;   44.08133 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      112.00 ;     111.94 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         330 ;        340 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     0.7 [%]
## Débits disponibles               :  1968-01-05 ; 2020-11-30 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19680105;    1090;   0.841;     9;     1
 19680106;     833;   0.643;     9;     1
 19680107;     953;   0.736;     9;     1
 19680108;    2970;   2.292;     9;     1
 19680109;    3090;   2.385;     9;     1
 19680110;    2870;   2.215;     9;     1
 19680111;    3920;   3.026;     9;     1
 19680112;    4350;   3.358;     9;     1
 19680113;    4800;   3.705;     9;     1
 19680114;    5030;   3.882;     9;     1
 19680115;    5120;   3.952;     9;     1
 19680116;    5320;   4.106;     9;     1
 19680117;    5380;   4.153;     9;     1
 19680118;    5250;   4.052;     9;     1
 19680119;    5140;   3.967;     9;     1
 19680120;    5140;   3.967;     9;     1
 19680121;    5380;   4.153;     9;     1
 19680122;    5520;   4.261;     9;     1
 19680123;    5650;   4.361;     9;     1
 19680124;    5870;   4.531;     9;     1
 19680125;    5780;   4.461;     9;     1
 19680126;    6050;   4.670;     9;     1
 19680127;    6180;   4.770;     9;     1
 19680128;    6440;   4.971;     9;     1
 19680129;    6710;   5.179;     9;     1
 19680130;    6970;   5.380;     9;     1
 19680131;    7110;   5.488;     9;     1
 19680201;    6820;   5.264;     9;     1
 19680202;    6440;   4.971;     9;     1
 19680203;    6440;   4.971;     9;     1
 19680204;    6440;   4.971;     9;     1
 19680205;    6570;   5.071;     9;     1
 19680206;    6310;   4.870;     9;     1
 19680207;    5710;   4.407;     9;     1
 19680208;    5780;   4.461;     9;     1
 19680209;    5740;   4.430;     9;     1
 19680210;     -99; -99.000;   -99;   -99
 19680211;     -99; -99.000;   -99;   -99
 19680212;     -99; -99.000;   -99;   -99
 19680213;    1480;   1.142;     9;     1
 19680214;    1400;   1.081;     9;     1
 19680215;    1570;   1.212;     9;     1
 19680216;    2200;   1.698;     9;     1
 19680217;    2120;   1.636;     9;     1
 19680218;    1960;   1.513;     9;     1
 19680219;    1800;   1.389;     9;     1
 19680220;    1640;   1.266;     9;     1
 19680221;    1560;   1.204;     9;     1
 19680222;    1560;   1.204;     9;     1
 19680223;    1570;   1.212;     9;     1
 19680224;    2490;   1.922;     9;     1
 19680225;    2290;   1.768;     9;     1
 19680226;    2410;   1.860;     9;     1
 19680227;    2810;   2.169;     9;     1
 19680228;    2630;   2.030;     9;     1
 19680229;    2550;   1.968;     9;     1
 19680301;    2290;   1.768;     9;     1
 19680302;    1960;   1.513;     9;     1
 19680303;    1800;   1.389;     9;     0
 19680304;    1720;   1.328;     9;     0
 19680305;    1640;   1.266;     9;     0
 19680306;    1560;   1.204;     9;     0
 19680307;    1480;   1.142;     9;     0
 19680308;    1400;   1.081;     9;     0
 19680309;    1330;   1.027;     9;     1
 19680310;    1180;   0.911;     9;     1
 19680311;    1040;   0.803;     9;     1
 19680312;     921;   0.711;     9;     1
 19680313;     873;   0.674;     9;     1
 19680314;     824;   0.636;     9;     1
 19680315;     824;   0.636;     9;     1
 19680316;    1030;   0.795;     9;     1
 19680317;     921;   0.711;     9;     1
 19680318;     873;   0.674;     9;     1
 19680319;     824;   0.636;     9;     1
 19680320;     895;   0.691;     9;     1
 19680321;    1390;   1.073;     9;     1
 19680322;    1560;   1.204;     9;     1
 19680323;    1480;   1.142;     9;     1
 19680324;    1330;   1.027;     9;     1
 19680325;    1110;   0.857;     9;     1
 19680326;     921;   0.711;     9;     1
 19680327;     824;   0.636;     9;     1
 19680328;     775;   0.598;     9;     1
