## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:57:07
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) EDF
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : O4102510
## Nom station                      : L'Agout à Fraisse-sur-Agout
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      684836 ;    6279997 ;      684804 ;    6279901 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      638444 ;    1846445 ;      638413 ;    1846349 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     2.81219 ;   43.61886 ;      2.8118 ;    43.6180 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :        48.0 ;       45.3 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         792 ;        809 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       0 [%]
## Débits disponibles               :  1951-01-01 ; 2017-12-31 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19510101;     510;   0.973;     9;     1
 19510102;     480;   0.915;     9;     1
 19510103;     450;   0.858;     9;     1
 19510104;     450;   0.858;     9;     1
 19510105;     480;   0.915;     9;     1
 19510106;     620;   1.183;     9;     1
 19510107;     780;   1.488;     9;     1
 19510108;     830;   1.583;     9;     1
 19510109;     780;   1.488;     9;     1
 19510110;    1080;   2.060;     9;     1
 19510111;    2350;   4.482;     9;     1
 19510112;    3120;   5.951;     9;     1
 19510113;    2110;   4.024;     9;     1
 19510114;    2810;   5.359;     9;     1
 19510115;    7150;  13.637;     9;     1
 19510116;    6700;  12.779;     9;     1
 19510117;    5550;  10.585;     9;     1
 19510118;    5900;  11.253;     9;     1
 19510119;    6350;  12.111;     9;     1
 19510120;    5100;   9.727;     9;     1
 19510121;    4640;   8.850;     9;     1
 19510122;    3960;   7.553;     9;     1
 19510123;    3700;   7.057;     9;     1
 19510124;    4360;   8.316;     9;     1
 19510125;    5550;  10.585;     9;     1
 19510126;    3960;   7.553;     9;     1
 19510127;    3700;   7.057;     9;     1
 19510128;    3460;   6.599;     9;     1
 19510129;    2710;   5.169;     9;     1
 19510130;    2530;   4.825;     9;     1
 19510131;    2350;   4.482;     9;     1
 19510201;    2180;   4.158;     9;     1
 19510202;    2020;   3.853;     9;     1
 19510203;    1940;   3.700;     9;     1
 19510204;    1860;   3.548;     9;     1
 19510205;    1780;   3.395;     9;     1
 19510206;    1630;   3.109;     9;     1
 19510207;    1560;   2.975;     9;     1
 19510208;    1780;   3.395;     9;     1
 19510209;    1860;   3.548;     9;     1
 19510210;    1630;   3.109;     9;     1
 19510211;    2180;   4.158;     9;     1
 19510212;    3230;   6.161;     9;     1
 19510213;    3700;   7.057;     9;     1
 19510214;    3120;   5.951;     9;     1
 19510215;    3010;   5.741;     9;     1
 19510216;    2810;   5.359;     9;     1
 19510217;    2620;   4.997;     9;     1
 19510218;    2530;   4.825;     9;     1
 19510219;    2110;   4.024;     9;     1
 19510220;    2440;   4.654;     9;     1
 19510221;    2530;   4.825;     9;     1
 19510222;    2440;   4.654;     9;     1
 19510223;    2350;   4.482;     9;     1
 19510224;    2440;   4.654;     9;     1
 19510225;    2440;   4.654;     9;     1
 19510226;    1940;   3.700;     9;     1
 19510227;    1940;   3.700;     9;     1
 19510228;    1860;   3.548;     9;     1
 19510301;    1700;   3.242;     9;     1
 19510302;    1630;   3.109;     9;     1
 19510303;    1630;   3.109;     9;     1
 19510304;    1630;   3.109;     9;     1
 19510305;    1700;   3.242;     9;     1
 19510306;    1500;   2.861;     9;     1
 19510307;    1500;   2.861;     9;     1
 19510308;    1500;   2.861;     9;     1
 19510309;    1500;   2.861;     9;     1
 19510310;    1560;   2.975;     9;     1
 19510311;    2440;   4.654;     9;     1
 19510312;    2530;   4.825;     9;     1
 19510313;    3960;   7.553;     9;     1
 19510314;    4220;   8.049;     9;     1
 19510315;    4360;   8.316;     9;     1
 19510316;    5250;  10.013;     9;     1
 19510317;    5900;  11.253;     9;     1
 19510318;    6500;  12.397;     9;     1
 19510319;    6050;  11.539;     9;     1
 19510320;    5900;  11.253;     9;     1
 19510321;    6050;  11.539;     9;     1
 19510322;    5100;   9.727;     9;     1
 19510323;    4220;   8.049;     9;     1
 19510324;    4220;   8.049;     9;     1
 19510325;    3580;   6.828;     9;     1
 19510326;    3120;   5.951;     9;     1
 19510327;    2710;   5.169;     9;     1
 19510328;    2440;   4.654;     9;     1
 19510329;    2260;   4.310;     9;     1
 19510330;    2180;   4.158;     9;     1
 19510331;    2100;   4.005;     9;     1
 19510401;    1860;   3.548;     9;     1
 19510402;    1780;   3.395;     9;     1
 19510403;    1780;   3.395;     9;     1
 19510404;    1700;   3.242;     9;     1
 19510405;    1500;   2.861;     9;     1
 19510406;    1500;   2.861;     9;     1
 19510407;    1500;   2.861;     9;     1
 19510408;    1700;   3.242;     9;     1
 19510409;    1500;   2.861;     9;     1
 19510410;    1380;   2.632;     9;     1
 19510411;    1320;   2.518;     9;     1
 19510412;    1200;   2.289;     9;     1
 19510413;    1140;   2.174;     9;     1
 19510414;    1080;   2.060;     9;     1
 19510415;    1080;   2.060;     9;     1
 19510416;    1030;   1.965;     9;     1
 19510417;     980;   1.869;     9;     0
 19510418;     980;   1.869;     9;     0
 19510419;     980;   1.869;     9;     0
 19510420;     980;   1.869;     9;     0
 19510421;     980;   1.869;     9;     0
 19510422;     980;   1.869;     9;     0
 19510423;     830;   1.583;     9;     1
 19510424;     830;   1.583;     9;     1
 19510425;     880;   1.678;     9;     1
 19510426;    1440;   2.746;     9;     1
 19510427;    1380;   2.632;     9;     1
 19510428;    1260;   2.403;     9;     1
 19510429;    1080;   2.060;     9;     1
 19510430;     980;   1.869;     9;     1
 19510501;     930;   1.774;     9;     1
 19510502;     930;   1.774;     9;     1
 19510503;     930;   1.774;     9;     1
 19510504;     980;   1.869;     9;     1
 19510505;     930;   1.774;     9;     1
 19510506;     880;   1.678;     9;     1
 19510507;    1030;   1.965;     9;     1
 19510508;    1200;   2.289;     9;     1
 19510509;     980;   1.869;     9;     1
 19510510;     930;   1.774;     9;     1
 19510511;    1200;   2.289;     9;     1
 19510512;    1380;   2.632;     9;     1
 19510513;    1140;   2.174;     9;     1
 19510514;    1200;   2.289;     9;     1
 19510515;    1140;   2.174;     9;     1
 19510516;    1260;   2.403;     9;     1
 19510517;    1320;   2.518;     9;     1
 19510518;    1700;   3.242;     9;     1
 19510519;    5550;  10.585;     9;     1
 19510520;    3960;   7.553;     9;     1
 19510521;    3580;   6.828;     9;     1
 19510522;    3230;   6.161;     9;     1
 19510523;    2910;   5.550;     9;     1
 19510524;    2710;   5.169;     9;     1
 19510525;    2530;   4.825;     9;     1
 19510526;    2620;   4.997;     9;     1
 19510527;    2620;   4.997;     9;     1
 19510528;    2180;   4.158;     9;     1
 19510529;    1940;   3.700;     9;     1
 19510530;    2350;   4.482;     9;     1
 19510531;    3010;   5.741;     9;     1
 19510601;    2260;   4.310;     9;     1
 19510602;    2020;   3.853;     9;     1
 19510603;    1860;   3.548;     9;     1
 19510604;    1940;   3.700;     9;     1
 19510605;    2260;   4.310;     9;     1
 19510606;    1780;   3.395;     9;     1
 19510607;    1700;   3.242;     9;     1
 19510608;    1700;   3.242;     9;     1
 19510609;    1630;   3.109;     9;     1
 19510610;    1500;   2.861;     9;     1
 19510611;    1380;   2.632;     9;     1
 19510612;    1320;   2.518;     9;     1
 19510613;    1630;   3.109;     9;     1
 19510614;    1260;   2.403;     9;     1
 19510615;    1140;   2.174;     9;     1
 19510616;    1080;   2.060;     9;     1
 19510617;    1080;   2.060;     9;     1
 19510618;    1030;   1.965;     9;     1
 19510619;    1200;   2.289;     9;     1
 19510620;     980;   1.869;     9;     1
 19510621;     880;   1.678;     9;     1
 19510622;     930;   1.774;     9;     1
 19510623;    1140;   2.174;     9;     1
 19510624;     980;   1.869;     9;     1
 19510625;     830;   1.583;     9;     1
 19510626;     780;   1.488;     9;     1
 19510627;     740;   1.411;     9;     1
 19510628;     660;   1.259;     9;     1
 19510629;     620;   1.183;     9;     1
 19510630;     620;   1.183;     9;     1
 19510701;     580;   1.106;     9;     1
 19510702;     580;   1.106;     9;     1
 19510703;     550;   1.049;     9;     1
 19510704;     510;   0.973;     9;     1
 19510705;     480;   0.915;     9;     1
 19510706;     480;   0.915;     9;     1
 19510707;     450;   0.858;     9;     1
 19510708;     420;   0.801;     9;     1
 19510709;     450;   0.858;     9;     1
 19510710;     420;   0.801;     9;     1
 19510711;     390;   0.744;     9;     1
 19510712;     390;   0.744;     9;     1
 19510713;     360;   0.687;     9;     1
 19510714;     330;   0.629;     9;     1
 19510715;     330;   0.629;     9;     1
 19510716;     330;   0.629;     9;     1
 19510717;     300;   0.572;     9;     1
 19510718;     280;   0.534;     9;     1
