## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:58:35
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Midi-Pyrénées
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : O7035010
## Nom station                      : Le Bramont à Saint-Bauzile [Les Fonts]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      737489 ;    6374830 ;      737453 ;    6374860 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      690350 ;    1941820 ;      690313 ;    1941849 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     3.47131 ;   44.47152 ;     3.47085 ;   44.47179 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      116.00 ;     117.33 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         694 ;        700 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       0 [%]
## Débits disponibles               :  1970-01-01 ; 2020-11-30 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19700101;     233;   0.172;     9;     1
 19700102;     191;   0.141;     9;     1
 19700103;     118;   0.087;     9;     1
 19700104;    1360;   1.001;     9;     1
 19700105;    2130;   1.568;     9;     1
 19700106;    1540;   1.134;     9;     1
 19700107;    1030;   0.758;     9;     1
 19700108;     830;   0.611;     9;     1
 19700109;    1040;   0.766;     9;     1
 19700110;    1770;   1.303;     9;     1
 19700111;   30000;  22.092;     9;     1
 19700112;   33200;  24.448;     9;     1
 19700113;   13500;   9.941;     9;     1
 19700114;    5610;   4.131;     9;     1
 19700115;    4520;   3.328;     9;     1
 19700116;    3440;   2.533;     9;     1
 19700117;    2800;   2.062;     9;     1
 19700118;    2410;   1.775;     9;     1
 19700119;    2140;   1.576;     9;     1
 19700120;    1880;   1.384;     9;     1
 19700121;    1650;   1.215;     9;     1
 19700122;    1540;   1.134;     9;     1
 19700123;    1440;   1.060;     9;     1
 19700124;    1330;   0.979;     9;     1
 19700125;    1160;   0.854;     9;     1
 19700126;    1090;   0.803;     9;     1
 19700127;    1280;   0.943;     9;     1
 19700128;    1010;   0.744;     9;     1
 19700129;     895;   0.659;     9;     1
 19700130;    1180;   0.869;     9;     1
 19700131;    1320;   0.972;     9;     1
 19700201;    2980;   2.194;     9;     1
 19700202;    3130;   2.305;     9;     1
 19700203;    3350;   2.467;     9;     1
 19700204;    3250;   2.393;     9;     1
 19700205;    3390;   2.496;     9;     1
 19700206;    3160;   2.327;     9;     1
 19700207;    2950;   2.172;     9;     1
 19700208;    3060;   2.253;     9;     1
 19700209;    3260;   2.401;     9;     1
 19700210;    3620;   2.666;     9;     1
 19700211;    4950;   3.645;     9;     1
 19700212;    5310;   3.910;     9;     1
 19700213;    5100;   3.756;     9;     1
 19700214;    4800;   3.535;     9;     1
 19700215;    4470;   3.292;     9;     1
 19700216;    3930;   2.894;     9;     1
 19700217;    3840;   2.828;     9;     1
 19700218;    3950;   2.909;     9;     1
 19700219;    3620;   2.666;     9;     1
 19700220;    3460;   2.548;     9;     1
 19700221;    3480;   2.563;     9;     1
 19700222;    3170;   2.334;     9;     1
 19700223;    3090;   2.275;     9;     1
 19700224;    3080;   2.268;     9;     1
 19700225;    2920;   2.150;     9;     1
 19700226;    2680;   1.974;     9;     1
 19700227;    2460;   1.812;     9;     1
 19700228;    2370;   1.745;     9;     1
 19700301;    2260;   1.664;     9;     1
 19700302;    2170;   1.598;     9;     1
 19700303;    2160;   1.591;     9;     1
 19700304;    2010;   1.480;     9;     1
 19700305;    1990;   1.465;     9;     1
 19700306;    1870;   1.377;     9;     1
 19700307;    1800;   1.325;     9;     1
 19700308;    1910;   1.406;     9;     1
 19700309;    1770;   1.303;     9;     1
 19700310;    1670;   1.230;     9;     1
 19700311;    1560;   1.149;     9;     1
 19700312;    1530;   1.127;     9;     0
 19700313;    1530;   1.127;     9;     0
 19700314;    1530;   1.127;     9;     0
 19700315;    1530;   1.127;     9;     0
 19700316;    1530;   1.127;     9;     0
 19700317;    1430;   1.053;     9;     1
 19700318;    1560;   1.149;     9;     1
 19700319;    1640;   1.208;     9;     1
 19700320;    1650;   1.215;     9;     1
 19700321;    1670;   1.230;     9;     1
 19700322;    1820;   1.340;     9;     1
 19700323;    2620;   1.929;     9;     1
 19700324;    3920;   2.887;     9;     1
 19700325;    4240;   3.122;     9;     1
 19700326;    4150;   3.056;     9;     1
 19700327;    3850;   2.835;     9;     1
 19700328;    3590;   2.644;     9;     1
 19700329;    3130;   2.305;     9;     1
 19700330;    3090;   2.275;     9;     1
 19700331;    3210;   2.364;     9;     1
 19700401;    3140;   2.312;     9;     1
 19700402;    2910;   2.143;     9;     1
 19700403;    2650;   1.951;     9;     1
