## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:58:50
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Auvergne
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : O7234010
## Nom station                      : La Rimeize à Rimeize
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      725398 ;    6407481 ;      725441 ;    6407530 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      677970 ;    1974400 ;      678013 ;    1974449 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     3.32097 ;   44.76600 ;     3.32152 ;   44.76644 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      116.00 ;     117.17 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         936 ;        948 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       0 [%]
## Débits disponibles               :  1971-01-01 ; 2020-12-01 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19710101;     375;   0.277;     9;     1
 19710102;     375;   0.277;     9;     1
 19710103;     379;   0.279;     9;     1
 19710104;     396;   0.292;     9;     1
 19710105;     348;   0.257;     9;     1
 19710106;     380;   0.280;     9;     1
 19710107;     465;   0.343;     9;     1
 19710108;     425;   0.313;     9;     1
 19710109;     423;   0.312;     9;     1
 19710110;     423;   0.312;     9;     1
 19710111;     506;   0.373;     9;     1
 19710112;     543;   0.400;     9;     1
 19710113;     543;   0.400;     9;     1
 19710114;     715;   0.527;     9;     1
 19710115;     767;   0.566;     9;     1
 19710116;     637;   0.470;     9;     1
 19710117;     665;   0.490;     9;     1
 19710118;     659;   0.486;     9;     1
 19710119;    1150;   0.848;     9;     1
 19710120;    1850;   1.364;     9;     1
 19710121;    1460;   1.077;     9;     1
 19710122;    1030;   0.760;     9;     1
 19710123;     881;   0.650;     9;     1
 19710124;    1870;   1.379;     9;     1
 19710125;    2100;   1.549;     9;     1
 19710126;    2880;   2.124;     9;     1
 19710127;    3720;   2.743;     9;     1
 19710128;    3510;   2.588;     9;     1
 19710129;    2990;   2.205;     9;     1
 19710130;    6300;   4.646;     9;     1
 19710131;    7830;   5.774;     9;     1
 19710201;    4100;   3.023;     9;     1
 19710202;    3830;   2.824;     9;     1
 19710203;    3890;   2.868;     9;     1
 19710204;    3460;   2.551;     9;     1
 19710205;    2990;   2.205;     9;     1
 19710206;    2940;   2.168;     9;     1
 19710207;    2980;   2.197;     9;     1
 19710208;    2450;   1.807;     9;     1
 19710209;    2710;   1.998;     9;     1
 19710210;    2370;   1.748;     9;     1
 19710211;    2170;   1.600;     9;     1
 19710212;    2120;   1.563;     9;     1
 19710213;    2090;   1.541;     9;     1
 19710214;    2110;   1.556;     9;     1
 19710215;    2110;   1.556;     9;     1
 19710216;    1970;   1.453;     9;     1
 19710217;    1920;   1.416;     9;     1
 19710218;    2260;   1.667;     9;     1
 19710219;    2400;   1.770;     9;     1
 19710220;    2390;   1.762;     9;     1
 19710221;    2390;   1.762;     9;     1
 19710222;    2420;   1.784;     9;     1
 19710223;    2350;   1.733;     9;     1
 19710224;    2210;   1.630;     9;     1
 19710225;    2070;   1.526;     9;     1
 19710226;    2040;   1.504;     9;     1
 19710227;    1990;   1.467;     9;     1
 19710228;    2040;   1.504;     9;     1
 19710301;    2150;   1.585;     9;     1
 19710302;    2340;   1.725;     9;     1
 19710303;    1900;   1.401;     9;     1
 19710304;    1730;   1.276;     9;     1
 19710305;    1670;   1.231;     9;     1
 19710306;    1960;   1.445;     9;     1
 19710307;    2670;   1.969;     9;     1
 19710308;    2210;   1.630;     9;     1
 19710309;    2200;   1.622;     9;     1
 19710310;    1590;   1.172;     9;     1
 19710311;    1710;   1.261;     9;     1
 19710312;    1460;   1.077;     9;     1
 19710313;    1800;   1.327;     9;     1
 19710314;    1610;   1.187;     9;     1
 19710315;    1840;   1.357;     9;     1
 19710316;    1690;   1.246;     9;     1
 19710317;    1770;   1.305;     9;     1
 19710318;    2670;   1.969;     9;     1
 19710319;    3640;   2.684;     9;     1
 19710320;    3190;   2.352;     9;     1
 19710321;    2880;   2.124;     9;     1
 19710322;    2670;   1.969;     9;     1
 19710323;    2250;   1.659;     9;     1
 19710324;    2290;   1.689;     9;     1
