## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:58:52
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Auvergne
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : O7245010
## Nom station                      : Le Chapouillet à Rimeize [Chassignoles]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      723354 ;    6410336 ;      723367 ;    6410344 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      675900 ;    1977240 ;      675913 ;    1977249 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     3.29527 ;   44.79178 ;     3.29544 ;   44.79186 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :       67.00 ;      64.69 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         943 ;        947 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       0 [%]
## Débits disponibles               :  1971-11-01 ; 2021-02-01 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19711101;     143;   0.191;     9;     1
 19711102;     145;   0.194;     9;     1
 19711103;     147;   0.196;     9;     1
 19711104;     137;   0.183;     9;     1
 19711105;     132;   0.176;     9;     1
 19711106;     154;   0.206;     9;     1
 19711107;     273;   0.365;     9;     1
 19711108;     233;   0.311;     9;     1
 19711109;     297;   0.397;     9;     1
 19711110;     258;   0.345;     9;     1
 19711111;     205;   0.274;     9;     1
 19711112;     200;   0.267;     9;     1
 19711113;     200;   0.267;     9;     1
 19711114;     211;   0.282;     9;     1
 19711115;     214;   0.286;     9;     1
 19711116;     230;   0.307;     9;     1
 19711117;     234;   0.313;     9;     1
 19711118;     283;   0.378;     9;     1
 19711119;     746;   0.996;     9;     1
 19711120;     440;   0.588;     9;     1
 19711121;     447;   0.597;     9;     1
 19711122;    1630;   2.177;     9;     1
 19711123;     526;   0.703;     9;     1
 19711124;     436;   0.582;     9;     1
 19711125;     344;   0.459;     9;     1
 19711126;     298;   0.398;     9;     1
 19711127;     318;   0.425;     9;     1
 19711128;     321;   0.429;     9;     1
 19711129;     382;   0.510;     9;     1
 19711130;     422;   0.564;     9;     1
 19711201;     443;   0.592;     9;     1
 19711202;     342;   0.457;     9;     1
 19711203;     330;   0.441;     9;     1
 19711204;     361;   0.482;     9;     1
 19711205;     296;   0.395;     9;     1
 19711206;     301;   0.402;     9;     1
 19711207;     275;   0.367;     9;     1
 19711208;     227;   0.303;     9;     1
 19711209;     209;   0.279;     9;     1
 19711210;     200;   0.267;     9;     1
 19711211;     230;   0.307;     9;     1
 19711212;     246;   0.329;     9;     1
 19711213;     287;   0.383;     9;     1
 19711214;     274;   0.366;     9;     1
 19711215;     242;   0.323;     9;     1
 19711216;     211;   0.282;     9;     1
 19711217;     208;   0.278;     9;     1
 19711218;     201;   0.268;     9;     1
 19711219;     188;   0.251;     9;     1
 19711220;     273;   0.365;     9;     1
 19711221;     353;   0.471;     9;     1
 19711222;     332;   0.443;     9;     1
 19711223;     318;   0.425;     9;     1
 19711224;     299;   0.399;     9;     1
 19711225;     250;   0.334;     9;     1
 19711226;     497;   0.664;     9;     1
 19711227;     436;   0.582;     9;     1
 19711228;     332;   0.443;     9;     1
 19711229;     470;   0.628;     9;     1
 19711230;     389;   0.520;     9;     1
 19711231;     336;   0.449;     9;     1
 19720101;     315;   0.421;     9;     1
 19720102;     284;   0.379;     9;     1
 19720103;     374;   0.500;     9;     1
 19720104;     465;   0.621;     9;     1
 19720105;     418;   0.558;     9;     1
 19720106;     491;   0.656;     9;     1
 19720107;     509;   0.680;     9;     1
 19720108;     563;   0.752;     9;     1
 19720109;    1730;   2.311;     9;     1
 19720110;    2240;   2.992;     9;     1
 19720111;    1410;   1.883;     9;     1
 19720112;    2050;   2.738;     9;     1
 19720113;    1640;   2.190;     9;     1
 19720114;    1670;   2.230;     9;     1
 19720115;    1880;   2.511;     9;     1
 19720116;    1860;   2.484;     9;     1
 19720117;    1420;   1.897;     9;     1
 19720118;    1180;   1.576;     9;     1
 19720119;    1040;   1.389;     9;     1
 19720120;     900;   1.202;     9;     1
 19720121;     909;   1.214;     9;     1
 19720122;     846;   1.130;     9;     1
 19720123;     865;   1.155;     9;     1
 19720124;     791;   1.056;     9;     1
 19720125;     753;   1.006;     9;     1
 19720126;     745;   0.995;     9;     1
