## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:58:55
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) EDF
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : O7354010
## Nom station                      : La Lander à Saint-Georges
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      710104 ;    6434744 ;      710085 ;    6434734 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      662432 ;    2001559 ;      662413 ;    2001549 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     3.12826 ;   45.01185 ;     3.12802 ;   45.01176 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      310.00 ;     308.99 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         749 ;        760 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     1.1 [%]
## Débits disponibles               :  1956-01-01 ; 2015-12-31 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19560101;    8400;   2.349;     9;     1
 19560102;    8900;   2.489;     9;     1
 19560103;    7300;   2.041;     9;     1
 19560104;    5600;   1.566;     9;     1
 19560105;    4600;   1.286;     9;     1
 19560106;    4100;   1.146;     9;     1
 19560107;    3500;   0.979;     9;     1
 19560108;    3200;   0.895;     9;     1
 19560109;    3000;   0.839;     9;     1
 19560110;    2900;   0.811;     9;     1
 19560111;    3000;   0.839;     9;     1
 19560112;    4600;   1.286;     9;     1
 19560113;   12400;   3.467;     9;     1
 19560114;   10800;   3.020;     9;     1
 19560115;   10000;   2.796;     9;     1
 19560116;    9800;   2.740;     9;     1
 19560117;    9600;   2.684;     9;     1
 19560118;   18900;   5.285;     9;     1
 19560119;   13900;   3.887;     9;     1
 19560120;    9000;   2.517;     9;     1
 19560121;    6300;   1.762;     9;     1
 19560122;    4900;   1.370;     9;     1
 19560123;    4200;   1.174;     9;     1
 19560124;    5300;   1.482;     9;     1
 19560125;    4900;   1.370;     9;     1
 19560126;    5500;   1.538;     9;     1
 19560127;    8000;   2.237;     9;     1
 19560128;    8500;   2.377;     9;     1
 19560129;    7200;   2.013;     9;     1
 19560130;    6200;   1.734;     9;     1
 19560131;    7000;   1.957;     9;     1
 19560201;    6100;   1.706;     9;     1
 19560202;    6200;   1.734;     9;     1
 19560203;    6300;   1.762;     9;     1
 19560204;    6500;   1.818;     9;     1
 19560205;    6600;   1.845;     9;     1
 19560206;    6700;   1.873;     9;     1
 19560207;    5000;   1.398;     9;     1
 19560208;    3700;   1.035;     9;     1
 19560209;    3700;   1.035;     9;     1
 19560210;    3900;   1.091;     9;     1
 19560211;    3900;   1.091;     9;     1
 19560212;    4100;   1.146;     9;     1
 19560213;    4100;   1.146;     9;     1
 19560214;    3700;   1.035;     9;     1
 19560215;    3500;   0.979;     9;     1
 19560216;    3400;   0.951;     9;     1
 19560217;    3200;   0.895;     9;     1
 19560218;    2900;   0.811;     9;     1
 19560219;    2500;   0.699;     9;     1
 19560220;    2000;   0.559;     9;     0
 19560221;    1900;   0.531;     9;     0
 19560222;    1800;   0.503;     9;     0
 19560223;    1700;   0.475;     9;     0
 19560224;    1600;   0.447;     9;     0
 19560225;    1500;   0.419;     9;     0
 19560226;    2000;   0.559;     9;     1
 19560227;    1200;   0.336;     9;     1
 19560228;    1100;   0.308;     9;     1
 19560229;    1800;   0.503;     9;     1
 19560301;    8000;   2.237;     9;     1
 19560302;   15700;   4.390;     9;     1
 19560303;   11000;   3.076;     9;     1
 19560304;   10000;   2.796;     9;     1
 19560305;    7700;   2.153;     9;     1
 19560306;    5300;   1.482;     9;     1
 19560307;    4500;   1.258;     9;     1
 19560308;    3900;   1.091;     9;     1
 19560309;    3000;   0.839;     9;     1
 19560310;    3000;   0.839;     9;     1
 19560311;    2600;   0.727;     9;     1
 19560312;    2000;   0.559;     9;     1
 19560313;    1800;   0.503;     9;     1
 19560314;    1700;   0.475;     9;     1
 19560315;    1800;   0.503;     9;     1
 19560316;    2000;   0.559;     9;     1
 19560317;    2200;   0.615;     9;     1
 19560318;    2500;   0.699;     9;     1
 19560319;    2300;   0.643;     9;     1
 19560320;    2200;   0.615;     9;     1
 19560321;    3200;   0.895;     9;     1
 19560322;    4300;   1.202;     9;     1
 19560323;    3200;   0.895;     9;     1
 19560324;    3100;   0.867;     9;     1
 19560325;    4200;   1.174;     9;     1
 19560326;    3300;   0.923;     9;     1
 19560327;    2800;   0.783;     9;     1
 19560328;    2600;   0.727;     9;     1
 19560329;    2400;   0.671;     9;     1
 19560330;    2200;   0.615;     9;     1
 19560331;    2200;   0.615;     9;     1
 19560401;    3300;   0.923;     9;     1
 19560402;    2800;   0.783;     9;     1
 19560403;    2200;   0.615;     9;     1
 19560404;    2000;   0.559;     9;     1
 19560405;    1700;   0.475;     9;     1
 19560406;    1900;   0.531;     9;     1
 19560407;    1700;   0.475;     9;     1
 19560408;    1500;   0.419;     9;     1
 19560409;    1400;   0.391;     9;     1
 19560410;    1200;   0.336;     9;     1
 19560411;    1100;   0.308;     9;     1
 19560412;    1100;   0.308;     9;     1
 19560413;    1400;   0.391;     9;     1
 19560414;    2300;   0.643;     9;     1
 19560415;    2500;   0.699;     9;     1
 19560416;    2500;   0.699;     9;     1
 19560417;    2200;   0.615;     9;     1
 19560418;    1600;   0.447;     9;     1
 19560419;    1600;   0.447;     9;     1
 19560420;    1400;   0.391;     9;     1
 19560421;    1300;   0.364;     9;     1
 19560422;    1800;   0.503;     9;     1
 19560423;    2100;   0.587;     9;     1
 19560424;    1600;   0.447;     9;     1
 19560425;    1400;   0.391;     9;     1
 19560426;    1200;   0.336;     9;     1
 19560427;    1200;   0.336;     9;     1
 19560428;    2100;   0.587;     9;     1
 19560429;    1900;   0.531;     9;     1
 19560430;    1600;   0.447;     9;     1
 19560501;    1400;   0.391;     9;     1
 19560502;    1700;   0.475;     9;     1
 19560503;    1600;   0.447;     9;     1
 19560504;    1400;   0.391;     9;     1
 19560505;    1100;   0.308;     9;     1
 19560506;     900;   0.252;     9;     0
