## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:58:57
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) EDF
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : O7444010
## Nom station                      : Le Bès à Saint-Juéry
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      706762 ;    6414132 ;      706715 ;    6414182 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      659260 ;    1980900 ;      659213 ;    1980949 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     3.08554 ;   44.82632 ;     3.08495 ;   44.82676 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      283.00 ;     285.82 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         917 ;        924 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     0.8 [%]
## Débits disponibles               :  1956-01-01 ; 2015-12-31 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19560101;   15500;   4.685;     9;     1
 19560102;   15500;   4.685;     9;     1
 19560103;   12000;   3.627;     9;     1
 19560104;    9700;   2.932;     9;     1
 19560105;    8000;   2.418;     9;     1
 19560106;    7200;   2.176;     9;     1
 19560107;    6700;   2.025;     9;     1
 19560108;    6100;   1.844;     9;     1
 19560109;    5900;   1.784;     9;     1
 19560110;    5200;   1.572;     9;     1
 19560111;    5100;   1.542;     9;     1
 19560112;    7200;   2.176;     9;     1
 19560113;   19000;   5.743;     9;     1
 19560114;   16200;   4.897;     9;     1
 19560115;   11400;   3.446;     9;     1
 19560116;    9100;   2.751;     9;     1
 19560117;   10000;   3.023;     9;     1
 19560118;   21300;   6.439;     9;     1
 19560119;   11800;   3.567;     9;     1
 19560120;    7900;   2.388;     9;     1
 19560121;    6200;   1.874;     9;     1
 19560122;    5300;   1.602;     9;     1
 19560123;    4000;   1.209;     9;     1
 19560124;    6300;   1.904;     9;     1
 19560125;    6000;   1.814;     9;     1
 19560126;    7300;   2.207;     9;     1
 19560127;    9900;   2.993;     9;     1
 19560128;    9500;   2.872;     9;     1
 19560129;    7300;   2.207;     9;     1
 19560130;    9700;   2.932;     9;     1
 19560131;    6400;   1.935;     9;     1
 19560201;    4300;   1.300;     9;     1
 19560202;    3300;   0.998;     9;     1
 19560203;    3000;   0.907;     9;     1
 19560204;    3400;   1.028;     9;     1
 19560205;    3900;   1.179;     9;     1
 19560206;    4000;   1.209;     9;     1
 19560207;    3800;   1.149;     9;     1
 19560208;    3500;   1.058;     9;     1
 19560209;    3400;   1.028;     9;     1
 19560210;    2000;   0.605;     9;     1
 19560211;    1600;   0.484;     9;     1
 19560212;    1800;   0.544;     9;     1
 19560213;    2000;   0.605;     9;     1
 19560214;    2000;   0.605;     9;     1
 19560215;    1900;   0.574;     9;     1
 19560216;    1900;   0.574;     9;     1
 19560217;    1500;   0.453;     9;     1
 19560218;    1700;   0.514;     9;     1
 19560219;    1500;   0.453;     9;     1
 19560220;    1600;   0.484;     9;     1
 19560221;    1500;   0.453;     9;     1
 19560222;    1700;   0.514;     9;     1
 19560223;    1500;   0.453;     9;     1
 19560224;    1700;   0.514;     9;     1
 19560225;    1500;   0.453;     9;     1
 19560226;    1500;   0.453;     9;     1
 19560227;    1600;   0.484;     9;     1
 19560228;    1800;   0.544;     9;     1
 19560229;    2000;   0.605;     9;     1
 19560301;    2200;   0.665;     9;     1
 19560302;    4200;   1.270;     9;     1
 19560303;    9700;   2.932;     9;     1
 19560304;   16500;   4.988;     9;     1
 19560305;   16000;   4.837;     9;     1
 19560306;    9700;   2.932;     9;     1
 19560307;    6900;   2.086;     9;     1
 19560308;    5100;   1.542;     9;     1
 19560309;    3700;   1.118;     9;     1
 19560310;    3800;   1.149;     9;     1
 19560311;    3600;   1.088;     9;     1
 19560312;    2900;   0.877;     9;     1
 19560313;    2200;   0.665;     9;     1
 19560314;    2200;   0.665;     9;     1
 19560315;    2400;   0.725;     9;     1
 19560316;    2400;   0.725;     9;     1
 19560317;    3300;   0.998;     9;     1
 19560318;    3800;   1.149;     9;     1
 19560319;    4700;   1.421;     9;     1
 19560320;    4600;   1.391;     9;     1
 19560321;   11100;   3.355;     9;     1
 19560322;   36000;  10.882;     9;     1
