## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:59:03
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) EDF
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : O7635010
## Nom station                      : La Bromme à Brommat [EDF]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      674759 ;    6414786 ;      675046 ;    6414249 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      627222 ;    1981284 ;      627513 ;    1980749 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     2.68064 ;   44.83177 ;     2.68429 ;   44.82695 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      111.00 ;     109.09 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         655 ;        645 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       0 [%]
## Débits disponibles               :  1948-01-01 ; 2015-12-31 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19480101;    7200;   5.702;     9;     1
 19480102;   11400;   9.029;     9;     1
 19480103;   13200;  10.454;     9;     1
 19480104;   10700;   8.474;     9;     1
 19480105;    9800;   7.762;     9;     1
 19480106;    9700;   7.682;     9;     1
 19480107;   31200;  24.711;     9;     1
 19480108;   23800;  18.850;     9;     1
 19480109;   13200;  10.454;     9;     1
 19480110;   21000;  16.632;     9;     1
 19480111;   15300;  12.118;     9;     1
 19480112;   17500;  13.860;     9;     1
 19480113;   17800;  14.098;     9;     1
 19480114;   15700;  12.435;     9;     1
 19480115;   17500;  13.860;     9;     1
 19480116;   13600;  10.771;     9;     1
 19480117;   12500;   9.900;     9;     1
 19480118;    7600;   6.019;     9;     1
 19480119;    7300;   5.782;     9;     1
 19480120;    6500;   5.148;     9;     1
 19480121;    5200;   4.118;     9;     1
 19480122;    4700;   3.722;     9;     1
 19480123;    8500;   6.732;     9;     1
 19480124;   11500;   9.108;     9;     1
 19480125;    8200;   6.494;     9;     1
 19480126;   10500;   8.316;     9;     1
 19480127;    8500;   6.732;     9;     1
 19480128;   11800;   9.346;     9;     1
 19480129;   12100;   9.583;     9;     1
 19480130;   18500;  14.652;     9;     1
 19480131;   10700;   8.474;     9;     1
 19480201;   12400;   9.821;     9;     1
 19480202;    6400;   5.069;     9;     1
 19480203;    7700;   6.098;     9;     1
 19480204;    9100;   7.207;     9;     1
 19480205;    7400;   5.861;     9;     1
 19480206;    5900;   4.673;     9;     1
 19480207;    5400;   4.277;     9;     1
 19480208;    4800;   3.802;     9;     1
 19480209;    4600;   3.643;     9;     1
 19480210;    4000;   3.168;     9;     1
 19480211;    3900;   3.089;     9;     1
 19480212;    3600;   2.851;     9;     1
 19480213;    3100;   2.455;     9;     1
 19480214;    2600;   2.059;     9;     1
 19480215;    2300;   1.822;     9;     1
 19480216;    2200;   1.742;     9;     1
 19480217;    1800;   1.426;     9;     1
 19480218;    1200;   0.950;     9;     1
 19480219;    1000;   0.792;     9;     0
 19480220;    1000;   0.792;     9;     0
 19480221;    1000;   0.792;     9;     0
 19480222;    1000;   0.792;     9;     0
 19480223;    1000;   0.792;     9;     0
 19480224;    1000;   0.792;     9;     0
 19480225;    1000;   0.792;     9;     0
 19480226;    1300;   1.030;     9;     1
 19480227;    1600;   1.267;     9;     1
 19480228;    1400;   1.109;     9;     1
 19480229;    1200;   0.950;     9;     0
 19480301;    1200;   0.950;     9;     0
 19480302;    1200;   0.950;     9;     0
 19480303;    1200;   0.950;     9;     0
 19480304;    1200;   0.950;     9;     0
 19480305;    1100;   0.871;     9;     1
 19480306;     800;   0.634;     9;     0
 19480307;     800;   0.634;     9;     0
 19480308;     800;   0.634;     9;     0
 19480309;     800;   0.634;     9;     0
 19480310;     800;   0.634;     9;     0
 19480311;     700;   0.554;     9;     1
 19480312;     700;   0.554;     9;     1
 19480313;     600;   0.475;     9;     1
 19480314;     500;   0.396;     9;     0
 19480315;     500;   0.396;     9;     0
 19480316;     500;   0.396;     9;     0
 19480317;     500;   0.396;     9;     0
 19480318;     500;   0.396;     9;     0
 19480319;     500;   0.396;     9;     0
 19480320;     500;   0.396;     9;     0
 19480321;     500;   0.396;     9;     0
 19480322;     500;   0.396;     9;     0
 19480323;     500;   0.396;     9;     0
