## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:59:18
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Midi-Pyrénées
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : O8255010
## Nom station                      : Le Vert à Labastide-du-Vert [Les Campagnes]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      559470 ;    6380700 ;      559476 ;    6380650 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      512107 ;    1946199 ;      512113 ;    1946149 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     1.23189 ;   44.51120 ;     1.23198 ;   44.51075 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      117.00 ;     119.06 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :          99 ;        103 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     0.7 [%]
## Débits disponibles               :  1968-01-06 ; 2021-02-23 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19680106;    9060;   6.575;     9;     1
 19680107;   15900;  11.538;     9;     1
 19680108;   12400;   8.998;     9;     1
 19680109;    8630;   6.263;     9;     1
 19680110;    8260;   5.994;     9;     1
 19680111;    6260;   4.543;     9;     1
 19680112;    4700;   3.411;     9;     1
 19680113;    3760;   2.729;     9;     1
 19680114;    3220;   2.337;     9;     1
 19680115;    2740;   1.988;     9;     1
 19680116;    2350;   1.705;     9;     1
 19680117;    2090;   1.517;     9;     1
 19680118;    1900;   1.379;     9;     1
 19680119;    1730;   1.255;     9;     1
 19680120;    1570;   1.139;     9;     1
 19680121;    1350;   0.980;     9;     1
 19680122;    1250;   0.907;     9;     0
 19680123;    1250;   0.907;     9;     0
 19680124;    1250;   0.907;     9;     0
 19680125;    1250;   0.907;     9;     0
 19680126;    1250;   0.907;     9;     0
 19680127;    1300;   0.943;     9;     1
 19680128;    1350;   0.980;     9;     1
 19680129;    1350;   0.980;     9;     1
 19680130;    1460;   1.059;     9;     1
 19680131;    1570;   1.139;     9;     1
 19680201;    1570;   1.139;     9;     1
 19680202;    1630;   1.183;     9;     1
 19680203;    1620;   1.176;     9;     1
 19680204;    1630;   1.183;     9;     1
 19680205;    1620;   1.176;     9;     1
 19680206;    1390;   1.009;     9;     1
 19680207;     408;   0.296;     9;     1
 19680208;     457;   0.332;     9;     1
 19680209;     538;   0.390;     9;     1
 19680210;     538;   0.390;     9;     1
 19680211;     580;   0.421;     9;     1
 19680212;     579;   0.420;     9;     1
 19680213;     548;   0.398;     9;     1
 19680214;     704;   0.511;     9;     1
 19680215;     874;   0.634;     9;     1
 19680216;    1010;   0.733;     9;     1
 19680217;    1210;   0.878;     9;     1
 19680218;    1410;   1.023;     9;     1
 19680219;    1350;   0.980;     9;     1
 19680220;    1160;   0.842;     9;     1
 19680221;    1110;   0.806;     9;     1
 19680222;    1160;   0.842;     9;     1
 19680223;    1300;   0.943;     9;     1
 19680224;    1680;   1.219;     9;     1
 19680225;    2090;   1.517;     9;     1
 19680226;    1960;   1.422;     9;     1
 19680227;    1730;   1.255;     9;     1
 19680228;    1510;   1.096;     9;     1
 19680229;    1400;   1.016;     9;     1
 19680301;    1300;   0.943;     9;     1
 19680302;    1240;   0.900;     9;     1
 19680303;    1060;   0.769;     9;     1
 19680304;    1010;   0.733;     9;     1
 19680305;     873;   0.634;     9;     1
 19680306;     745;   0.541;     9;     1
 19680307;     746;   0.541;     9;     1
 19680308;     704;   0.511;     9;     1
 19680309;     621;   0.451;     9;     1
 19680310;     579;   0.420;     9;     1
 19680311;     538;   0.390;     9;     1
 19680312;     496;   0.360;     9;     1
 19680313;     455;   0.330;     9;     1
 19680314;     455;   0.330;     9;     1
 19680315;     455;   0.330;     9;     1
 19680316;     704;   0.511;     9;     1
 19680317;     787;   0.571;     9;     1
 19680318;     787;   0.571;     9;     1
 19680319;     745;   0.541;     9;     1
 19680320;     746;   0.541;     9;     1
 19680321;     829;   0.602;     9;     1
 19680322;    1060;   0.769;     9;     1
 19680323;    1350;   0.980;     9;     1
 19680324;    1460;   1.059;     9;     1
 19680325;    1350;   0.980;     9;     1
 19680326;    1160;   0.842;     9;     1
 19680327;    1010;   0.733;     9;     1
 19680328;     918;   0.666;     9;     1
 19680329;     870;   0.631;     9;     1
 19680330;     828;   0.601;     9;     1
