## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:59:40
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Auvergne
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : P0212510
## Nom station                      : La Rhue à Égliseneuve-d'Entraigues
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      686720 ;    6478829 ;      686679 ;    6478791 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      638654 ;    2045488 ;      638613 ;    2045449 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     2.83023 ;   45.40875 ;     2.82971 ;   45.40841 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :       40.00 ;      40.31 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         940 ;        954 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     0.4 [%]
## Débits disponibles               :  1956-01-01 ; 2021-02-01 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19560101;    4230;   9.067;     9;     1
 19560102;    3800;   8.145;     9;     1
 19560103;    3180;   6.816;     9;     1
 19560104;    2610;   5.594;     9;     1
 19560105;    2250;   4.823;     9;     1
 19560106;    1900;   4.072;     9;     1
 19560107;    1560;   3.344;     9;     1
 19560108;    1410;   3.022;     9;     1
 19560109;    1410;   3.022;     9;     1
 19560110;    1410;   3.022;     9;     1
 19560111;    1260;   2.701;     9;     1
 19560112;    1560;   3.344;     9;     1
 19560113;    1900;   4.072;     9;     1
 19560114;    1560;   3.344;     9;     1
 19560115;    1560;   3.344;     9;     1
 19560116;    2080;   4.458;     9;     1
 19560117;    1900;   4.072;     9;     1
 19560118;    3370;   7.223;     9;     1
 19560119;    2610;   5.594;     9;     1
 19560120;    1900;   4.072;     9;     1
 19560121;    1560;   3.344;     9;     1
 19560122;    1560;   3.344;     9;     1
 19560123;    1410;   3.022;     9;     1
 19560124;    2420;   5.187;     9;     1
 19560125;    1730;   3.708;     9;     1
 19560126;    2800;   6.001;     9;     1
 19560127;    4450;   9.538;     9;     1
 19560128;    3180;   6.816;     9;     1
 19560129;    5600;  12.003;     9;     1
 19560130;    5400;  11.574;     9;     1
 19560131;    3800;   8.145;     9;     1
 19560201;    3800;   8.145;     9;     1
 19560202;    3590;   7.695;     9;     1
 19560203;    3370;   7.223;     9;     0
 19560204;    3180;   6.816;     9;     0
 19560205;    2990;   6.409;     9;     0
 19560206;    2800;   6.001;     9;     0
 19560207;    2610;   5.594;     9;     0
 19560208;    2420;   5.187;     9;     0
 19560209;    2420;   5.187;     9;     1
 19560210;    2420;   5.187;     9;     1
 19560211;    2080;   4.458;     9;     1
 19560212;    2080;   4.458;     9;     1
 19560213;    2080;   4.458;     9;     1
 19560214;    1900;   4.072;     9;     1
 19560215;    1900;   4.072;     9;     1
 19560216;    1900;   4.072;     9;     1
 19560217;    1900;   4.072;     9;     1
 19560218;    1730;   3.708;     9;     1
 19560219;    1730;   3.708;     9;     1
 19560220;    1730;   3.708;     9;     1
 19560221;    1560;   3.344;     9;     1
 19560222;    1560;   3.344;     9;     1
 19560223;    1560;   3.344;     9;     1
 19560224;    1560;   3.344;     9;     1
 19560225;    1410;   3.022;     9;     1
 19560226;    1410;   3.022;     9;     1
 19560227;    1410;   3.022;     9;     1
 19560228;    1260;   2.701;     9;     1
 19560229;    1260;   2.701;     9;     1
 19560301;    1260;   2.701;     9;     1
 19560302;    1410;   3.022;     9;     1
 19560303;    3370;   7.223;     9;     1
 19560304;    2800;   6.001;     9;     1
 19560305;    3800;   8.145;     9;     1
 19560306;    2080;   4.458;     9;     1
 19560307;    1730;   3.708;     9;     1
 19560308;    1410;   3.022;     9;     1
 19560309;    1260;   2.701;     9;     1
 19560310;    1260;   2.701;     9;     1
 19560311;     950;   2.036;     9;     1
 19560312;    1100;   2.358;     9;     1
 19560313;     950;   2.036;     9;     1
 19560314;     950;   2.036;     9;     1
 19560315;     750;   1.608;     9;     1
 19560316;     750;   1.608;     9;     1
 19560317;     750;   1.608;     9;     1
 19560318;     950;   2.036;     9;     1
 19560319;     950;   2.036;     9;     1
 19560320;     850;   1.822;     9;     1
 19560321;    1100;   2.358;     9;     0
 19560322;    1100;   2.358;     9;     0
 19560323;    1100;   2.358;     9;     0
