## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:00:05
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Auvergne
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : P1422510
## Nom station                      : La Maronne à Sainte-Eulalie
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      651616 ;    6446810 ;      651642 ;    6446815 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      603787 ;    2013144 ;      603813 ;    2013149 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     2.38467 ;   45.11887 ;     2.38500 ;   45.11892 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      112.00 ;     107.52 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         595 ;        597 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     4.3 [%]
## Débits disponibles               :  1934-01-01 ; 2021-02-01 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19340101;    1150;   0.924;     9;     0
 19340102;    1150;   0.924;     9;     0
 19340103;    1150;   0.924;     9;     0
 19340104;    1150;   0.924;     9;     0
 19340105;    1150;   0.924;     9;     0
 19340106;    1150;   0.924;     9;     0
 19340107;    1150;   0.924;     9;     0
 19340108;    3150;   2.531;     9;     1
 19340109;    2520;   2.025;     9;     1
 19340110;    1820;   1.463;     9;     1
 19340111;    1820;   1.463;     9;     1
 19340112;    3020;   2.427;     9;     1
 19340113;    8800;   7.071;     9;     1
 19340114;    8350;   6.710;     9;     1
 19340115;   14300;  11.491;     5;     1
 19340116;   12700;  10.205;     5;     1
 19340117;   11200;   9.000;     5;     1
 19340118;    9750;   7.835;     5;     1
 19340119;    8550;   6.871;     5;     1
 19340120;    7450;   5.987;     5;     1
 19340121;    6400;   5.143;     5;     1
 19340122;    5400;   4.339;     5;     1
 19340123;    4400;   3.536;     9;     1
 19340124;    3540;   2.845;     9;     1
 19340125;    3020;   2.427;     9;     1
 19340126;    2770;   2.226;     9;     1
 19340127;    2520;   2.025;     9;     1
 19340128;    2310;   1.856;     9;     1
 19340129;    2000;   1.607;     9;     1
 19340130;    1820;   1.463;     9;     1
 19340131;    1630;   1.310;     9;     1
 19340201;    1540;   1.238;     9;     1
 19340202;    1380;   1.109;     9;     1
 19340203;    1380;   1.109;     9;     1
 19340204;    2210;   1.776;     9;     1
 19340205;    1460;   1.173;     9;     1
 19340206;    2210;   1.776;     9;     1
 19340207;    1820;   1.463;     9;     1
 19340208;    1630;   1.310;     9;     1
 19340209;    1460;   1.173;     9;     1
 19340210;    1380;   1.109;     9;     1
 19340211;    1380;   1.109;     9;     1
 19340212;    1150;   0.924;     5;     0
 19340213;    1150;   0.924;     5;     0
 19340214;    1150;   0.924;     5;     0
 19340215;    1150;   0.924;     5;     0
 19340216;    1150;   0.924;     5;     0
 19340217;    1150;   0.924;     5;     0
 19340218;    1150;   0.924;     5;     0
 19340219;    1150;   0.924;     5;     0
 19340220;    1150;   0.924;     5;     0
 19340221;    1150;   0.924;     9;     0
 19340222;    1150;   0.924;     9;     0
 19340223;    1150;   0.924;     9;     0
 19340224;    1150;   0.924;     9;     0
 19340225;    1150;   0.924;     9;     0
 19340226;    1380;   1.109;     9;     1
 19340227;    1380;   1.109;     9;     1
 19340228;    1310;   1.053;     9;     1
 19340301;    1230;   0.988;     9;     1
 19340302;    1150;   0.924;     9;     1
 19340303;    1150;   0.924;     9;     1
 19340304;    1150;   0.924;     9;     1
 19340305;    1150;   0.924;     9;     1
 19340306;    1380;   1.109;     9;     1
 19340307;    9500;   7.634;     9;     1
 19340308;   13000;  10.446;     9;     1
 19340309;   15300;  12.295;     9;     1
 19340310;   14300;  11.491;     9;     1
 19340311;   14300;  11.491;     9;     1
 19340312;   14600;  11.732;     9;     1
 19340313;   11200;   9.000;     9;     1
 19340314;    9050;   7.272;     9;     1
 19340315;   10600;   8.518;     9;     1
 19340316;    9050;   7.272;     9;     1
 19340317;   17100;  13.741;     9;     1
 19340318;   13600;  10.929;     9;     1
 19340319;   11200;   9.000;     9;     1
 19340320;   19700;  15.830;     9;     1
 19340321;   16400;  13.179;     9;     1
 19340322;   12400;   9.964;     9;     1
 19340323;    9250;   7.433;     9;     1
 19340324;    7450;   5.987;     9;     1
 19340325;    6400;   5.143;     9;     1
 19340326;    6600;   5.304;     9;     1
 19340327;    6400;   5.143;     9;     1
 19340328;    5600;   4.500;     9;     1
 19340329;    5800;   4.661;     9;     1
 19340330;    6200;   4.982;     9;     1
 19340331;    6000;   4.821;     9;     1
 19340401;    6000;   4.821;     9;     1
 19340402;    7000;   5.625;     9;     1
 19340403;    6400;   5.143;     9;     1
 19340404;    5800;   4.661;     9;     1
 19340405;    5800;   4.661;     9;     1
 19340406;    6200;   4.982;     9;     1
 19340407;    5800;   4.661;     9;     1
 19340408;    6200;   4.982;     9;     1
 19340409;    8800;   7.071;     9;     1
 19340410;    7000;   5.625;     9;     1
 19340411;    6200;   4.982;     9;     1
 19340412;    7650;   6.147;     9;     1
 19340413;    7450;   5.987;     9;     1
 19340414;    6200;   4.982;     9;     1
 19340415;    6400;   5.143;     9;     1
 19340416;    6800;   5.464;     9;     1
 19340417;    6600;   5.304;     9;     1
 19340418;    7200;   5.786;     9;     1
 19340419;    5250;   4.219;     9;     1
 19340420;    4250;   3.415;     9;     1
 19340421;    3540;   2.845;     9;     1
 19340422;    3150;   2.531;     9;     1
 19340423;    3540;   2.845;     9;     1
 19340424;    3950;   3.174;     9;     1
 19340425;    5250;   4.219;     9;     1
 19340426;    7200;   5.786;     9;     1
 19340427;    7450;   5.987;     9;     1
 19340428;    7200;   5.786;     9;     1
 19340429;    6800;   5.464;     9;     1
 19340430;    9750;   7.835;     9;     1
 19340501;    9050;   7.272;     9;     1
 19340502;    6800;   5.464;     9;     1
 19340503;    5600;   4.500;     9;     1
 19340504;    8550;   6.871;     9;     1
 19340505;    8100;   6.509;     9;     1
 19340506;    6600;   5.304;     9;     1
 19340507;    4890;   3.929;     9;     1
 19340508;    4250;   3.415;     9;     1
 19340509;    3540;   2.845;     9;     1
 19340510;    3150;   2.531;     9;     1
 19340511;    3150;   2.531;     9;     1
 19340512;    2900;   2.330;     9;     1
 19340513;    2770;   2.226;     9;     1
 19340514;    2520;   2.025;     9;     1
 19340515;    2310;   1.856;     9;     1
 19340516;    2000;   1.607;     9;     1
 19340517;    1720;   1.382;     9;     1
 19340518;    1630;   1.310;     9;     1
 19340519;    1380;   1.109;     9;     1
 19340520;    1230;   0.988;     9;     1
 19340521;    1080;   0.868;     9;     1
 19340522;    1010;   0.812;     9;     1
 19340523;     880;   0.707;     9;     1
 19340524;     755;   0.607;     9;     1
 19340525;     640;   0.514;     9;     1
 19340526;     640;   0.514;     9;     1
 19340527;     640;   0.514;     9;     1
 19340528;     530;   0.426;     9;     1
 19340529;     438;   0.352;     9;     1
 19340530;     392;   0.315;     9;     1
 19340531;     438;   0.352;     9;     1
 19340601;     585;   0.470;     9;     1
 19340602;     880;   0.707;     9;     1
 19340603;     640;   0.514;     9;     1
 19340604;     585;   0.470;     9;     1
 19340605;     585;   0.470;     9;     1
 19340606;     530;   0.426;     9;     1
 19340607;     484;   0.389;     9;     1
 19340608;     530;   0.426;     9;     1
 19340609;     392;   0.315;     9;     1
 19340610;     392;   0.315;     9;     1
 19340611;     300;   0.241;     9;     1
 19340612;     300;   0.241;     9;     1
 19340613;     300;   0.241;     9;     0
 19340614;     270;   0.217;     9;     0
 19340615;     240;   0.193;     9;     0
 19340616;     210;   0.169;     9;     0
 19340617;     180;   0.145;     9;     0
 19340618;     120;   0.096;     5;     1
 19340619;     120;   0.096;     5;     1
 19340620;     135;   0.108;     5;     1
 19340621;     346;   0.278;     9;     1
 19340622;     300;   0.241;     9;     1
 19340623;     240;   0.193;     9;     1
 19340624;     210;   0.169;     9;     1
 19340625;     392;   0.315;     9;     1
 19340626;     484;   0.389;     9;     1
 19340627;     438;   0.352;     9;     1
 19340628;     346;   0.278;     9;     1
 19340629;     346;   0.278;     9;     1
 19340630;     810;   0.651;     9;     1
