## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:00:12
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Auvergne
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : P1712910
## Nom station                      : La Cère à Vic-sur-Cère [Comblat-le-Pont]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      669660 ;    6429642 ;      669681 ;    6429679 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      621993 ;    1996112 ;      622013 ;    1996149 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     2.61521 ;   44.96533 ;     2.61547 ;   44.96566 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :       88.00 ;      88.29 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         650 ;        655 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     0.1 [%]
## Débits disponibles               :  1959-01-01 ; 2021-01-31 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19590101;    4070;   3.983;     9;     1
 19590102;    3860;   3.777;     9;     1
 19590103;    4700;   4.599;     9;     1
 19590104;    4940;   4.834;     9;     1
 19590105;    4940;   4.834;     9;     1
 19590106;    5450;   5.333;     9;     1
 19590107;   10200;   9.982;     9;     1
 19590108;   16900;  16.538;     9;     1
 19590109;    9100;   8.905;     9;     1
 19590110;    7300;   7.144;     9;     1
 19590111;    5450;   5.333;     9;     1
 19590112;    4490;   4.394;     9;     1
 19590113;    3860;   3.777;     9;     1
 19590114;    8450;   8.269;     9;     1
 19590115;   16500;  16.147;     9;     1
 19590116;    9800;   9.590;     9;     1
 19590117;    5700;   5.578;     9;     1
 19590118;    4280;   4.188;     9;     1
 19590119;    3650;   3.572;     9;     1
 19590120;    4070;   3.983;     9;     1
 19590121;    9100;   8.905;     9;     1
 19590122;    7000;   6.850;     9;     1
 19590123;   10200;   9.982;     9;     1
 19590124;   10500;  10.275;     9;     1
 19590125;    8750;   8.563;     9;     1
 19590126;    5450;   5.333;     9;     1
 19590127;    4280;   4.188;     9;     1
 19590128;    3460;   3.386;     9;     1
 19590129;    3080;   3.014;     9;     1
 19590130;    2890;   2.828;     9;     1
 19590131;    1310;   1.282;     9;     1
 19590201;    2370;   2.319;     9;     1
 19590202;    2200;   2.153;     9;     1
 19590203;    2040;   1.996;     9;     1
 19590204;    2040;   1.996;     9;     1
 19590205;    2040;   1.996;     9;     1
 19590206;    1870;   1.830;     9;     1
 19590207;    1870;   1.830;     9;     1
 19590208;    1870;   1.830;     9;     1
 19590209;    1870;   1.830;     9;     1
 19590210;    1730;   1.693;     9;     1
 19590211;    1730;   1.693;     9;     1
 19590212;    1590;   1.556;     9;     1
 19590213;    1590;   1.556;     9;     1
 19590214;    1450;   1.419;     9;     1
 19590215;    1310;   1.282;     9;     1
 19590216;    1310;   1.282;     9;     1
 19590217;    1170;   1.145;     9;     1
 19590218;    1170;   1.145;     9;     1
 19590219;    1060;   1.037;     9;     1
 19590220;    1170;   1.145;     9;     1
 19590221;    1170;   1.145;     9;     1
 19590222;    1060;   1.037;     9;     1
 19590223;     940;   0.920;     9;     1
 19590224;    1060;   1.037;     9;     1
 19590225;    1170;   1.145;     9;     1
 19590226;    1450;   1.419;     9;     0
 19590227;    1450;   1.419;     9;     0
 19590228;    1450;   1.419;     9;     0
 19590301;    1450;   1.419;     9;     0
 19590302;    1450;   1.419;     9;     0
 19590303;    1730;   1.693;     9;     1
 19590304;    5900;   5.774;     9;     1
 19590305;    4070;   3.983;     9;     1
 19590306;    4070;   3.983;     9;     1
 19590307;    5200;   5.089;     9;     1
 19590308;    4280;   4.188;     9;     1
 19590309;    3460;   3.386;     9;     1
 19590310;    3080;   3.014;     9;     1
 19590311;    2890;   2.828;     9;     1
 19590312;    2890;   2.828;     9;     1
 19590313;    2530;   2.476;     9;     1
 19590314;    2200;   2.153;     9;     1
 19590315;    2040;   1.996;     9;     1
 19590316;    1870;   1.830;     9;     1
 19590317;    1870;   1.830;     9;     1
 19590318;    1870;   1.830;     9;     1
 19590319;    1870;   1.830;     9;     1
 19590320;    1730;   1.693;     9;     1
 19590321;    1730;   1.693;     9;     1
 19590322;    2700;   2.642;     9;     1
 19590323;    3080;   3.014;     9;     1
 19590324;    2890;   2.828;     9;     1
