## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:00:29
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Aquitaine
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : P2315020
## Nom station                      : La Borrèze à Lachapelle-Auzac [Lamothe]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      579370 ;    6424357 ;      579420 ;    6424241 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      531662 ;    1990065 ;      531713 ;    1989949 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     1.47157 ;   44.90790 ;     1.47223 ;   44.90686 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      120.00 ;     111.71 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         105 ;        109 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :    11.1 [%]
## Débits disponibles               :  1971-10-28 ; 2021-02-28 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19711028;     260;   0.201;     9;     0
 19711029;     260;   0.201;     9;     0
 19711030;     260;   0.201;     9;     0
 19711031;     260;   0.201;     9;     0
 19711101;     260;   0.201;     9;     0
 19711102;     260;   0.201;     9;     0
 19711103;     260;   0.201;     9;     0
 19711104;     258;   0.200;     9;     1
 19711105;     243;   0.188;     9;     1
 19711106;     224;   0.173;     9;     1
 19711107;     206;   0.159;     9;     1
 19711108;     236;   0.183;     9;     1
 19711109;     271;   0.210;     9;     0
 19711110;     281;   0.217;     9;     0
 19711111;     291;   0.225;     9;     0
 19711112;     301;   0.233;     9;     0
 19711113;     311;   0.241;     9;     0
 19711114;     321;   0.248;     9;     0
 19711115;     277;   0.214;     9;     1
 19711116;     217;   0.168;     9;     1
 19711117;     255;   0.197;     9;     1
 19711118;     260;   0.201;     9;     1
 19711119;     402;   0.311;     9;     1
 19711120;     534;   0.413;     9;     1
 19711121;     520;   0.402;     9;     1
 19711122;    1390;   1.075;     9;     1
 19711123;    1300;   1.005;     9;     1
 19711124;    1270;   0.982;     9;     1
 19711125;    1280;   0.990;     9;     1
 19711126;    1170;   0.905;     9;     1
 19711127;    1060;   0.820;     9;     1
 19711128;     952;   0.736;     9;     1
 19711129;     852;   0.659;     9;     1
 19711130;     781;   0.604;     9;     1
 19711201;     956;   0.739;     9;     1
 19711202;    1150;   0.889;     9;     1
 19711203;    1600;   1.237;     9;     1
 19711204;    1590;   1.230;     9;     1
 19711205;    1400;   1.083;     9;     1
 19711206;    1230;   0.951;     9;     1
 19711207;    1130;   0.874;     9;     1
 19711208;    1050;   0.812;     9;     1
 19711209;     958;   0.741;     9;     1
 19711210;     913;   0.706;     9;     1
 19711211;     888;   0.687;     9;     1
 19711212;     864;   0.668;     9;     1
 19711213;     831;   0.643;     9;     1
 19711214;     754;   0.583;     9;     1
 19711215;     672;   0.520;     9;     1
 19711216;     633;   0.490;     9;     1
 19711217;     606;   0.469;     9;     1
 19711218;     580;   0.449;     9;     1
 19711219;     555;   0.429;     9;     1
 19711220;     534;   0.413;     9;     1
 19711221;     512;   0.396;     9;     1
 19711222;     491;   0.380;     9;     1
 19711223;     475;   0.367;     9;     0
 19711224;     462;   0.357;     9;     0
 19711225;     449;   0.347;     9;     0
 19711226;     436;   0.337;     9;     0
 19711227;     423;   0.327;     9;     0
 19711228;     413;   0.319;     9;     1
 19711229;     474;   0.367;     9;     1
 19711230;     516;   0.399;     9;     1
 19711231;     548;   0.424;     9;     1
 19720101;     560;   0.433;     9;     1
 19720102;     587;   0.454;     9;     1
 19720103;     759;   0.587;     9;     1
 19720104;     947;   0.732;     9;     1
 19720105;    1110;   0.859;     9;     1
 19720106;    1090;   0.843;     9;     1
 19720107;    1040;   0.804;     9;     1
 19720108;    1000;   0.773;     9;     1
 19720109;     959;   0.742;     9;     1
 19720110;     918;   0.710;     9;     1
 19720111;     879;   0.680;     9;     1
 19720112;     850;   0.657;     9;     1
 19720113;     884;   0.684;     9;     1
 19720114;     936;   0.724;     9;     1
 19720115;    1030;   0.797;     9;     1
 19720116;    1120;   0.866;     9;     1
 19720117;    1110;   0.859;     9;     1
 19720118;    1010;   0.781;     9;     1
 19720119;     930;   0.719;     9;     1
 19720120;     915;   0.708;     9;     1
 19720121;     902;   0.698;     9;     1
 19720122;     890;   0.688;     9;     1
