## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:00:34
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Aquitaine
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : P2484010
## Nom station                      : Le Céou à Saint-Cybranet
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      555380 ;    6411707 ;      555339 ;    6411754 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      507754 ;    1977202 ;      507713 ;    1977249 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     1.17141 ;   44.78944 ;     1.17088 ;   44.78985 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      555.00 ;     572.68 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :          74 ;         77 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     1.7 [%]
## Débits disponibles               :  1968-11-05 ; 2021-02-28 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19681105;    1150;   0.174;     9;     1
 19681106;    1050;   0.158;     9;     1
 19681107;    1020;   0.154;     9;     1
 19681108;     940;   0.142;     9;     1
 19681109;     919;   0.139;     9;     1
 19681110;     805;   0.121;     9;     1
 19681111;     760;   0.115;     9;     1
 19681112;     696;   0.105;     9;     1
 19681113;     673;   0.102;     9;     1
 19681114;     661;   0.100;     9;     1
 19681115;     631;   0.095;     9;     1
 19681116;     599;   0.090;     9;     1
 19681117;     574;   0.087;     9;     1
 19681118;     513;   0.077;     9;     1
 19681119;     472;   0.071;     9;     1
 19681120;     448;   0.068;     9;     1
 19681121;     427;   0.064;     9;     1
 19681122;     402;   0.061;     9;     1
 19681123;     349;   0.053;     9;     1
 19681124;     352;   0.053;     9;     1
 19681125;     328;   0.049;     9;     1
 19681126;     319;   0.048;     9;     1
 19681127;     348;   0.053;     9;     1
 19681128;     333;   0.050;     9;     1
 19681129;     376;   0.057;     9;     1
 19681130;     385;   0.058;     9;     1
 19681201;     368;   0.056;     9;     1
 19681202;     300;   0.045;     9;     1
 19681203;     265;   0.040;     9;     1
 19681204;     255;   0.038;     9;     1
 19681205;     248;   0.037;     9;     1
 19681206;     234;   0.035;     9;     1
 19681207;     221;   0.033;     9;     1
 19681208;     221;   0.033;     9;     1
 19681209;     204;   0.031;     9;     1
 19681210;     242;   0.037;     9;     1
 19681211;     235;   0.035;     9;     1
 19681212;     215;   0.032;     9;     1
 19681213;     221;   0.033;     9;     1
 19681214;     235;   0.035;     9;     1
 19681215;     349;   0.053;     9;     1
 19681216;    1090;   0.164;     9;     1
 19681217;    4510;   0.680;     9;     1
 19681218;   12700;   1.916;     9;     1
 19681219;   30000;   4.526;     9;     1
 19681220;   33300;   5.024;     9;     1
 19681221;   23000;   3.470;     9;     1
 19681222;   15800;   2.384;     9;     1
 19681223;   11100;   1.675;     9;     1
 19681224;    8340;   1.258;     9;     1
 19681225;    7500;   1.132;     9;     1
 19681226;   12200;   1.841;     9;     1
 19681227;   17800;   2.685;     9;     1
 19681228;   14200;   2.142;     9;     1
 19681229;   10800;   1.629;     9;     1
 19681230;    8250;   1.245;     9;     1
 19681231;    6630;   1.000;     9;     1
 19690101;    5510;   0.831;     9;     1
 19690102;    4680;   0.706;     9;     1
 19690103;    4100;   0.619;     9;     1
 19690104;    3630;   0.548;     9;     1
 19690105;    3150;   0.475;     9;     1
 19690106;    2790;   0.421;     9;     1
 19690107;    2560;   0.386;     9;     1
 19690108;    2520;   0.380;     9;     1
 19690109;    2260;   0.341;     9;     1
 19690110;    2080;   0.314;     9;     1
 19690111;    1960;   0.296;     9;     1
 19690112;    1940;   0.293;     9;     1
 19690113;    1900;   0.287;     9;     1
 19690114;    2170;   0.327;     9;     1
 19690115;    4530;   0.683;     9;     1
 19690116;   12000;   1.810;     9;     1
 19690117;   22000;   3.319;     9;     1
 19690118;   24600;   3.711;     9;     1
 19690119;   27900;   4.209;     9;     1
 19690120;   23200;   3.500;     9;     1
 19690121;   17100;   2.580;     9;     1
 19690122;   13000;   1.961;     9;     1
 19690123;   10500;   1.584;     9;     1
 19690124;    8610;   1.299;     9;     1
 19690125;    7350;   1.109;     9;     1
 19690126;    6350;   0.958;     9;     1
 19690127;    5500;   0.830;     9;     1
 19690128;    4880;   0.736;     9;     1
