## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:00:38
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) EDF
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : P3021010
## Nom station                      : La Vézère à Bugeat
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      616142 ;    6501075 ;      616229 ;    6501063 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      567826 ;    2067161 ;      567913 ;    2067149 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     1.92417 ;   45.60406 ;     1.92529 ;   45.60396 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      143.00 ;     136.14 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         675 ;        675 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     0.3 [%]
## Débits disponibles               :  1951-01-01 ; 2015-12-31 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19510101;    3090;   1.961;     9;     1
 19510102;    3230;   2.050;     9;     1
 19510103;    3230;   2.050;     9;     1
 19510104;    3090;   1.961;     9;     1
 19510105;    2950;   1.872;     9;     1
 19510106;    3090;   1.961;     9;     1
 19510107;    3550;   2.253;     9;     1
 19510108;    4020;   2.551;     9;     1
 19510109;    3860;   2.450;     9;     1
 19510110;    3860;   2.450;     9;     1
 19510111;    5380;   3.414;     9;     1
 19510112;   12300;   7.806;     9;     1
 19510113;    8250;   5.236;     9;     1
 19510114;    7050;   4.474;     9;     1
 19510115;   19300;  12.249;     9;     1
 19510116;   23000;  14.597;     9;     1
 19510117;   19300;  12.249;     9;     1
 19510118;   22300;  14.152;     9;     1
 19510119;   28000;  17.770;     9;     1
 19510120;   25300;  16.056;     9;     1
 19510121;   23600;  14.978;     9;     1
 19510122;   19900;  12.629;     9;     1
 19510123;   17000;  10.789;     9;     1
 19510124;   15400;   9.773;     9;     1
 19510125;   13500;   8.568;     9;     1
 19510126;   11100;   7.045;     9;     1
 19510127;   10400;   6.600;     9;     1
 19510128;    8670;   5.502;     9;     1
 19510129;    7850;   4.982;     9;     1
 19510130;    6850;   4.347;     9;     1
 19510131;    6090;   3.865;     9;     1
 19510201;    5550;   3.522;     9;     1
 19510202;    5210;   3.306;     9;     1
 19510203;    5030;   3.192;     9;     1
 19510204;    5380;   3.414;     9;     1
 19510205;    6090;   3.865;     9;     1
 19510206;    5210;   3.306;     9;     1
 19510207;    4860;   3.084;     9;     1
 19510208;    7250;   4.601;     9;     1
 19510209;   12100;   7.679;     9;     1
 19510210;    7250;   4.601;     9;     1
 19510211;    7850;   4.982;     9;     1
 19510212;    6850;   4.347;     9;     1
 19510213;    8670;   5.502;     9;     1
 19510214;   10900;   6.918;     9;     1
 19510215;    9090;   5.769;     9;     1
 19510216;    7850;   4.982;     9;     1
 19510217;   11800;   7.489;     9;     1
 19510218;   22000;  13.962;     9;     1
 19510219;   19900;  12.629;     9;     1
 19510220;   21700;  13.772;     9;     1
 19510221;   25900;  16.437;     9;     1
 19510222;   23000;  14.597;     9;     1
 19510223;   20800;  13.201;     9;     1
 19510224;   17600;  11.170;     9;     1
 19510225;   15100;   9.583;     9;     1
 19510226;   12300;   7.806;     9;     1
 19510227;   10900;   6.918;     9;     1
 19510228;    9740;   6.181;     9;     1
 19510301;    8250;   5.236;     9;     1
 19510302;    7250;   4.601;     9;     1
 19510303;    6850;   4.347;     9;     1
 19510304;    6280;   3.986;     9;     1
 19510305;    5910;   3.751;     9;     1
 19510306;    5550;   3.522;     9;     1
 19510307;    5380;   3.414;     9;     1
 19510308;    5550;   3.522;     9;     1
 19510309;    5380;   3.414;     9;     1
 19510310;    5380;   3.414;     9;     1
 19510311;    9090;   5.769;     9;     1
 19510312;   13000;   8.250;     9;     1
 19510313;   15100;   9.583;     9;     1
 19510314;   19900;  12.629;     9;     1
 19510315;   17300;  10.979;     9;     1
 19510316;   19900;  12.629;     9;     1
 19510317;   23000;  14.597;     9;     1
 19510318;   27000;  17.135;     9;     1
 19510319;   24900;  15.803;     9;     1
 19510320;   25300;  16.056;     9;     1
 19510321;   21100;  13.391;     9;     1
 19510322;   17300;  10.979;     9;     1
 19510323;   15100;   9.583;     9;     1
