## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:00:48
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Aquitaine
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : P3234010
## Nom station                      : La Loyre à Voutezac [Pont de l'Aumonerie]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      575805 ;    6468663 ;      575795 ;    6468730 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      527723 ;    2034382 ;      527713 ;    2034449 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     1.41514 ;   45.30612 ;     1.41500 ;   45.30672 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      103.00 ;     103.53 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         145 ;        153 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       0 [%]
## Débits disponibles               :  1968-01-01 ; 2021-02-28 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19680101;    1970;   1.644;     9;     1
 19680102;    4690;   3.914;     9;     1
 19680103;    4880;   4.073;     9;     1
 19680104;    4100;   3.422;     9;     1
 19680105;    5050;   4.214;     9;     1
 19680106;    4510;   3.764;     9;     1
 19680107;   11900;   9.931;     9;     1
 19680108;    5050;   4.214;     9;     1
 19680109;    7550;   6.301;     9;     1
 19680110;    5600;   4.673;     9;     1
 19680111;    3440;   2.871;     9;     1
 19680112;    2820;   2.353;     9;     1
 19680113;    2280;   1.903;     9;     1
 19680114;    2280;   1.903;     9;     1
 19680115;    2460;   2.053;     9;     1
 19680116;    1830;   1.527;     9;     1
 19680117;    1830;   1.527;     9;     1
 19680118;    1830;   1.527;     9;     1
 19680119;    1700;   1.419;     9;     1
 19680120;    1430;   1.193;     9;     1
 19680121;    1320;   1.102;     9;     1
 19680122;    1220;   1.018;     9;     1
 19680123;    1220;   1.018;     9;     1
 19680124;    1220;   1.018;     9;     1
 19680125;    1220;   1.018;     9;     1
 19680126;    1320;   1.102;     9;     1
 19680127;    1320;   1.102;     9;     1
 19680128;    1220;   1.018;     9;     1
 19680129;    1110;   0.926;     9;     1
 19680130;    1010;   0.843;     9;     1
 19680131;    1010;   0.843;     9;     1
 19680201;     900;   0.751;     9;     1
 19680202;    1010;   0.843;     9;     1
 19680203;    1430;   1.193;     9;     1
 19680204;    1320;   1.102;     9;     1
 19680205;    1220;   1.018;     9;     1
 19680206;    2820;   2.353;     9;     1
 19680207;    9050;   7.553;     9;     1
 19680208;    6200;   5.174;     9;     1
 19680209;    5250;   4.381;     9;     1
 19680210;    3440;   2.871;     9;     1
 19680211;    2640;   2.203;     9;     1
 19680212;    3000;   2.504;     9;     1
 19680213;    2460;   2.053;     9;     1
 19680214;    2100;   1.753;     9;     1
 19680215;    1830;   1.527;     9;     1
 19680216;    1700;   1.419;     9;     1
 19680217;    1430;   1.193;     9;     1
 19680218;    1430;   1.193;     9;     1
 19680219;    1560;   1.302;     9;     1
 19680220;    3000;   2.504;     9;     1
 19680221;    1970;   1.644;     9;     1
 19680222;    2280;   1.903;     9;     1
 19680223;    2640;   2.203;     9;     1
 19680224;    1970;   1.644;     9;     1
 19680225;    1700;   1.419;     9;     1
 19680226;    1560;   1.302;     9;     1
 19680227;    1560;   1.302;     9;     1
 19680228;    1430;   1.193;     9;     1
 19680229;    1320;   1.102;     9;     1
 19680301;    1220;   1.018;     9;     1
 19680302;    1220;   1.018;     9;     1
 19680303;    1220;   1.018;     9;     1
 19680304;    1220;   1.018;     9;     1
 19680305;    1110;   0.926;     9;     1
 19680306;    1010;   0.843;     9;     1
 19680307;     805;   0.672;     9;     1
 19680308;     805;   0.672;     9;     1
 19680309;     805;   0.672;     9;     1
 19680310;     805;   0.672;     9;     1
 19680311;     900;   0.751;     9;     1
 19680312;    1010;   0.843;     9;     1
 19680313;     900;   0.751;     9;     1
 19680314;     805;   0.672;     9;     1
 19680315;     900;   0.751;     9;     1
 19680316;    1430;   1.193;     9;     1
 19680317;    1220;   1.018;     9;     1
 19680318;    1320;   1.102;     9;     1
 19680319;    1220;   1.018;     9;     1
 19680320;    1220;   1.018;     9;     1
 19680321;    1430;   1.193;     9;     1
 19680322;    1830;   1.527;     9;     1
 19680323;    1970;   1.644;     9;     1
 19680324;    1430;   1.193;     9;     1
