## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:01:36
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Aquitaine
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : P8012510
## Nom station                      : La Dronne à Champs-Romain [Le Manet]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      524442 ;    6493071 ;      524545 ;    6493135 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      476111 ;    2058384 ;      476213 ;    2058449 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     0.75113 ;   45.51461 ;     0.75242 ;   45.51521 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      140.00 ;     139.71 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         150 ;        160 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     0.3 [%]
## Débits disponibles               :  1966-11-26 ; 2021-02-28 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19661126;     978;   0.605;     9;     1
 19661127;    1210;   0.748;     9;     1
 19661128;    1910;   1.181;     9;     1
 19661129;    3450;   2.134;     9;     1
 19661130;    4740;   2.931;     5;     1
 19661201;    8370;   5.176;     5;     1
 19661202;   10400;   6.432;     5;     1
 19661203;    7490;   4.632;     5;     1
 19661204;    6460;   3.995;     9;     1
 19661205;    4470;   2.764;     9;     1
 19661206;    4440;   2.746;     9;     1
 19661207;    5690;   3.519;     9;     1
 19661208;    3920;   2.424;     9;     1
 19661209;    4130;   2.554;     9;     1
 19661210;    4500;   2.783;     9;     1
 19661211;    9000;   5.566;     9;     1
 19661212;   10600;   6.555;     5;     1
 19661213;   10900;   6.741;     5;     1
 19661214;    6790;   4.199;     9;     1
 19661215;    6460;   3.995;     9;     1
 19661216;    5270;   3.259;     9;     1
 19661217;    4360;   2.696;     9;     1
 19661218;    3920;   2.424;     9;     1
 19661219;    3660;   2.263;     9;     1
 19661220;    3570;   2.208;     9;     1
 19661221;    3700;   2.288;     9;     1
 19661222;    3590;   2.220;     9;     1
 19661223;    4290;   2.653;     9;     1
 19661224;    3700;   2.288;     9;     1
 19661225;    4050;   2.505;     9;     1
 19661226;    3840;   2.375;     9;     1
 19661227;    3500;   2.164;     9;     1
 19661228;    4350;   2.690;     9;     1
 19661229;    8050;   4.978;     5;     1
 19661230;   11500;   7.112;     5;     1
 19661231;    7730;   4.780;     9;     1
 19670101;    5630;   3.482;     9;     1
 19670102;    4930;   3.049;     9;     1
 19670103;    5090;   3.148;     9;     1
 19670104;    4260;   2.634;     9;     1
 19670105;    3890;   2.406;     9;     1
 19670106;    3590;   2.220;     9;     1
 19670107;    3300;   2.041;     9;     1
 19670108;    3200;   1.979;     9;     1
 19670109;    2980;   1.843;     9;     1
 19670110;    2880;   1.781;     9;     1
 19670111;    2740;   1.694;     9;     1
 19670112;    2670;   1.651;     9;     1
 19670113;    2850;   1.763;     9;     1
 19670114;    3190;   1.973;     9;     1
 19670115;    3030;   1.874;     9;     1
 19670116;    2860;   1.769;     9;     1
 19670117;    2660;   1.645;     9;     1
 19670118;    2650;   1.639;     9;     1
 19670119;    2600;   1.608;     9;     1
 19670120;    3370;   2.084;     9;     1
 19670121;    3590;   2.220;     9;     1
 19670122;    3740;   2.313;     9;     1
 19670123;    3340;   2.066;     9;     1
 19670124;    5300;   3.278;     9;     1
 19670125;    5130;   3.173;     9;     1
 19670126;    4130;   2.554;     9;     1
 19670127;    3780;   2.338;     9;     1
 19670128;    3420;   2.115;     9;     1
 19670129;    3140;   1.942;     9;     1
 19670130;    2960;   1.831;     9;     1
 19670131;    2740;   1.694;     9;     1
 19670201;    2600;   1.608;     9;     1
 19670202;    2590;   1.602;     9;     1
 19670203;    2510;   1.552;     9;     1
 19670204;    2400;   1.484;     9;     1
 19670205;    2390;   1.478;     9;     1
 19670206;    2320;   1.435;     9;     1
 19670207;    2270;   1.404;     9;     1
 19670208;    2240;   1.385;     9;     1
 19670209;    2140;   1.323;     9;     1
 19670210;    2190;   1.354;     9;     1
 19670211;    2130;   1.317;     9;     1
 19670212;    2160;   1.336;     9;     1
 19670213;    2180;   1.348;     9;     1
 19670214;    2310;   1.429;     9;     1
 19670215;    2400;   1.484;     9;     1
 19670216;    3700;   2.288;     9;     1
