## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:02:03
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Aquitaine
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : Q0522520
## Nom station                      : L'Arros à Gourgue
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      476868 ;    6229681 ;      476907 ;    6229692 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      430674 ;    1794338 ;      430713 ;    1794349 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     0.25923 ;   43.13153 ;     0.25971 ;   43.13164 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      173.00 ;     183.35 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         292 ;        299 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     4.3 [%]
## Débits disponibles               :  1968-10-01 ; 2015-05-31 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19681001;    1250;   0.589;     9;     0
 19681002;    1250;   0.589;     9;     0
 19681003;    1250;   0.589;     9;     0
 19681004;    1250;   0.589;     9;     0
 19681005;    1250;   0.589;     9;     0
 19681006;    1250;   0.589;     9;     0
 19681007;    1230;   0.580;     9;     1
 19681008;    1180;   0.556;     9;     1
 19681009;    1140;   0.537;     9;     1
 19681010;    1080;   0.509;     9;     1
 19681011;    1050;   0.495;     9;     1
 19681012;    1070;   0.504;     9;     1
 19681013;    1090;   0.514;     9;     1
 19681014;    1050;   0.495;     9;     1
 19681015;    1030;   0.485;     9;     1
 19681016;    1050;   0.495;     9;     1
 19681017;    1020;   0.481;     9;     1
 19681018;    1010;   0.476;     9;     1
 19681019;    1000;   0.471;     9;     1
 19681020;    1000;   0.471;     9;     1
 19681021;    1000;   0.471;     9;     1
 19681022;     990;   0.467;     9;     1
 19681023;     990;   0.467;     9;     1
 19681024;     990;   0.467;     9;     1
 19681025;    1040;   0.490;     9;     1
 19681026;    1090;   0.514;     9;     1
 19681027;    1020;   0.481;     9;     1
 19681028;    1000;   0.471;     9;     1
 19681029;     995;   0.469;     9;     1
 19681030;     990;   0.467;     9;     1
 19681031;     985;   0.464;     9;     1
 19681101;    1050;   0.495;     9;     1
 19681102;    1740;   0.820;     9;     1
 19681103;    2140;   1.008;     9;     1
 19681104;    1880;   0.886;     9;     1
 19681105;    1580;   0.745;     9;     1
 19681106;    1420;   0.669;     9;     1
 19681107;    1350;   0.636;     9;     1
 19681108;    1580;   0.745;     9;     1
 19681109;    5500;   2.592;     9;     1
 19681110;    2740;   1.291;     9;     1
 19681111;    2190;   1.032;     9;     1
 19681112;    1960;   0.924;     9;     1
 19681113;    1700;   0.801;     9;     1
 19681114;    1420;   0.669;     9;     1
 19681115;    1330;   0.627;     9;     1
 19681116;    1420;   0.669;     9;     1
 19681117;    1500;   0.707;     9;     1
 19681118;    1480;   0.697;     9;     1
 19681119;    1440;   0.679;     9;     1
 19681120;    1410;   0.664;     9;     1
 19681121;    1330;   0.627;     9;     1
 19681122;    1290;   0.608;     9;     1
 19681123;    1250;   0.589;     9;     1
 19681124;    1180;   0.556;     9;     1
 19681125;    1140;   0.537;     9;     1
 19681126;    1130;   0.532;     9;     1
 19681127;    1110;   0.523;     9;     1
 19681128;    1090;   0.514;     9;     1
 19681129;    1100;   0.518;     9;     1
 19681130;    1400;   0.660;     9;     1
 19681201;    1310;   0.617;     9;     1
 19681202;    1180;   0.556;     9;     1
 19681203;    1110;   0.523;     9;     1
 19681204;    1080;   0.509;     9;     1
 19681205;    1060;   0.500;     9;     1
 19681206;    1050;   0.495;     9;     1
 19681207;    1050;   0.495;     9;     1
 19681208;    1050;   0.495;     9;     1
 19681209;    1380;   0.650;     9;     1
 19681210;    2070;   0.975;     9;     1
 19681211;    3590;   1.692;     9;     1
 19681212;    2810;   1.324;     9;     1
 19681213;    2150;   1.013;     9;     1
 19681214;    2830;   1.334;     9;     1
 19681215;    3040;   1.433;     9;     1
 19681216;    5600;   2.639;     9;     1
 19681217;   12400;   5.843;     9;     1
 19681218;    9100;   4.288;     9;     1
 19681219;    7650;   3.605;     9;     1
 19681220;    7300;   3.440;     9;     1
 19681221;    5000;   2.356;     9;     1
 19681222;    4470;   2.106;     9;     1
