## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:02:50
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) EDF
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : Q6332510
## Nom station                      : Le Gave d'Aspe à Bedous [Pont d'Escot]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      406132 ;    6225883 ;      406153 ;    6225881 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      359684 ;    1779884 ;      359913 ;    1789949 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :    -0.60437 ;   42.98139 ;    -0.60618 ;   43.07182 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      425.00 ;     432.72 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         311 ;        326 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     1.6 [%]
## Débits disponibles               :  1948-01-01 ; 2014-12-31 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19480101;   33000;   6.589;     9;     1
 19480102;   34000;   6.789;     9;     1
 19480103;   34000;   6.789;     9;     1
 19480104;   36000;   7.188;     9;     1
 19480105;   38000;   7.587;     9;     1
 19480106;   51000;  10.183;     9;     1
 19480107;   73000;  14.576;     9;     1
 19480108;   52000;  10.383;     9;     1
 19480109;   51000;  10.183;     9;     1
 19480110;   52000;  10.383;     9;     1
 19480111;   39000;   7.787;     9;     1
 19480112;   37000;   7.388;     9;     1
 19480113;   36000;   7.188;     9;     1
 19480114;   33000;   6.589;     9;     1
 19480115;   32000;   6.389;     9;     1
 19480116;   30000;   5.990;     9;     1
 19480117;   28000;   5.591;     9;     1
 19480118;   29000;   5.790;     9;     1
 19480119;   36000;   7.188;     9;     1
 19480120;   35000;   6.988;     9;     1
 19480121;   34000;   6.789;     9;     1
 19480122;   53000;  10.582;     9;     1
 19480123;   48000;   9.584;     9;     1
 19480124;   41000;   8.186;     9;     1
 19480125;   39000;   7.787;     9;     1
 19480126;   38000;   7.587;     9;     1
 19480127;   43000;   8.586;     9;     1
 19480128;   46000;   9.185;     9;     1
 19480129;   55000;  10.982;     9;     1
 19480130;   48000;   9.584;     9;     1
 19480131;   43000;   8.586;     9;     1
 19480201;   49000;   9.784;     9;     1
 19480202;   41000;   8.186;     9;     1
 19480203;   39000;   7.787;     9;     1
 19480204;   39000;   7.787;     9;     1
 19480205;   39000;   7.787;     9;     1
 19480206;   34000;   6.789;     9;     1
 19480207;   31000;   6.190;     9;     1
 19480208;   30000;   5.990;     9;     1
 19480209;   28000;   5.591;     9;     1
 19480210;   30000;   5.990;     9;     1
 19480211;   30000;   5.990;     9;     1
 19480212;   31000;   6.190;     9;     1
 19480213;   28000;   5.591;     9;     1
 19480214;   27000;   5.391;     9;     1
 19480215;   25000;   4.992;     9;     1
 19480216;   24000;   4.792;     9;     1
 19480217;   23000;   4.592;     9;     1
 19480218;   24000;   4.792;     9;     1
 19480219;   24000;   4.792;     9;     1
 19480220;   21000;   4.193;     9;     1
 19480221;   19500;   3.894;     9;     1
 19480222;   18000;   3.594;     9;     1
 19480223;   16000;   3.195;     9;     1
 19480224;   15500;   3.095;     9;     1
 19480225;   16000;   3.195;     9;     1
 19480226;   17000;   3.394;     9;     1
 19480227;   17500;   3.494;     9;     1
 19480228;   18500;   3.694;     9;     1
 19480229;   20000;   3.993;     9;     1
 19480301;   19000;   3.794;     9;     1
 19480302;   19000;   3.794;     9;     1
 19480303;   19500;   3.894;     9;     1
 19480304;   20000;   3.993;     9;     1
 19480305;   20000;   3.993;     9;     1
 19480306;   18500;   3.694;     9;     1
 19480307;   17000;   3.394;     9;     1
 19480308;   16500;   3.295;     9;     1
 19480309;   19500;   3.894;     9;     1
 19480310;   20000;   3.993;     9;     1
 19480311;   22000;   4.393;     9;     1
 19480312;   25000;   4.992;     9;     1
 19480313;   25000;   4.992;     9;     1
 19480314;   24000;   4.792;     9;     1
 19480315;   22000;   4.393;     9;     1
 19480316;   21000;   4.193;     9;     1
 19480317;   20000;   3.993;     9;     0
 19480318;   20000;   3.993;     9;     0
 19480319;   20000;   3.993;     9;     0
 19480320;   20000;   3.993;     9;     0
 19480321;   20000;   3.993;     9;     0
 19480322;   20000;   3.993;     9;     0
 19480323;   20000;   3.993;     9;     0
