## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:02:53
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Aquitaine
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : Q7002910
## Nom station                      : Le Gave d'Oloron à Oloron-Sainte-Marie [Oloron-SNCF]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      406648 ;    6239997 ;      406668 ;    6239961 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      360293 ;    1804085 ;      360313 ;    1804049 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :    -0.60802 ;   43.19886 ;    -0.60775 ;   43.19854 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :     1085.00 ;    1100.55 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         204 ;        211 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       0 [%]
## Débits disponibles               :  1912-01-01 ; 2021-02-28 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19120101;   21100;   1.656;     9;     1
 19120102;   19400;   1.523;     9;     1
 19120103;   17600;   1.382;     9;     1
 19120104;   17600;   1.382;     9;     1
 19120105;   17600;   1.382;     9;     1
 19120106;   15900;   1.248;     9;     1
 19120107;   15900;   1.248;     9;     1
 19120108;   32000;   2.512;     9;     1
 19120109;   29500;   2.316;     9;     1
 19120110;   27300;   2.143;     9;     1
 19120111;   25100;   1.971;     9;     1
 19120112;   25100;   1.971;     9;     1
 19120113;   23100;   1.813;     9;     1
 19120114;   21100;   1.656;     9;     1
 19120115;   21100;   1.656;     9;     1
 19120116;   19400;   1.523;     9;     1
 19120117;   19400;   1.523;     9;     1
 19120118;   19400;   1.523;     9;     1
 19120119;   15900;   1.248;     9;     1
 19120120;   15900;   1.248;     9;     1
 19120121;   15900;   1.248;     9;     1
 19120122;   14400;   1.130;     9;     1
 19120123;   14400;   1.130;     9;     1
 19120124;   14400;   1.130;     9;     1
 19120125;   12900;   1.013;     9;     1
 19120126;   12900;   1.013;     9;     1
 19120127;   12900;   1.013;     9;     1
 19120128;   11700;   0.919;     9;     1
 19120129;   11700;   0.919;     9;     1
 19120130;   11700;   0.919;     9;     1
 19120131;   32000;   2.512;     9;     1
 19120201;   10700;   0.840;     9;     1
 19120202;   10700;   0.840;     9;     1
 19120203;   10700;   0.840;     9;     1
 19120204;   11300;   0.887;     9;     1
 19120205;   11300;   0.887;     9;     1
 19120206;   22700;   1.782;     9;     1
 19120207;   25100;   1.971;     9;     1
 19120208;   19700;   1.547;     9;     1
 19120209;   17600;   1.382;     9;     1
 19120210;   16900;   1.327;     9;     1
 19120211;   15900;   1.248;     9;     1
 19120212;   15000;   1.178;     9;     1
 19120213;   14400;   1.130;     9;     1
 19120214;   13800;   1.083;     9;     1
 19120215;   54500;   4.279;     9;     1
 19120216;   34500;   2.708;     9;     1
 19120217;   25100;   1.971;     9;     1
 19120218;   23900;   1.876;     9;     1
 19120219;   22300;   1.751;     9;     1
 19120220;   21100;   1.656;     9;     1
 19120221;   20400;   1.602;     9;     1
 19120222;   20400;   1.602;     9;     1
 19120223;   19400;   1.523;     9;     1
 19120224;   19400;   1.523;     9;     1
 19120225;   25100;   1.971;     9;     1
 19120226;   23100;   1.813;     9;     1
 19120227;   21900;   1.719;     9;     1
 19120228;   21100;   1.656;     9;     1
 19120229;   19400;   1.523;     9;     1
 19120301;   18300;   1.437;     9;     1
 19120302;   22700;   1.782;     9;     1
 19120303;   33500;   2.630;     9;     1
 19120304;   26000;   2.041;     9;     1
 19120305;   23100;   1.813;     9;     1
 19120306;   32500;   2.551;     9;     1
 19120307;   28600;   2.245;     9;     1
 19120308;   30500;   2.394;     9;     1
 19120309;   27300;   2.143;     9;     1
 19120310;   25100;   1.971;     9;     1
 19120311;   22700;   1.782;     9;     1
 19120312;   21900;   1.719;     9;     1
 19120313;   21100;   1.656;     9;     1
 19120314;   29500;   2.316;     9;     1
 19120315;   29500;   2.316;     9;     1
 19120316;   32000;   2.512;     9;     1
 19120317;   29500;   2.316;     9;     1
 19120318;   28600;   2.245;     9;     1
 19120319;   30500;   2.394;     9;     1
 19120320;   29500;   2.316;     9;     1
 19120321;   28600;   2.245;     9;     1
 19120322;   31500;   2.473;     9;     1
 19120323;   39200;   3.077;     9;     1
 19120324;   37400;   2.936;     9;     1
