## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:03:01
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Aquitaine
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : Q8032510
## Nom station                      : La Bidouze à Aïcirits-Camou-Suhast [Saint-Palais]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      373291 ;    6256697 ;      373241 ;    6256617 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      326762 ;    1820529 ;      326713 ;    1820449 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :    -1.02809 ;   43.33441 ;    -1.02865 ;   43.33367 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      246.00 ;     245.52 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :          38 ;         43 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     0.6 [%]
## Débits disponibles               :  1969-10-15 ; 2021-02-28 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19691015;      50;   0.018;     5;     1
 19691016;      46;   0.016;     5;     1
 19691017;      28;   0.010;     5;     1
 19691018;      42;   0.015;     5;     1
 19691019;      50;   0.018;     5;     1
 19691020;      12;   0.004;     5;     1
 19691021;       6;   0.002;     5;     1
 19691022;      12;   0.004;     5;     1
 19691023;      18;   0.006;     5;     1
 19691024;     130;   0.046;     5;     1
 19691025;     335;   0.118;     5;     1
 19691026;     346;   0.122;     5;     1
 19691027;     346;   0.122;     5;     1
 19691028;     334;   0.118;     5;     1
 19691029;     294;   0.103;     5;     1
 19691030;     253;   0.089;     5;     1
 19691031;     328;   0.115;     5;     1
 19691101;     346;   0.122;     5;     1
 19691102;     346;   0.122;     5;     1
 19691103;     342;   0.120;     5;     1
 19691104;     315;   0.111;     5;     1
 19691105;     284;   0.100;     5;     1
 19691106;     253;   0.089;     5;     1
 19691107;     193;   0.068;     5;     1
 19691108;     137;   0.048;     5;     1
 19691109;     423;   0.149;     5;     1
 19691110;     410;   0.144;     5;     1
 19691111;     373;   0.131;     5;     1
 19691112;     346;   0.122;     5;     1
 19691113;     326;   0.115;     5;     1
 19691114;     245;   0.086;     5;     1
 19691115;     168;   0.059;     5;     1
 19691116;     102;   0.036;     5;     1
 19691117;     122;   0.043;     5;     1
 19691118;     432;   0.152;     5;     1
 19691119;     684;   0.241;     5;     1
 19691120;     562;   0.198;     5;     1
 19691121;     449;   0.158;     5;     1
 19691122;     357;   0.126;     5;     1
 19691123;     319;   0.112;     5;     1
 19691124;     243;   0.086;     5;     1
 19691125;     286;   0.101;     5;     1
 19691126;    6930;   2.439;     5;     1
 19691127;    5150;   1.812;     9;     1
 19691128;    2240;   0.788;     9;     1
 19691129;    6790;   2.389;     9;     1
 19691130;    5200;   1.830;     9;     1
 19691201;    2590;   0.911;     9;     1
 19691202;    1760;   0.619;     9;     1
 19691203;   27300;   9.607;     9;     1
 19691204;   78200;  27.519;     9;     1
 19691205;   27700;   9.748;     9;     1
 19691206;   26400;   9.290;     9;     1
 19691207;   33600;  11.824;     9;     1
 19691208;   29800;  10.487;     9;     1
 19691209;   10500;   3.695;     9;     1
 19691210;    5810;   2.045;     9;     1
 19691211;    4190;   1.474;     9;     1
 19691212;    3180;   1.119;     9;     1
 19691213;    2570;   0.904;     9;     1
 19691214;    2270;   0.799;     9;     1
 19691215;    2190;   0.771;     9;     1
 19691216;   56800;  19.988;     9;     1
 19691217;   13800;   4.856;     9;     1
 19691218;    7660;   2.696;     9;     1
 19691219;   61200;  21.537;     9;     1
 19691220;   84300;  29.666;     9;     1
 19691221;   16000;   5.630;     9;     1
 19691222;    8510;   2.995;     9;     1
 19691223;   23200;   8.164;     9;     1
 19691224;   15500;   5.455;     9;     1
 19691225;   19700;   6.933;     9;     1
 19691226;   23100;   8.129;     9;     1
 19691227;    9590;   3.375;     9;     1
 19691228;    6740;   2.372;     9;     1
 19691229;    6100;   2.147;     9;     1
 19691230;    4640;   1.633;     9;     1
 19691231;    3710;   1.306;     9;     1
 19700101;    3080;   1.084;     9;     1
 19700102;    2600;   0.915;     9;     1
 19700103;    2430;   0.855;     9;     1
 19700104;    2460;   0.866;     9;     1
 19700105;    3090;   1.087;     9;     1
 19700106;    5440;   1.914;     9;     1
 19700107;    3640;   1.281;     9;     1
 19700108;    3070;   1.080;     9;     1
