## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:03:04
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Aquitaine
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : Q9164610
## Nom station                      : La Nive des Aldudes à Saint-Étienne-de-Baïgorry
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      347363 ;    6241369 ;      347344 ;    6241346 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      300932 ;    1804972 ;      300913 ;    1804949 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :    -1.33677 ;   43.18437 ;    -1.33699 ;   43.18416 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      156.00 ;     156.88 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         144 ;        149 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     0.3 [%]
## Débits disponibles               :  1920-01-01 ; 2021-02-28 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19200101;    9400;   5.177;     9;     1
 19200102;   44600;  24.563;     9;     1
 19200103;   22400;  12.337;     9;     1
 19200104;   16300;   8.977;     9;     1
 19200105;   13600;   7.490;     9;     1
 19200106;   11400;   6.278;     9;     1
 19200107;   10600;   5.838;     9;     1
 19200108;   11400;   6.278;     9;     1
 19200109;   23200;  12.777;     9;     1
 19200110;   17000;   9.363;     9;     1
 19200111;   13600;   7.490;     9;     1
 19200112;   11100;   6.113;     9;     1
 19200113;    9400;   5.177;     9;     1
 19200114;    8200;   4.516;     9;     1
 19200115;    7300;   4.020;     9;     1
 19200116;    6900;   3.800;     9;     1
 19200117;    6450;   3.552;     9;     1
 19200118;    6000;   3.304;     9;     1
 19200119;    5800;   3.194;     9;     1
 19200120;    5650;   3.112;     9;     1
 19200121;    6000;   3.304;     9;     1
 19200122;    7750;   4.268;     9;     1
 19200123;    6650;   3.662;     9;     1
 19200124;    6000;   3.304;     9;     1
 19200125;    5800;   3.194;     9;     1
 19200126;    5650;   3.112;     9;     1
 19200127;    5450;   3.002;     9;     1
 19200128;    5300;   2.919;     9;     1
 19200129;    5100;   2.809;     9;     1
 19200130;    5450;   3.002;     9;     1
 19200131;    5100;   2.809;     9;     1
 19200201;    5100;   2.809;     9;     0
 19200202;    4920;   2.710;     9;     0
 19200203;    4740;   2.611;     9;     0
 19200204;    4560;   2.511;     9;     0
 19200205;    4380;   2.412;     9;     0
 19200206;    4200;   2.313;     9;     0
 19200207;    4200;   2.313;     9;     1
 19200208;    4050;   2.230;     9;     1
 19200209;    4050;   2.230;     9;     1
 19200210;    3900;   2.148;     9;     1
 19200211;    3900;   2.148;     9;     1
 19200212;    3900;   2.148;     9;     1
 19200213;    3750;   2.065;     9;     1
 19200214;    3750;   2.065;     9;     1
 19200215;    3750;   2.065;     9;     1
 19200216;    3600;   1.983;     9;     1
 19200217;    3600;   1.983;     9;     1
 19200218;    3450;   1.900;     9;     1
 19200219;    3450;   1.900;     9;     1
 19200220;    3450;   1.900;     9;     1
 19200221;    3310;   1.823;     9;     1
 19200222;    3310;   1.823;     9;     1
 19200223;    3310;   1.823;     9;     1
 19200224;    3310;   1.823;     9;     1
 19200225;    3170;   1.746;     9;     1
 19200226;    3170;   1.746;     9;     1
 19200227;    3170;   1.746;     9;     1
 19200228;    3170;   1.746;     9;     1
 19200229;    3030;   1.669;     9;     0
 19200301;    3030;   1.669;     9;     0
 19200302;    3030;   1.669;     9;     0
 19200303;    3030;   1.669;     9;     0
 19200304;    3030;   1.669;     9;     0
 19200305;    2890;   1.592;     9;     1
 19200306;    2890;   1.592;     9;     1
 19200307;    4920;   2.710;     9;     1
 19200308;    3450;   1.900;     9;     1
 19200309;    3030;   1.669;     9;     1
 19200310;    3030;   1.669;     9;     1
 19200311;    3030;   1.669;     9;     1
 19200312;   33000;  18.174;     9;     1
 19200313;   13300;   7.325;     9;     1
 19200314;   10100;   5.562;     9;     1
 19200315;   26300;  14.484;     9;     1
 19200316;   20800;  11.455;     9;     1
 19200317;   24900;  13.713;     9;     1
 19200318;   34500;  19.001;     9;     1
 19200319;   21600;  11.896;     9;     1
 19200320;   15700;   8.647;     9;     1
 19200321;   13300;   7.325;     9;     1
 19200322;   11700;   6.444;     9;     1
 19200323;   10100;   5.562;     9;     1
 19200324;    9150;   5.039;     9;     1
