## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:03:10
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Limousin
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : R1132510
## Nom station                      : La Tardoire à Maisonnais-sur-Tardoire
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      520473 ;    6516799 ;      520444 ;    6516748 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      471941 ;    2082100 ;      471913 ;    2082049 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     0.69143 ;   45.72715 ;     0.69109 ;   45.72669 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      140.00 ;     139.16 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         207 ;        224 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     0.4 [%]
## Débits disponibles               :  1970-10-27 ; 2021-02-28 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19701027;     510;   0.317;     9;     1
 19701028;     480;   0.298;     9;     1
 19701029;     540;   0.335;     9;     1
 19701030;     510;   0.317;     9;     1
 19701031;     580;   0.360;     9;     1
 19701101;     510;   0.317;     9;     1
 19701102;     580;   0.360;     9;     1
 19701103;     510;   0.317;     9;     1
 19701104;     540;   0.335;     9;     1
 19701105;     580;   0.360;     9;     1
 19701106;     580;   0.360;     9;     1
 19701107;     540;   0.335;     9;     1
 19701108;     630;   0.391;     9;     1
 19701109;     690;   0.428;     9;     1
 19701110;     630;   0.391;     9;     1
 19701111;     580;   0.360;     9;     1
 19701112;     630;   0.391;     9;     1
 19701113;     630;   0.391;     9;     1
 19701114;     690;   0.428;     9;     1
 19701115;     940;   0.584;     9;     1
 19701116;     840;   0.522;     9;     1
 19701117;     760;   0.472;     9;     1
 19701118;     940;   0.584;     9;     1
 19701119;    2280;   1.416;     9;     1
 19701120;    1820;   1.130;     9;     1
 19701121;    1680;   1.043;     9;     1
 19701122;    1680;   1.043;     9;     1
 19701123;    1400;   0.869;     9;     1
 19701124;     940;   0.584;     9;     1
 19701125;     840;   0.522;     9;     1
 19701126;     630;   0.391;     9;     1
 19701127;     690;   0.428;     9;     1
 19701128;     540;   0.335;     9;     1
 19701129;     580;   0.360;     9;     1
 19701130;    1680;   1.043;     9;     1
 19701201;    2640;   1.639;     9;     1
 19701202;    1680;   1.043;     9;     1
 19701203;    1160;   0.720;     9;     1
 19701204;    1050;   0.652;     9;     1
 19701205;    1050;   0.652;     9;     1
 19701206;     760;   0.472;     9;     1
 19701207;     940;   0.584;     9;     1
 19701208;     940;   0.584;     9;     1
 19701209;     840;   0.522;     9;     1
 19701210;     760;   0.472;     9;     1
 19701211;     690;   0.428;     9;     1
 19701212;     690;   0.428;     9;     1
 19701213;     690;   0.428;     9;     1
 19701214;    1050;   0.652;     9;     1
 19701215;     840;   0.522;     9;     1
 19701216;     760;   0.472;     9;     1
 19701217;     690;   0.428;     9;     1
 19701218;     690;   0.428;     9;     1
 19701219;     580;   0.360;     9;     1
 19701220;     580;   0.360;     9;     1
 19701221;     690;   0.428;     9;     1
 19701222;     690;   0.428;     9;     1
 19701223;     630;   0.391;     9;     1
 19701224;     630;   0.391;     9;     1
 19701225;     540;   0.335;     9;     1
 19701226;     580;   0.360;     9;     1
 19701227;     580;   0.360;     9;     1
 19701228;     630;   0.391;     9;     1
 19701229;     760;   0.472;     9;     1
 19701230;     540;   0.335;     9;     1
 19701231;     510;   0.317;     9;     1
 19710101;     430;   0.267;     9;     0
 19710102;     430;   0.267;     9;     0
 19710103;     430;   0.267;     9;     0
 19710104;     430;   0.267;     9;     0
 19710105;     430;   0.267;     9;     0
 19710106;     430;   0.267;     9;     0
 19710107;     430;   0.267;     9;     0
 19710108;     520;   0.323;     9;     1
 19710109;     520;   0.323;     9;     1
 19710110;     340;   0.211;     9;     1
 19710111;     430;   0.267;     9;     1
 19710112;     340;   0.211;     9;     1
 19710113;     475;   0.295;     9;     1
 19710114;     800;   0.497;     9;     1
 19710115;     880;   0.546;     9;     1
 19710116;     800;   0.497;     9;     1
 19710117;     720;   0.447;     9;     1
 19710118;     800;   0.497;     9;     1
 19710119;    1510;   0.938;     9;     1
 19710120;    2270;   1.409;     9;     1
 19710121;    2100;   1.304;     9;     1
