## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:03:30
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Aquitaine
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : S2242510
## Nom station                      : L'Eyre à Salles
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      392587 ;    6390766 ;      392622 ;    6390720 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      344977 ;    1954894 ;      345013 ;    1954849 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :    -0.87155 ;   44.54813 ;    -0.87107 ;   44.54773 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :     1650.00 ;    1678.14 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :          14 ;         14 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     1.9 [%]
## Débits disponibles               :  1967-01-01 ; 2021-02-28 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19670101;   80000;   4.119;     9;     1
 19670102;   81000;   4.170;     9;     1
 19670103;   77500;   3.990;     9;     1
 19670104;   70000;   3.604;     9;     1
 19670105;   63500;   3.269;     9;     1
 19670106;   59500;   3.063;     9;     1
 19670107;   58500;   3.012;     9;     1
 19670108;   59500;   3.063;     9;     1
 19670109;   63500;   3.269;     9;     1
 19670110;   65000;   3.347;     9;     1
 19670111;   62000;   3.192;     9;     1
 19670112;   56000;   2.883;     9;     1
 19670113;   50000;   2.574;     9;     1
 19670114;   45100;   2.322;     9;     1
 19670115;   42000;   2.162;     5;     1
 19670116;   39000;   2.008;     5;     1
 19670117;   37000;   1.905;     5;     1
 19670118;   36000;   1.853;     5;     1
 19670119;   35000;   1.802;     5;     1
 19670120;   34000;   1.751;     5;     1
 19670121;   34000;   1.751;     5;     1
 19670122;   33000;   1.699;     5;     1
 19670123;   33000;   1.699;     5;     1
 19670124;   32000;   1.648;     5;     1
 19670125;   34000;   1.751;     5;     1
 19670126;   43600;   2.245;     5;     1
 19670127;   53500;   2.754;     9;     1
 19670128;   52500;   2.703;     9;     1
 19670129;   45700;   2.353;     9;     1
 19670130;   38200;   1.967;     9;     1
 19670131;   34000;   1.751;     9;     1
 19670201;   30000;   1.545;     5;     1
 19670202;   28000;   1.442;     5;     1
 19670203;   25000;   1.287;     5;     0
 19670204;   24000;   1.236;     5;     0
 19670205;   23000;   1.184;     5;     0
 19670206;   22000;   1.133;     5;     0
 19670207;   21000;   1.081;     5;     0
 19670208;   21000;   1.081;     5;     1
 19670209;   20000;   1.030;     5;     1
 19670210;   19400;   0.999;     5;     1
 19670211;   18800;   0.968;     5;     1
 19670212;   18400;   0.947;     5;     1
 19670213;   17800;   0.916;     5;     1
 19670214;   17400;   0.896;     5;     1
 19670215;   17600;   0.906;     5;     1
 19670216;   20000;   1.030;     5;     1
 19670217;   26600;   1.370;     5;     1
 19670218;   38200;   1.967;     5;     1
 19670219;   50500;   2.600;     9;     1
 19670220;   66500;   3.424;     9;     1
 19670221;   86500;   4.454;     9;     1
 19670222;   94000;   4.840;     5;     1
 19670223;   89000;   4.582;     9;     1
 19670224;   76000;   3.913;     9;     1
 19670225;   66500;   3.424;     9;     1
 19670226;   59500;   3.063;     9;     1
 19670227;   54000;   2.780;     9;     1
 19670228;   50500;   2.600;     9;     1
 19670301;   45700;   2.353;     9;     1
 19670302;   40300;   2.075;     9;     1
 19670303;   37900;   1.951;     9;     1
 19670304;   37100;   1.910;     9;     1
 19670305;   35400;   1.823;     9;     1
 19670306;   32700;   1.684;     9;     1
 19670307;   30700;   1.581;     9;     1
 19670308;   29000;   1.493;     9;     1
 19670309;   27800;   1.431;     9;     1
 19670310;   28300;   1.457;     9;     1
 19670311;   29700;   1.529;     9;     1
 19670312;   30000;   1.545;     9;     1
 19670313;   29700;   1.529;     9;     1
 19670314;   27800;   1.431;     9;     1
 19670315;   25600;   1.318;     9;     1
 19670316;   24000;   1.236;     9;     1
 19670317;   22500;   1.158;     9;     1
 19670318;   21200;   1.091;     9;     1
 19670319;   20200;   1.040;     9;     0
 19670320;   19400;   0.999;     9;     0
 19670321;   18600;   0.958;     9;     0
 19670322;   17800;   0.916;     9;     0
 19670323;   17000;   0.875;     9;     0
 19670324;   16600;   0.855;     9;     1
