## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 21:03:32
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Aquitaine
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : S4214010
## Nom station                      : Le Magescq à Magescq
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      359976 ;    6307120 ;      359969 ;    6307073 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      313020 ;    1870896 ;      313013 ;    1870849 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :    -1.22517 ;   43.78120 ;    -1.22523 ;   43.78078 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :       60.00 ;      76.81 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :          15 ;         23 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     0.1 [%]
## Débits disponibles               :  1969-08-12 ; 2021-02-28 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19690812;    1030;   1.159;     9;     1
 19690813;     954;   1.073;     9;     1
 19690814;     934;   1.051;     9;     1
 19690815;     974;   1.096;     9;     1
 19690816;    1020;   1.147;     9;     1
 19690817;     952;   1.071;     9;     1
 19690818;     917;   1.031;     9;     1
 19690819;     926;   1.042;     9;     1
 19690820;     917;   1.031;     9;     1
 19690821;     901;   1.013;     9;     1
 19690822;     897;   1.009;     9;     1
 19690823;     908;   1.021;     9;     1
 19690824;     906;   1.019;     9;     1
 19690825;     915;   1.029;     9;     1
 19690826;     904;   1.017;     9;     1
 19690827;     930;   1.046;     9;     1
 19690828;     902;   1.015;     9;     1
 19690829;     902;   1.015;     9;     1
 19690830;     876;   0.985;     9;     1
 19690831;     865;   0.973;     9;     1
 19690901;     908;   1.021;     9;     1
 19690902;    1120;   1.260;     9;     1
 19690903;    1040;   1.170;     9;     1
 19690904;     972;   1.093;     9;     1
 19690905;     979;   1.101;     9;     1
 19690906;     970;   1.091;     9;     1
 19690907;     970;   1.091;     9;     1
 19690908;    1090;   1.226;     9;     1
 19690909;    1160;   1.305;     9;     1
 19690910;     980;   1.102;     9;     1
 19690911;     932;   1.048;     9;     1
 19690912;     932;   1.048;     9;     1
 19690913;     978;   1.100;     9;     1
 19690914;    2080;   2.340;     9;     1
 19690915;    1690;   1.901;     9;     1
 19690916;    1210;   1.361;     9;     1
 19690917;    1310;   1.474;     9;     1
 19690918;    1410;   1.586;     9;     1
 19690919;    1510;   1.699;     9;     1
 19690920;    1430;   1.609;     9;     1
 19690921;    1250;   1.406;     9;     1
 19690922;    1150;   1.294;     9;     1
 19690923;    1100;   1.237;     9;     1
 19690924;    1070;   1.204;     9;     1
 19690925;    1030;   1.159;     9;     1
 19690926;    1030;   1.159;     9;     1
 19690927;    1030;   1.159;     9;     1
 19690928;    1010;   1.136;     9;     1
 19690929;     972;   1.093;     9;     1
 19690930;    1040;   1.170;     9;     1
 19691001;    1060;   1.192;     9;     1
 19691002;    1030;   1.159;     9;     1
 19691003;    1010;   1.136;     9;     1
 19691004;     979;   1.101;     9;     1
 19691005;     970;   1.091;     9;     0
 19691006;     970;   1.091;     9;     0
 19691007;     970;   1.091;     9;     0
 19691008;     970;   1.091;     9;     0
 19691009;     970;   1.091;     9;     0
 19691010;     970;   1.091;     9;     0
 19691011;     955;   1.074;     9;     1
 19691012;     943;   1.061;     9;     1
 19691013;     939;   1.056;     9;     1
 19691014;     964;   1.084;     9;     1
 19691015;     947;   1.065;     9;     1
 19691016;     927;   1.043;     9;     1
 19691017;     928;   1.044;     9;     1
 19691018;     952;   1.071;     9;     1
 19691019;     965;   1.085;     9;     1
 19691020;     950;   1.069;     9;     1
 19691021;     933;   1.049;     9;     1
 19691022;     942;   1.060;     9;     1
 19691023;     950;   1.069;     9;     1
 19691024;     929;   1.045;     9;     1
 19691025;     917;   1.031;     9;     0
 19691026;     917;   1.031;     9;     0
 19691027;     917;   1.031;     9;     0
 19691028;     917;   1.031;     9;     0
 19691029;     917;   1.031;     9;     0
 19691030;     917;   1.031;     9;     0
 19691031;     917;   1.031;     9;     0
 19691101;     917;   1.031;     9;     0
 19691102;     917;   1.031;     9;     0
 19691103;     917;   1.031;     9;     0
 19691104;     917;   1.031;     9;     0
 19691105;     917;   1.031;     9;     0
