## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:29:39
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Alsace
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : A2332110
## Nom station                      : La Lièpvrette à Lièpvre
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :     1018391 ;    6805303 ;     1018314 ;    6805298 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      967752 ;    2375048 ;      967713 ;    2375049 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     7.29314 ;   48.27015 ;     7.29210 ;   48.27014 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :       108.0 ;      106.6 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         259 ;        262 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     0.7 [%]
## Débits disponibles               :  1965-01-01 ; 2021-02-22 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/10 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19650101;    1340;   1.086;     9;     1
 19650102;    1940;   1.572;     9;     1
 19650103;    1940;   1.572;     9;     1
 19650104;    1940;   1.572;     9;     1
 19650105;    1940;   1.572;     9;     1
 19650106;    1820;   1.475;     9;     1
 19650107;    1700;   1.378;     9;     1
 19650108;    1820;   1.475;     9;     1
 19650109;    2440;   1.978;     9;     1
 19650110;    3420;   2.772;     9;     1
 19650111;    4180;   3.388;     9;     1
 19650112;    3860;   3.129;     9;     1
 19650113;    3700;   2.999;     9;     1
 19650114;    3420;   2.772;     9;     1
 19650115;    3140;   2.545;     9;     1
 19650116;    3000;   2.432;     9;     1
 19650117;    4020;   3.258;     9;     1
 19650118;    6550;   5.309;     9;     1
 19650119;    5850;   4.741;     9;     1
 19650120;    4980;   4.036;     9;     1
 19650121;    4180;   3.388;     9;     1
 19650122;    3560;   2.885;     9;     1
 19650123;    3420;   2.772;     9;     1
 19650124;    3420;   2.772;     9;     1
 19650125;    3140;   2.545;     9;     1
 19650126;    3140;   2.545;     9;     1
 19650127;    3140;   2.545;     9;     1
 19650128;    3000;   2.432;     9;     1
 19650129;    3000;   2.432;     9;     1
 19650130;    3860;   3.129;     9;     1
 19650131;    6900;   5.592;     9;     1
 19650201;    9850;   7.983;     9;     1
 19650202;    7100;   5.755;     9;     1
 19650203;    5850;   4.741;     9;     1
 19650204;    5300;   4.296;     9;     1
 19650205;    4980;   4.036;     9;     1
 19650206;    4660;   3.777;     9;     1
 19650207;    4500;   3.647;     9;     1
 19650208;    2720;   2.205;     9;     1
 19650209;    2580;   2.091;     9;     1
 19650210;    2440;   1.978;     9;     1
 19650211;    2440;   1.978;     9;     1
 19650212;    2300;   1.864;     9;     1
 19650213;    2300;   1.864;     9;     1
 19650214;    2440;   1.978;     9;     1
 19650215;    1940;   1.572;     9;     1
 19650216;    1940;   1.572;     9;     1
 19650217;    1940;   1.572;     9;     1
 19650218;    1940;   1.572;     9;     1
 19650219;    1820;   1.475;     9;     1
 19650220;    1820;   1.475;     9;     1
 19650221;    1820;   1.475;     9;     1
 19650222;    1460;   1.183;     9;     1
 19650223;    1460;   1.183;     9;     1
 19650224;    1460;   1.183;     9;     1
 19650225;    1340;   1.086;     9;     1
 19650226;    1340;   1.086;     9;     1
 19650227;    1340;   1.086;     9;     1
 19650228;    1340;   1.086;     9;     1
 19650301;    1220;   0.989;     9;     1
 19650302;    1220;   0.989;     9;     1
 19650303;    1100;   0.892;     9;     1
 19650304;    1100;   0.892;     9;     1
 19650305;    1000;   0.811;     9;     1
 19650306;    1100;   0.892;     9;     1
 19650307;    1100;   0.892;     9;     1
 19650308;    1100;   0.892;     9;     1
 19650309;    1100;   0.892;     9;     1
 19650310;    1220;   0.989;     9;     1
 19650311;    1220;   0.989;     9;     1
 19650312;    1220;   0.989;     9;     1
 19650313;    1340;   1.086;     9;     1
 19650314;    1820;   1.475;     9;     1
 19650315;    3560;   2.885;     9;     1
 19650316;    4980;   4.036;     9;     1
 19650317;    4660;   3.777;     9;     1
 19650318;    4180;   3.388;     9;     1
 19650319;    3700;   2.999;     9;     1
 19650320;    3420;   2.772;     9;     1
 19650321;    4180;   3.388;     9;     1
 19650322;    8750;   7.092;     9;     1
 19650323;    7900;   6.403;     9;     1
 19650324;    7500;   6.079;     9;     1
