## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:29:59
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Alsace
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : A3301010
## Nom station                      : La Moder à Schweighouse-sur-Moder [aval]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :     1048011 ;    6868531 ;     1047946 ;    6868500 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      996842 ;    2438573 ;      996813 ;    2438549 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     7.74277 ;   48.82275 ;     7.74185 ;   48.82251 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      622.00 ;     622.13 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         144 ;        144 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       0 [%]
## Débits disponibles               :  1966-05-12 ; 2021-02-04 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    3/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19660512;    5870;   0.815;     9;     1
 19660513;    5600;   0.778;     9;     1
 19660514;    5120;   0.711;     9;     1
 19660515;    5120;   0.711;     9;     1
 19660516;    4690;   0.651;     9;     1
 19660517;    4620;   0.642;     9;     1
 19660518;    5520;   0.767;     9;     1
 19660519;    5300;   0.736;     9;     1
 19660520;    4890;   0.679;     9;     1
 19660521;    4990;   0.693;     9;     1
 19660522;    5190;   0.721;     9;     1
 19660523;    5200;   0.722;     9;     1
 19660524;    4880;   0.678;     9;     1
 19660525;    4620;   0.642;     9;     1
 19660526;    4810;   0.668;     9;     1
 19660527;    5200;   0.722;     9;     1
 19660528;    4760;   0.661;     9;     1
 19660529;    4740;   0.658;     9;     1
 19660530;    4520;   0.628;     9;     1
 19660531;    4250;   0.590;     9;     1
 19660601;    4150;   0.576;     9;     1
 19660602;    4450;   0.618;     9;     1
 19660603;    4100;   0.569;     9;     1
 19660604;    4050;   0.562;     9;     1
 19660605;    4100;   0.569;     9;     1
 19660606;    4340;   0.603;     9;     1
 19660607;    4120;   0.572;     9;     1
 19660608;    4140;   0.575;     9;     1
 19660609;    3970;   0.551;     9;     1
 19660610;    3940;   0.547;     9;     1
 19660611;    3680;   0.511;     9;     1
 19660612;    4830;   0.671;     9;     1
 19660613;    4900;   0.681;     9;     1
 19660614;    9020;   1.253;     9;     1
 19660615;    8970;   1.246;     9;     1
 19660616;    5580;   0.775;     9;     1
 19660617;    4500;   0.625;     9;     1
 19660618;    4630;   0.643;     9;     1
 19660619;    5750;   0.799;     9;     1
 19660620;    6840;   0.950;     9;     1
 19660621;    5630;   0.782;     9;     1
 19660622;    5020;   0.697;     9;     1
 19660623;    4650;   0.646;     9;     1
 19660624;    4470;   0.621;     9;     1
 19660625;    4160;   0.578;     9;     1
 19660626;    4120;   0.572;     9;     1
 19660627;    5050;   0.701;     9;     1
 19660628;    5740;   0.797;     9;     1
 19660629;    5110;   0.710;     9;     1
 19660630;    4850;   0.674;     9;     1
 19660701;    4690;   0.651;     9;     1
 19660702;    4320;   0.600;     9;     1
 19660703;    3950;   0.549;     9;     1
 19660704;    4610;   0.640;     9;     1
 19660705;    6350;   0.882;     9;     1
 19660706;    8540;   1.186;     9;     1
 19660707;    8180;   1.136;     9;     1
 19660708;    5800;   0.805;     9;     1
 19660709;    5070;   0.704;     9;     1
 19660710;    4470;   0.621;     9;     1
 19660711;    4300;   0.597;     9;     1
 19660712;    4320;   0.600;     9;     1
 19660713;    3960;   0.550;     9;     1
 19660714;    3660;   0.508;     9;     1
 19660715;    3640;   0.506;     9;     1
 19660716;    3580;   0.497;     9;     1
 19660717;    3820;   0.531;     9;     1
 19660718;    3940;   0.547;     9;     1
 19660719;    4230;   0.587;     9;     1
 19660720;    4210;   0.585;     9;     1
 19660721;    3850;   0.535;     9;     1
 19660722;    3690;   0.512;     9;     1
 19660723;    3780;   0.525;     9;     1
 19660724;    3710;   0.515;     9;     1
 19660725;    3240;   0.450;     9;     1
 19660726;    3520;   0.489;     9;     1
 19660727;    3430;   0.476;     9;     1
 19660728;    3670;   0.510;     9;     1
 19660729;    3510;   0.487;     9;     1
 19660730;    3540;   0.492;     9;     1
 19660731;    3470;   0.482;     9;     1
 19660801;    3390;   0.471;     9;     1
 19660802;    4230;   0.587;     9;     1
