## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:30:08
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Alsace
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : A3832010
## Nom station                      : Le Seltzbach à Niederroedern
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :     1069888 ;    6878900 ;     1069823 ;    6878903 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :     1018642 ;    2449140 ;     1018613 ;    2449149 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     8.04914 ;   48.90363 ;     8.04826 ;   48.90369 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :       202.0 ;      204.1 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         120 ;        124 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       0 [%]
## Débits disponibles               :  1965-01-01 ; 2021-02-04 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19650101;    1170;   0.495;     9;     1
 19650102;    2500;   1.058;     9;     1
 19650103;    1730;   0.732;     9;     1
 19650104;    1060;   0.449;     9;     1
 19650105;     820;   0.347;     9;     1
 19650106;     715;   0.303;     9;     1
 19650107;     670;   0.284;     9;     1
 19650108;    1780;   0.754;     9;     1
 19650109;    4020;   1.702;     9;     1
 19650110;    4090;   1.731;     9;     1
 19650111;    3430;   1.452;     9;     1
 19650112;    2210;   0.936;     9;     1
 19650113;    1790;   0.758;     9;     1
 19650114;    1580;   0.669;     9;     1
 19650115;    1740;   0.737;     9;     1
 19650116;    1660;   0.703;     9;     1
 19650117;    5350;   2.265;     9;     1
 19650118;    8700;   3.683;     9;     1
 19650119;    4030;   1.706;     9;     1
 19650120;    3520;   1.490;     9;     1
 19650121;    2280;   0.965;     9;     1
 19650122;    1730;   0.732;     9;     1
 19650123;    1740;   0.737;     9;     1
 19650124;    1610;   0.682;     9;     1
 19650125;    1590;   0.673;     9;     1
 19650126;    1750;   0.741;     9;     1
 19650127;    1900;   0.804;     9;     1
 19650128;    1720;   0.728;     9;     1
 19650129;    2010;   0.851;     9;     1
 19650130;    5200;   2.201;     9;     1
 19650131;   12500;   5.292;     9;     1
 19650201;   15600;   6.604;     9;     1
 19650202;    4230;   1.791;     9;     1
 19650203;    2330;   0.986;     9;     1
 19650204;    1920;   0.813;     9;     1
 19650205;    1930;   0.817;     9;     1
 19650206;    2190;   0.927;     9;     1
 19650207;    1800;   0.762;     9;     1
 19650208;    1610;   0.682;     9;     1
 19650209;    1350;   0.571;     9;     1
 19650210;    1020;   0.432;     9;     1
 19650211;     940;   0.398;     9;     1
 19650212;     980;   0.415;     9;     1
 19650213;    1480;   0.627;     9;     1
 19650214;    1950;   0.825;     9;     1
 19650215;    1550;   0.656;     9;     1
 19650216;    1320;   0.559;     9;     1
 19650217;    1170;   0.495;     9;     1
 19650218;    1060;   0.449;     9;     1
 19650219;    1030;   0.436;     9;     1
 19650220;     970;   0.411;     9;     1
 19650221;     790;   0.334;     9;     1
 19650222;     665;   0.282;     9;     1
 19650223;     635;   0.269;     9;     1
 19650224;     545;   0.231;     9;     1
 19650225;     590;   0.250;     9;     1
 19650226;     510;   0.216;     9;     1
 19650227;     540;   0.229;     9;     1
 19650228;     427;   0.181;     9;     1
 19650301;     650;   0.275;     9;     1
 19650302;     760;   0.322;     9;     1
 19650303;     680;   0.288;     9;     1
 19650304;     585;   0.248;     9;     1
 19650305;     655;   0.277;     9;     1
 19650306;     690;   0.292;     9;     1
 19650307;     665;   0.282;     9;     1
 19650308;     740;   0.313;     9;     1
 19650309;     890;   0.377;     9;     1
 19650310;    1240;   0.525;     9;     1
 19650311;    1300;   0.550;     9;     1
 19650312;    1210;   0.512;     9;     1
 19650313;    1260;   0.533;     9;     1
 19650314;    1310;   0.555;     9;     1
 19650315;    1450;   0.614;     9;     1
 19650316;    2790;   1.181;     9;     1
 19650317;    3080;   1.304;     9;     1
 19650318;    2010;   0.851;     9;     1
 19650319;    1740;   0.737;     9;     1
 19650320;    1680;   0.711;     9;     1
 19650321;    6300;   2.667;     9;     1
 19650322;   11200;   4.741;     9;     1
 19650323;    4250;   1.799;     9;     1
 19650324;    4270;   1.808;     9;     1
 19650325;    4160;   1.761;     9;     1
 19650326;    6800;   2.879;     9;     1
 19650327;    6550;   2.773;     9;     1
 19650328;    2910;   1.232;     9;     1
 19650329;    1980;   0.838;     9;     1
 19650330;    1750;   0.741;     9;     1
 19650331;    1420;   0.601;     9;     1
 19650401;    1190;   0.504;     9;     1
 19650402;    1060;   0.449;     9;     1
 19650403;     920;   0.389;     9;     1
 19650404;     820;   0.347;     9;     1
 19650405;     780;   0.330;     9;     1
 19650406;     735;   0.311;     9;     1
 19650407;     790;   0.334;     9;     1
 19650408;     845;   0.358;     9;     1
 19650409;     850;   0.360;     9;     1
 19650410;     795;   0.337;     9;     1
 19650411;     755;   0.320;     9;     1
 19650412;     790;   0.334;     9;     1
 19650413;    1080;   0.457;     9;     1
 19650414;    1610;   0.682;     9;     1
 19650415;    1160;   0.491;     9;     1
 19650416;    1380;   0.584;     9;     1
 19650417;    1570;   0.665;     9;     1
 19650418;    2210;   0.936;     9;     1
 19650419;    2670;   1.130;     9;     1
 19650420;    2970;   1.257;     9;     1
 19650421;    1870;   0.792;     9;     1
 19650422;    1600;   0.677;     9;     1
 19650423;    1630;   0.690;     9;     1
 19650424;    1360;   0.576;     9;     1
 19650425;    1330;   0.563;     9;     1
 19650426;    1960;   0.830;     9;     1
 19650427;    2910;   1.232;     9;     1
 19650428;    2660;   1.126;     9;     1
 19650429;    2610;   1.105;     9;     1
 19650430;    2090;   0.885;     9;     1
 19650501;    1550;   0.656;     9;     1
 19650502;    1230;   0.521;     9;     1
 19650503;    1130;   0.478;     9;     1
 19650504;    1980;   0.838;     9;     1
 19650505;    4450;   1.884;     9;     1
 19650506;    6500;   2.752;     9;     1
 19650507;    3160;   1.338;     9;     1
 19650508;    3030;   1.283;     9;     1
 19650509;    2030;   0.859;     9;     1
 19650510;    1380;   0.584;     9;     1
 19650511;    1260;   0.533;     9;     1
 19650512;    1060;   0.449;     9;     1
 19650513;     875;   0.370;     9;     1
 19650514;     770;   0.326;     9;     1
 19650515;     650;   0.275;     9;     1
 19650516;     595;   0.252;     9;     1
 19650517;     570;   0.241;     9;     1
 19650518;    1250;   0.529;     9;     1
 19650519;    2680;   1.135;     9;     1
 19650520;    2100;   0.889;     9;     1
 19650521;    1230;   0.521;     9;     1
 19650522;     990;   0.419;     9;     1
 19650523;     810;   0.343;     9;     1
 19650524;     630;   0.267;     9;     1
 19650525;     745;   0.315;     9;     1
 19650526;     820;   0.347;     9;     1
 19650527;     760;   0.322;     9;     1
 19650528;    2850;   1.206;     9;     1
 19650529;    4690;   1.985;     9;     1
 19650530;    3150;   1.333;     9;     1
 19650531;    2200;   0.931;     9;     1
 19650601;    2590;   1.096;     9;     1
 19650602;    1870;   0.792;     9;     1
 19650603;    1400;   0.593;     9;     1
 19650604;    1470;   0.622;     9;     1
 19650605;    1600;   0.677;     9;     1
 19650606;    1520;   0.643;     9;     1
 19650607;    1400;   0.593;     9;     1
 19650608;    6300;   2.667;     9;     1
 19650609;    4160;   1.761;     9;     1
 19650610;   13000;   5.503;     9;     1
 19650611;    9050;   3.831;     9;     1
 19650612;    2900;   1.228;     9;     1
 19650613;    1820;   0.770;     9;     1
 19650614;    1460;   0.618;     9;     1
 19650615;    1670;   0.707;     9;     1
 19650616;    1360;   0.576;     9;     1
 19650617;    8500;   3.598;     9;     1
 19650618;   10000;   4.233;     9;     1
 19650619;    3600;   1.524;     9;     1
 19650620;    2010;   0.851;     9;     1
 19650621;    2130;   0.902;     9;     1
 19650622;    5000;   2.117;     9;     1
 19650623;    2230;   0.944;     9;     1
 19650624;    1450;   0.614;     9;     1
 19650625;    1110;   0.470;     9;     1
 19650626;     840;   0.356;     9;     1
 19650627;     755;   0.320;     9;     1
 19650628;     665;   0.282;     9;     1
 19650629;     540;   0.229;     9;     1
 19650630;     525;   0.222;     9;     1
 19650701;    1600;   0.677;     9;     1
 19650702;    2270;   0.961;     9;     1
 19650703;    1160;   0.491;     9;     1
 19650704;     925;   0.392;     9;     1
 19650705;     670;   0.284;     9;     1
 19650706;     585;   0.248;     9;     1
 19650707;     575;   0.243;     9;     1
 19650708;     740;   0.313;     9;     1
 19650709;     880;   0.373;     9;     1
 19650710;     845;   0.358;     9;     1
 19650711;     680;   0.288;     9;     1
 19650712;     605;   0.256;     9;     1
 19650713;     530;   0.224;     9;     1
 19650714;     497;   0.210;     9;     1
 19650715;     515;   0.218;     9;     1
 19650716;     845;   0.358;     9;     1
 19650717;     635;   0.269;     9;     1
 19650718;     815;   0.345;     9;     1
 19650719;     880;   0.373;     9;     1
 19650720;     705;   0.298;     9;     1
 19650721;     695;   0.294;     9;     1
 19650722;    1550;   0.656;     9;     1
 19650723;     920;   0.389;     9;     1
 19650724;     815;   0.345;     9;     1
 19650725;     474;   0.201;     9;     1
 19650726;     515;   0.218;     9;     1
 19650727;     424;   0.179;     9;     1
 19650728;     281;   0.119;     9;     1
 19650729;     335;   0.142;     9;     1
 19650730;     367;   0.155;     9;     1
 19650731;     343;   0.145;     9;     1
 19650801;     457;   0.193;     9;     1
 19650802;     394;   0.167;     9;     1
 19650803;     432;   0.183;     9;     1
 19650804;     481;   0.204;     9;     1
 19650805;     316;   0.134;     9;     1
 19650806;     263;   0.111;     9;     1
 19650807;     347;   0.147;     9;     1
 19650808;     237;   0.100;     9;     1
 19650809;     402;   0.170;     9;     1
 19650810;     225;   0.095;     9;     1
 19650811;     183;   0.077;     9;     1
 19650812;     160;   0.068;     9;     1
 19650813;     200;   0.085;     9;     1
 19650814;     145;   0.061;     9;     1
