## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:30:11
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Lorraine
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : A4050620
## Nom station                      : La Moselle à Rupt-sur-Moselle
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      975304 ;    6762993 ;      975276 ;    6763000 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      925001 ;    2332336 ;      925013 ;    2332349 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     6.68646 ;   47.90948 ;     6.68609 ;   47.90955 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      152.00 ;     151.69 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         432 ;        439 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     3.7 [%]
## Débits disponibles               :  1968-08-30 ; 2021-02-04 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19680830;    7690;   4.380;     9;     1
 19680831;   27900;  15.891;     9;     1
 19680901;   16800;   9.569;     9;     1
 19680902;   12700;   7.234;     9;     1
 19680903;   13400;   7.632;     9;     1
 19680904;   12300;   7.006;     9;     1
 19680905;   12500;   7.120;     9;     1
 19680906;    9860;   5.616;     9;     1
 19680907;    8080;   4.602;     9;     1
 19680908;    6950;   3.959;     9;     1
 19680909;    6020;   3.429;     9;     1
 19680910;    4880;   2.780;     9;     1
 19680911;    7540;   4.295;     9;     1
 19680912;    6520;   3.714;     9;     1
 19680913;    5100;   2.905;     9;     1
 19680914;    4800;   2.734;     9;     1
 19680915;    7620;   4.340;     9;     1
 19680916;    8060;   4.591;     9;     1
 19680917;    7300;   4.158;     9;     1
 19680918;    7010;   3.993;     9;     1
 19680919;    6650;   3.788;     9;     1
 19680920;    6370;   3.628;     9;     1
 19680921;   30900;  17.600;     9;     1
 19680922;   53900;  30.701;     9;     1
 19680923;   37700;  21.473;     9;     1
 19680924;   33500;  19.081;     9;     1
 19680925;   28500;  16.233;     9;     1
 19680926;   21200;  12.075;     9;     1
 19680927;   15700;   8.942;     9;     1
 19680928;   15800;   8.999;     9;     1
 19680929;   12900;   7.348;     9;     1
 19680930;   15800;   8.999;     9;     1
 19681001;   19100;  10.879;     9;     1
 19681002;   19900;  11.335;     9;     1
 19681003;   15700;   8.942;     9;     1
 19681004;   12700;   7.234;     9;     1
 19681005;   10400;   5.924;     9;     1
 19681006;    8550;   4.870;     9;     1
 19681007;    7270;   4.141;     9;     1
 19681008;   10000;   5.696;     9;     1
 19681009;   12600;   7.177;     9;     1
 19681010;   10700;   6.095;     9;     1
 19681011;   11000;   6.265;     9;     1
 19681012;    9340;   5.320;     9;     1
 19681013;   24600;  14.012;     9;     1
 19681014;   27300;  15.550;     9;     1
 19681015;   30600;  17.429;     9;     1
 19681016;   21500;  12.246;     9;     1
 19681017;   16100;   9.170;     9;     1
 19681018;   12600;   7.177;     9;     1
 19681019;   10300;   5.867;     9;     1
 19681020;    8440;   4.807;     9;     1
 19681021;    7240;   4.124;     9;     1
 19681022;    6100;   3.474;     9;     1
 19681023;    5500;   3.133;     9;     1
 19681024;    4800;   2.734;     9;     1
 19681025;    4190;   2.387;     9;     1
 19681026;    3640;   2.073;     9;     1
 19681027;    3400;   1.937;     9;     1
 19681028;    3240;   1.845;     9;     1
 19681029;    4260;   2.426;     9;     1
 19681030;    3620;   2.062;     9;     1
 19681031;    3310;   1.885;     9;     1
 19681101;    2950;   1.680;     9;     1
 19681102;    2770;   1.578;     9;     1
 19681103;    4180;   2.381;     9;     1
 19681104;    5130;   2.922;     9;     1
 19681105;    6290;   3.583;     9;     1
 19681106;    5200;   2.962;     9;     1
 19681107;    4700;   2.677;     9;     1
 19681108;    4220;   2.404;     9;     1
 19681109;    3890;   2.216;     9;     1
 19681110;    3720;   2.119;     9;     1
 19681111;    3570;   2.033;     9;     1
 19681112;    3350;   1.908;     9;     1
 19681113;    3110;   1.771;     9;     1
 19681114;    3010;   1.714;     9;     1
 19681115;    2920;   1.663;     9;     1
 19681116;    2590;   1.475;     9;     1
 19681117;    2660;   1.515;     9;     1
 19681118;    2830;   1.612;     9;     1
 19681119;    2730;   1.555;     9;     1
 19681120;    2610;   1.487;     9;     1
