## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:30:14
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Lorraine
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : A4200630
## Nom station                      : La Moselle à Saint-Nabord [Noirgueux]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      968922 ;    6780234 ;      968828 ;    6780044 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      918465 ;    2349533 ;      918413 ;    2349349 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     6.61167 ;   48.06712 ;     6.61030 ;   48.06545 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      626.00 ;     626.91 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         371 ;        372 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     0.2 [%]
## Débits disponibles               :  1961-12-01 ; 2021-02-09 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19611201;   19900;   2.743;     9;     1
 19611202;  100000;  13.782;     9;     1
 19611203;  101000;  13.920;     9;     1
 19611204;  154000;  21.224;     5;     1
 19611205;  142000;  19.570;     5;     1
 19611206;   86200;  11.880;     9;     1
 19611207;   61900;   8.531;     9;     1
 19611208;   48900;   6.739;     9;     1
 19611209;   47400;   6.533;     9;     1
 19611210;   68000;   9.372;     9;     1
 19611211;  109000;  15.022;     5;     1
 19611212;  248000;  34.179;     5;     1
 19611213;  163000;  22.464;     5;     1
 19611214;  108000;  14.884;     9;     1
 19611215;   81300;  11.205;     9;     1
 19611216;   60700;   8.366;     9;     1
 19611217;   48000;   6.615;     9;     1
 19611218;   39100;   5.389;     9;     1
 19611219;   32900;   4.534;     9;     1
 19611220;   28500;   3.928;     9;     1
 19611221;   25000;   3.445;     9;     1
 19611222;   22500;   3.101;     9;     1
 19611223;   19500;   2.687;     9;     1
 19611224;   17000;   2.343;     9;     1
 19611225;   15200;   2.095;     9;     1
 19611226;   17200;   2.370;     9;     1
 19611227;   21100;   2.908;     9;     1
 19611228;   17600;   2.426;     9;     1
 19611229;   16200;   2.233;     9;     1
 19611230;   15900;   2.191;     9;     1
 19611231;   30500;   4.203;     9;     1
 19620101;   27300;   3.762;     9;     1
 19620102;   22900;   3.156;     9;     1
 19620103;   19800;   2.729;     9;     1
 19620104;   18900;   2.605;     9;     1
 19620105;   16600;   2.288;     9;     1
 19620106;   15800;   2.178;     9;     1
 19620107;   14700;   2.026;     9;     1
 19620108;   16000;   2.205;     9;     1
 19620109;   17200;   2.370;     9;     1
 19620110;   28900;   3.983;     9;     1
 19620111;   62400;   8.600;     9;     1
 19620112;   73000;  10.061;     9;     1
 19620113;  184000;  25.359;     5;     1
 19620114;  107000;  14.747;     9;     1
 19620115;   70700;   9.744;     9;     1
 19620116;   54800;   7.552;     9;     1
 19620117;   45100;   6.216;     9;     1
 19620118;   39300;   5.416;     9;     1
 19620119;   41500;   5.719;     9;     1
 19620120;   45900;   6.326;     9;     1
 19620121;   50200;   6.919;     9;     1
 19620122;   50300;   6.932;     9;     1
 19620123;   45900;   6.326;     9;     1
 19620124;   41300;   5.692;     9;     1
 19620125;   63300;   8.724;     9;     1
 19620126;   83700;  11.535;     9;     1
 19620127;   86000;  11.852;     9;     1
 19620128;   73000;  10.061;     9;     1
 19620129;   58000;   7.993;     9;     1
 19620130;   46100;   6.353;     9;     1
 19620131;   38500;   5.306;     9;     1
 19620201;   33300;   4.589;     9;     1
 19620202;   30000;   4.135;     9;     1
 19620203;   25400;   3.501;     9;     1
 19620204;   22400;   3.087;     9;     1
 19620205;   37500;   5.168;     9;     1
 19620206;   40800;   5.623;     9;     1
 19620207;   32500;   4.479;     9;     1
 19620208;   37900;   5.223;     9;     1
 19620209;   31300;   4.314;     9;     1
 19620210;   25700;   3.542;     9;     1
 19620211;   22700;   3.128;     9;     1
 19620212;   23100;   3.184;     9;     1
 19620213;   71300;   9.826;     9;     1
 19620214;   66500;   9.165;     9;     1
 19620215;   47500;   6.546;     9;     1
 19620216;   41600;   5.733;     9;     1
 19620217;   69200;   9.537;     9;     1
 19620218;   51300;   7.070;     9;     1
 19620219;   44300;   6.105;     9;     1
 19620220;   39400;   5.430;     9;     1
 19620221;   34800;   4.796;     9;     1
 19620222;   31300;   4.314;     9;     1
 19620223;   27200;   3.749;     9;     1
 19620224;   23600;   3.253;     9;     1
 19620225;   21200;   2.922;     9;     1
 19620226;   20700;   2.853;     9;     1
 19620227;   18700;   2.577;     9;     1
 19620228;   18200;   2.508;     9;     1
 19620301;   18000;   2.481;     9;     1
 19620302;   16700;   2.302;     9;     1
 19620303;   15500;   2.136;     9;     1
 19620304;   24300;   3.349;     9;     1
 19620305;   60400;   8.324;     9;     1
 19620306;   45100;   6.216;     9;     1
 19620307;   36100;   4.975;     9;     1
 19620308;   31400;   4.328;     9;     1
 19620309;   29300;   4.038;     9;     1
 19620310;   32900;   4.534;     9;     1
 19620311;   40200;   5.540;     9;     1
 19620312;   45100;   6.216;     9;     1
 19620313;   39700;   5.471;     9;     1
 19620314;   34400;   4.741;     9;     1
 19620315;   31000;   4.272;     9;     1
 19620316;   28100;   3.873;     9;     1
 19620317;   24200;   3.335;     9;     1
 19620318;   21000;   2.894;     9;     1
 19620319;   20100;   2.770;     9;     1
 19620320;   19100;   2.632;     9;     1
 19620321;   17700;   2.439;     9;     1
 19620322;   16400;   2.260;     9;     1
 19620323;   15200;   2.095;     9;     1
 19620324;   14000;   1.929;     9;     1
 19620325;   13400;   1.847;     9;     1
 19620326;   13400;   1.847;     9;     1
 19620327;   14500;   1.998;     9;     1
 19620328;   16100;   2.219;     9;     1
 19620329;   36800;   5.072;     9;     1
 19620330;  154000;  21.224;     5;     1
 19620331;  354000;  48.788;     5;     1
 19620401;  203000;  27.977;     5;     1
 19620402;  104000;  14.333;     9;     1
 19620403;   72600;  10.006;     9;     1
 19620404;   81900;  11.287;     9;     1
 19620405;  117000;  16.125;     9;     1
 19620406;  110000;  15.160;     9;     1
 19620407;   75600;  10.419;     9;     1
 19620408;   61400;   8.462;     9;     1
 19620409;   74800;  10.309;     9;     1
 19620410;   64400;   8.876;     9;     1
 19620411;   54100;   7.456;     9;     1
 19620412;   47200;   6.505;     9;     1
 19620413;   44300;   6.105;     9;     1
 19620414;   39100;   5.389;     9;     1
 19620415;   34800;   4.796;     9;     1
 19620416;   33500;   4.617;     9;     1
 19620417;   31800;   4.383;     9;     1
 19620418;   33500;   4.617;     9;     1
 19620419;   32900;   4.534;     9;     1
 19620420;   33900;   4.672;     9;     1
 19620421;   39600;   5.458;     9;     1
 19620422;   39900;   5.499;     9;     1
 19620423;   38300;   5.278;     9;     1
 19620424;   36900;   5.086;     9;     1
 19620425;   32800;   4.520;     9;     1
 19620426;   31600;   4.355;     9;     1
 19620427;   28900;   3.983;     9;     1
 19620428;   23000;   3.170;     9;     1
 19620429;   19600;   2.701;     9;     1
 19620430;   18900;   2.605;     9;     1
 19620501;   15900;   2.191;     9;     1
 19620502;   15100;   2.081;     9;     1
 19620503;   13600;   1.874;     9;     1
 19620504;   13400;   1.847;     9;     1
 19620505;   12500;   1.723;     9;     1
 19620506;   11900;   1.640;     9;     1
 19620507;   13200;   1.819;     9;     1
 19620508;   11700;   1.612;     9;     1
 19620509;   13400;   1.847;     9;     1
 19620510;   21900;   3.018;     9;     1
 19620511;   21900;   3.018;     9;     1
 19620512;   20600;   2.839;     9;     1
 19620513;   17000;   2.343;     9;     1
 19620514;   16100;   2.219;     9;     1
 19620515;   17700;   2.439;     9;     1
 19620516;   22900;   3.156;     9;     1
 19620517;   26900;   3.707;     9;     1
 19620518;   59400;   8.186;     9;     1
 19620519;   57000;   7.856;     9;     1
 19620520;   51400;   7.084;     9;     1
 19620521;   40000;   5.513;     9;     1
 19620522;   38300;   5.278;     9;     1
 19620523;   32800;   4.520;     9;     1
 19620524;   29400;   4.052;     9;     1
 19620525;   25300;   3.487;     9;     1
 19620526;   22100;   3.046;     9;     1
 19620527;   20300;   2.798;     9;     1
 19620528;   20600;   2.839;     9;     1
 19620529;   18800;   2.591;     9;     1
