## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:30:15
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Lorraine
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : A4250640
## Nom station                      : La Moselle à Épinal
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      956676 ;    6790653 ;      956628 ;    6790642 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      906120 ;    2359853 ;      906113 ;    2359849 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     6.45353 ;   48.16571 ;     6.45288 ;   48.16563 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :     1217.00 ;    1218.22 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         324 ;        325 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       0 [%]
## Débits disponibles               :  1960-01-01 ; 2021-02-09 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    3/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19600101;   79500;   5.638;     9;     1
 19600102;   70500;   5.000;     9;     1
 19600103;  100000;   7.092;     9;     1
 19600104;  110000;   7.802;     9;     1
 19600105;   78500;   5.567;     9;     1
 19600106;   67500;   4.787;     9;     1
 19600107;   54500;   3.865;     9;     1
 19600108;   45700;   3.241;     9;     1
 19600109;   39700;   2.816;     9;     1
 19600110;   30700;   2.177;     9;     1
 19600111;   28600;   2.028;     9;     1
 19600112;   26600;   1.887;     9;     1
 19600113;   25700;   1.823;     9;     1
 19600114;   24600;   1.745;     9;     1
 19600115;   23500;   1.667;     9;     1
 19600116;   27500;   1.950;     9;     1
 19600117;   23500;   1.667;     9;     1
 19600118;   21500;   1.525;     9;     1
 19600119;   23400;   1.660;     9;     1
 19600120;   22500;   1.596;     9;     1
 19600121;   23700;   1.681;     9;     1
 19600122;   48700;   3.454;     9;     1
 19600123;   37700;   2.674;     9;     1
 19600124;   33700;   2.390;     9;     1
 19600125;   51500;   3.653;     9;     1
 19600126;   67500;   4.787;     9;     1
 19600127;   79500;   5.638;     9;     1
 19600128;   77500;   5.497;     9;     1
 19600129;   68500;   4.858;     9;     1
 19600130;   53500;   3.794;     9;     1
 19600131;   44700;   3.170;     9;     1
 19600201;   39700;   2.816;     9;     1
 19600202;   35700;   2.532;     9;     1
 19600203;   32700;   2.319;     9;     1
 19600204;   29700;   2.106;     9;     1
 19600205;   38800;   2.752;     9;     1
 19600206;   35700;   2.532;     9;     1
 19600207;   29700;   2.106;     9;     1
 19600208;   23700;   1.681;     9;     1
 19600209;   22700;   1.610;     9;     1
 19600210;   20700;   1.468;     9;     1
 19600211;   19600;   1.390;     9;     1
 19600212;   23600;   1.674;     9;     1
 19600213;   25700;   1.823;     9;     1
 19600214;   26700;   1.894;     9;     1
 19600215;   23700;   1.681;     9;     1
 19600216;   25700;   1.823;     9;     1
 19600217;   26700;   1.894;     9;     1
 19600218;   23700;   1.681;     9;     1
 19600219;   49800;   3.532;     9;     1
 19600220;   41700;   2.957;     9;     1
 19600221;   40700;   2.887;     9;     1
 19600222;   55500;   3.936;     9;     1
 19600223;   76500;   5.426;     9;     1
 19600224;   74500;   5.284;     9;     1
 19600225;   72500;   5.142;     9;     1
 19600226;  260000;  18.440;     9;     1
 19600227;  210000;  14.894;     9;     1
 19600228;  155000;  10.993;     9;     1
 19600229;  120000;   8.511;     9;     1
 19600301;  120000;   8.511;     9;     1
 19600302;  110000;   7.802;     9;     1
 19600303;  120000;   8.511;     9;     1
 19600304;  160000;  11.348;     9;     1
 19600305;  115000;   8.156;     9;     1
 19600306;   90500;   6.419;     9;     1
 19600307;   74500;   5.284;     9;     1
 19600308;   65500;   4.645;     9;     1
 19600309;   66500;   4.716;     9;     1
 19600310;   69500;   4.929;     9;     1
 19600311;   57500;   4.078;     9;     1
 19600312;   48600;   3.447;     9;     1
 19600313;   41600;   2.950;     9;     1
 19600314;   39600;   2.809;     9;     1
 19600315;   36700;   2.603;     9;     1
 19600316;   34700;   2.461;     9;     1
 19600317;   32600;   2.312;     9;     1
 19600318;   29600;   2.099;     9;     1
 19600319;   26600;   1.887;     9;     1
 19600320;   23600;   1.674;     9;     1
 19600321;   23600;   1.674;     9;     1
 19600322;   21600;   1.532;     9;     1
