## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:30:27
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Lorraine
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : A5261010
## Nom station                      : Le Madon à Mirecourt
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      932614 ;    6805184 ;      932569 ;    6805140 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      881916 ;    2374186 ;      881913 ;    2374149 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     6.13791 ;   48.30538 ;     6.13728 ;   48.30500 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      382.00 ;     382.98 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         261 ;        265 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       0 [%]
## Débits disponibles               :  1965-08-10 ; 2006-09-28 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19650810;     900;   0.203;     9;     1
 19650811;     937;   0.211;     9;     1
 19650812;     868;   0.196;     9;     1
 19650813;     871;   0.196;     9;     1
 19650814;     884;   0.199;     9;     1
 19650815;     907;   0.205;     9;     1
 19650816;     902;   0.203;     9;     1
 19650817;     897;   0.202;     9;     1
 19650818;     901;   0.203;     9;     1
 19650819;     875;   0.197;     9;     1
 19650820;     889;   0.201;     9;     1
 19650821;     889;   0.201;     9;     1
 19650822;     881;   0.199;     9;     1
 19650823;     926;   0.209;     9;     1
 19650824;     913;   0.206;     9;     1
 19650825;     890;   0.201;     9;     1
 19650826;     895;   0.202;     9;     1
 19650827;     891;   0.201;     9;     1
 19650828;     927;   0.209;     9;     1
 19650829;     894;   0.202;     9;     1
 19650830;     896;   0.202;     9;     1
 19650831;     886;   0.200;     9;     1
 19650901;     895;   0.202;     9;     1
 19650902;    1110;   0.250;     9;     1
 19650903;    1320;   0.298;     9;     1
 19650904;    1900;   0.429;     9;     1
 19650905;    1770;   0.399;     9;     1
 19650906;    2780;   0.627;     9;     1
 19650907;    2870;   0.647;     9;     1
 19650908;    1990;   0.449;     9;     1
 19650909;    4790;   1.081;     9;     1
 19650910;    4600;   1.038;     9;     1
 19650911;    2460;   0.555;     9;     1
 19650912;    1560;   0.352;     9;     1
 19650913;    1700;   0.384;     9;     1
 19650914;    8790;   1.983;     9;     1
 19650915;    5760;   1.299;     9;     1
 19650916;    2650;   0.598;     9;     1
 19650917;    1610;   0.363;     9;     1
 19650918;    1410;   0.318;     9;     1
 19650919;    1650;   0.372;     9;     1
 19650920;    1280;   0.289;     9;     1
 19650921;    1020;   0.230;     9;     1
 19650922;     940;   0.212;     9;     1
 19650923;     925;   0.209;     9;     1
 19650924;     914;   0.206;     9;     1
 19650925;     907;   0.205;     9;     1
 19650926;     897;   0.202;     9;     1
 19650927;     915;   0.206;     9;     1
 19650928;     918;   0.207;     9;     1
 19650929;     916;   0.207;     9;     1
 19650930;    2860;   0.645;     9;     1
 19651001;   12700;   2.865;     9;     1
 19651002;    5050;   1.139;     9;     1
 19651003;    2690;   0.607;     9;     1
 19651004;    1720;   0.388;     9;     1
 19651005;    1360;   0.307;     9;     1
 19651006;    1190;   0.268;     9;     1
 19651007;    1090;   0.246;     9;     1
 19651008;     995;   0.224;     9;     1
 19651009;     957;   0.216;     9;     1
 19651010;     916;   0.207;     9;     1
 19651011;     999;   0.225;     9;     1
 19651012;     915;   0.206;     9;     1
 19651013;     890;   0.201;     9;     1
 19651014;     907;   0.205;     9;     1
 19651015;     904;   0.204;     9;     1
 19651016;     900;   0.203;     9;     1
 19651017;     894;   0.202;     9;     1
 19651018;     905;   0.204;     9;     1
 19651019;     906;   0.204;     9;     1
 19651020;     898;   0.203;     9;     1
 19651021;     899;   0.203;     9;     1
 19651022;     898;   0.203;     9;     1
 19651023;     899;   0.203;     9;     1
 19651024;     891;   0.201;     9;     1
 19651025;     902;   0.203;     9;     1
 19651026;     886;   0.200;     9;     1
 19651027;     894;   0.202;     9;     1
 19651028;     886;   0.200;     9;     1
 19651029;     890;   0.201;     9;     1
 19651030;     891;   0.201;     9;     1
 19651031;     888;   0.200;     9;     1
 19651101;     893;   0.201;     9;     1
 19651102;     939;   0.212;     9;     1
