## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:30:30
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Lorraine
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : A5431010
## Nom station                      : Le Madon à Pulligny
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      931126 ;    6831826 ;      931099 ;    6831736 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      880198 ;    2400832 ;      880213 ;    2400749 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     6.13211 ;   48.54540 ;     6.13169 ;   48.54460 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :       943.0 ;      948.1 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         225 ;        225 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       0 [%]
## Débits disponibles               :  1964-01-20 ; 2021-01-31 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19640120;    7500;   0.683;     9;     1
 19640121;    6200;   0.565;     9;     1
 19640122;    5000;   0.456;     9;     1
 19640123;    5000;   0.456;     9;     1
 19640124;    5000;   0.456;     9;     1
 19640125;    5000;   0.456;     9;     1
 19640126;    2650;   0.241;     9;     1
 19640127;    2650;   0.241;     9;     1
 19640128;    2650;   0.241;     9;     1
 19640129;    3800;   0.346;     9;     1
 19640130;    3800;   0.346;     9;     1
 19640131;    3800;   0.346;     9;     1
 19640201;   14300;   1.303;     9;     1
 19640202;   57000;   5.194;     9;     1
 19640203;   46400;   4.228;     9;     1
 19640204;   31600;   2.880;     9;     1
 19640205;   25100;   2.287;     9;     1
 19640206;   12400;   1.130;     9;     1
 19640207;    6700;   0.611;     9;     1
 19640208;    6200;   0.565;     9;     1
 19640209;    6200;   0.565;     9;     1
 19640210;    6200;   0.565;     9;     1
 19640211;    6700;   0.611;     9;     1
 19640212;   10700;   0.975;     9;     1
 19640213;   14000;   1.276;     9;     1
 19640214;    9150;   0.834;     9;     1
 19640215;    7550;   0.688;     9;     1
 19640216;    7500;   0.683;     9;     1
 19640217;    6200;   0.565;     9;     1
 19640218;    6200;   0.565;     9;     1
 19640219;    7500;   0.683;     9;     1
 19640220;    8850;   0.806;     9;     1
 19640221;    6200;   0.565;     9;     0
 19640222;    6200;   0.565;     9;     0
 19640223;    6200;   0.565;     9;     0
 19640224;    6200;   0.565;     9;     0
 19640225;    6200;   0.565;     9;     0
 19640226;    5000;   0.456;     9;     1
 19640227;    5000;   0.456;     9;     1
 19640228;    6200;   0.565;     9;     1
 19640229;    6200;   0.565;     9;     1
 19640301;    6200;   0.565;     9;     1
 19640302;    6200;   0.565;     9;     1
 19640303;    5000;   0.456;     9;     0
 19640304;    5000;   0.456;     9;     0
 19640305;    5000;   0.456;     9;     0
 19640306;    5000;   0.456;     9;     0
 19640307;    5000;   0.456;     9;     0
 19640308;    5000;   0.456;     9;     0
 19640309;    5000;   0.456;     9;     0
 19640310;    6200;   0.565;     9;     1
 19640311;    5000;   0.456;     9;     1
 19640312;    5000;   0.456;     9;     1
 19640313;    5000;   0.456;     9;     1
 19640314;    5350;   0.488;     9;     1
 19640315;    8150;   0.743;     9;     1
 19640316;    8850;   0.806;     9;     1
 19640317;    8850;   0.806;     9;     1
 19640318;    9650;   0.879;     9;     1
 19640319;   18000;   1.640;     9;     1
 19640320;   48300;   4.402;     9;     1
 19640321;   40800;   3.718;     9;     1
 19640322;   31200;   2.843;     9;     1
 19640323;   30400;   2.770;     9;     1
 19640324;   32400;   2.953;     9;     1
 19640325;   41700;   3.800;     9;     1
 19640326;   49800;   4.538;     9;     1
 19640327;   32700;   2.980;     9;     1
 19640328;   29400;   2.679;     9;     1
 19640329;   22900;   2.087;     9;     1
 19640330;   18500;   1.686;     9;     1
 19640331;   14800;   1.349;     9;     1
 19640401;   14800;   1.349;     9;     1
 19640402;   14800;   1.349;     9;     1
 19640403;   16400;   1.495;     9;     1
 19640404;   14800;   1.349;     9;     1
 19640405;   14800;   1.349;     9;     1
 19640406;   14800;   1.349;     9;     1
 19640407;   13200;   1.203;     9;     1
 19640408;   13200;   1.203;     9;     1
 19640409;   10200;   0.930;     9;     0
 19640410;   10200;   0.930;     9;     0
