## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:30:35
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Lorraine
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : A6051020
## Nom station                      : La Meurthe à Saint-Dié
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      993436 ;    6805591 ;      993333 ;    6805615 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      942777 ;    2375120 ;      942713 ;    2375149 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     6.95743 ;   48.28446 ;     6.95606 ;   48.28472 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      374.00 ;     370.66 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         335 ;        339 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       0 [%]
## Débits disponibles               :  1967-08-30 ; 2021-02-04 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    3/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19670830;    1880;   0.438;     5;     1
 19670831;    1880;   0.438;     5;     1
 19670901;    1830;   0.427;     5;     1
 19670902;    1760;   0.410;     5;     1
 19670903;    1500;   0.350;     5;     1
 19670904;    1910;   0.445;     9;     1
 19670905;    1950;   0.455;     5;     1
 19670906;    1820;   0.424;     5;     1
 19670907;    1880;   0.438;     5;     1
 19670908;    1870;   0.436;     5;     1
 19670909;    3100;   0.723;     9;     1
 19670910;    2720;   0.634;     9;     1
 19670911;    2640;   0.615;     9;     1
 19670912;    2470;   0.576;     9;     1
 19670913;    2170;   0.506;     9;     1
 19670914;    2070;   0.483;     9;     1
 19670915;    2950;   0.688;     9;     1
 19670916;    4940;   1.152;     9;     1
 19670917;    4710;   1.098;     9;     1
 19670918;    3520;   0.821;     9;     1
 19670919;    3230;   0.753;     9;     1
 19670920;    3630;   0.846;     9;     1
 19670921;    4230;   0.986;     9;     1
 19670922;   17600;   4.103;     9;     1
 19670923;    9150;   2.133;     9;     1
 19670924;    6530;   1.522;     9;     1
 19670925;    5480;   1.277;     9;     1
 19670926;    4590;   1.070;     9;     1
 19670927;    4270;   0.995;     9;     1
 19670928;    4050;   0.944;     9;     1
 19670929;    3650;   0.851;     9;     1
 19670930;    3470;   0.809;     9;     1
 19671001;    3670;   0.855;     9;     1
 19671002;    3340;   0.779;     9;     1
 19671003;    3540;   0.825;     9;     1
 19671004;    4500;   1.049;     9;     1
 19671005;    5870;   1.368;     9;     1
 19671006;    4640;   1.082;     9;     1
 19671007;    3640;   0.848;     9;     1
 19671008;    3260;   0.760;     9;     1
 19671009;    3150;   0.734;     9;     1
 19671010;    2970;   0.692;     9;     1
 19671011;    2880;   0.671;     9;     1
 19671012;    2740;   0.639;     9;     1
 19671013;    2730;   0.636;     9;     1
 19671014;    3220;   0.751;     9;     1
 19671015;    3350;   0.781;     9;     1
 19671016;    5940;   1.385;     9;     1
 19671017;    5080;   1.184;     9;     1
 19671018;    7650;   1.783;     9;     1
 19671019;    5010;   1.168;     9;     1
 19671020;    4580;   1.068;     9;     1
 19671021;    4050;   0.944;     9;     1
 19671022;    3800;   0.886;     9;     1
 19671023;    3820;   0.890;     9;     1
 19671024;    3550;   0.827;     9;     1
 19671025;    3500;   0.816;     9;     1
 19671026;    3450;   0.804;     9;     1
 19671027;    3400;   0.793;     9;     1
 19671028;    3500;   0.816;     9;     1
 19671029;    4570;   1.065;     9;     1
 19671030;    4130;   0.963;     9;     1
 19671031;    4090;   0.953;     9;     1
 19671101;   10800;   2.517;     9;     1
 19671102;   11900;   2.774;     9;     1
 19671103;   12700;   2.960;     9;     1
 19671104;   10400;   2.424;     9;     1
 19671105;   12500;   2.914;     9;     1
 19671106;   10000;   2.331;     9;     1
 19671107;    8630;   2.012;     9;     1
 19671108;    7590;   1.769;     9;     1
 19671109;    6840;   1.594;     9;     1
 19671110;    6060;   1.413;     9;     1
 19671111;    4980;   1.161;     9;     1
 19671112;    5050;   1.177;     9;     1
 19671113;    4880;   1.138;     9;     1
 19671114;    4480;   1.044;     9;     1
 19671115;    5680;   1.324;     9;     1
 19671116;   10100;   2.354;     9;     1
 19671117;   10400;   2.424;     9;     1
 19671118;    7950;   1.853;     9;     1
 19671119;    7320;   1.706;     9;     1
 19671120;    7000;   1.632;     9;     1
