## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:31:06
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Lorraine
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : A7881010
## Nom station                      : La Seille à Metz [pont Lothaire]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      932790 ;    6893670 ;      932732 ;    6893684 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      881329 ;    2462728 ;      881313 ;    2462749 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     6.18845 ;   49.10055 ;     6.18767 ;   49.10070 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :     1280.00 ;    1274.21 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         163 ;        164 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     1.9 [%]
## Débits disponibles               :  1964-10-01 ; 2015-09-20 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19641001;     960;   0.065;     5;     1
 19641002;     960;   0.065;     5;     1
 19641003;     890;   0.060;     5;     1
 19641004;     890;   0.060;     5;     1
 19641005;     820;   0.056;     5;     1
 19641006;     820;   0.056;     9;     1
 19641007;     760;   0.052;     9;     1
 19641008;     960;   0.065;     9;     1
 19641009;    1420;   0.096;     9;     1
 19641010;    1420;   0.096;     9;     1
 19641011;    1260;   0.085;     9;     1
 19641012;    1100;   0.075;     9;     1
 19641013;    1260;   0.085;     9;     1
 19641014;    1340;   0.091;     9;     1
 19641015;    1500;   0.102;     9;     1
 19641016;    1680;   0.114;     9;     1
 19641017;    1860;   0.126;     9;     1
 19641018;    2510;   0.170;     9;     1
 19641019;    3160;   0.214;     9;     1
 19641020;    3370;   0.229;     9;     1
 19641021;    2990;   0.203;     9;     1
 19641022;    2610;   0.177;     9;     1
 19641023;    2410;   0.163;     9;     1
 19641024;    2270;   0.154;     9;     1
 19641025;    2080;   0.141;     9;     1
 19641026;    2270;   0.154;     9;     1
 19641027;    2510;   0.170;     9;     1
 19641028;    2270;   0.154;     9;     1
 19641029;    1860;   0.126;     9;     1
 19641030;    1590;   0.108;     9;     1
 19641031;    1590;   0.108;     9;     1
 19641101;    1590;   0.108;     9;     1
 19641102;    1590;   0.108;     9;     1
 19641103;    1420;   0.096;     9;     1
 19641104;    1420;   0.096;     9;     1
 19641105;    1460;   0.099;     9;     1
 19641106;    1590;   0.108;     9;     1
 19641107;    1820;   0.123;     9;     1
 19641108;    2000;   0.136;     9;     1
 19641109;    1900;   0.129;     9;     1
 19641110;    1820;   0.123;     9;     1
 19641111;    1720;   0.117;     9;     1
 19641112;    1630;   0.111;     9;     1
 19641113;    1590;   0.108;     9;     1
 19641114;    1590;   0.108;     9;     1
 19641115;    1590;   0.108;     9;     1
 19641116;    2510;   0.170;     9;     1
 19641117;    5650;   0.383;     9;     1
 19641118;   10100;   0.685;     9;     1
 19641119;   12200;   0.827;     9;     1
 19641120;   10300;   0.698;     9;     1
 19641121;    7850;   0.532;     9;     1
 19641122;    5350;   0.363;     9;     1
 19641123;    4590;   0.311;     9;     1
 19641124;    3940;   0.267;     9;     1
 19641125;    3310;   0.224;     9;     1
 19641126;    2990;   0.203;     9;     1
 19641127;    2780;   0.189;     9;     1
 19641128;    2720;   0.184;     9;     1
 19641129;    2610;   0.177;     9;     1
 19641130;    2510;   0.170;     9;     1
 19641201;    2510;   0.170;     9;     1
 19641202;    2510;   0.170;     9;     1
 19641203;    2310;   0.157;     9;     1
 19641204;    2310;   0.157;     9;     1
 19641205;    2310;   0.157;     9;     1
 19641206;    2220;   0.151;     9;     1
 19641207;    2130;   0.144;     9;     1
 19641208;    5650;   0.383;     9;     1
 19641209;    6400;   0.434;     9;     1
 19641210;    4650;   0.315;     9;     1
 19641211;    3700;   0.251;     9;     1
 19641212;    3370;   0.229;     9;     1
 19641213;    3160;   0.214;     9;     1
 19641214;    3260;   0.221;     9;     1
 19641215;    3700;   0.251;     9;     1
 19641216;    4200;   0.285;     9;     1
 19641217;    3940;   0.267;     9;     1
 19641218;    3480;   0.236;     9;     1
 19641219;    3050;   0.207;     9;     1
 19641220;    2830;   0.192;     9;     1
 19641221;    2760;   0.187;     9;     1
 19641222;    2460;   0.167;     9;     1
