## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:31:29
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Alsace
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : A9091050
## Nom station                      : La Sarre à Keskastel
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      995621 ;    6881994 ;      995594 ;    6881947 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      944301 ;    2451589 ;      944313 ;    2451549 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     7.03951 ;   48.96982 ;     7.03911 ;   48.96942 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      879.00 ;     880.74 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         208 ;        210 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     2.7 [%]
## Débits disponibles               :  1967-01-01 ; 2021-02-01 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/2 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19670101;   32300;   3.169;     9;     1
 19670102;   34500;   3.384;     9;     1
 19670103;   22800;   2.237;     9;     1
 19670104;   14300;   1.403;     9;     1
 19670105;   14600;   1.432;     9;     1
 19670106;   12700;   1.246;     9;     1
 19670107;   11100;   1.089;     9;     1
 19670108;   11900;   1.167;     9;     1
 19670109;   10600;   1.040;     9;     1
 19670110;    8950;   0.878;     9;     1
 19670111;    9000;   0.883;     9;     1
 19670112;    8650;   0.849;     9;     1
 19670113;    8600;   0.844;     9;     1
 19670114;   11600;   1.138;     9;     1
 19670115;   14500;   1.422;     9;     1
 19670116;   13200;   1.295;     9;     1
 19670117;   11400;   1.118;     9;     1
 19670118;    9950;   0.976;     9;     1
 19670119;    8700;   0.853;     9;     1
 19670120;    7800;   0.765;     9;     1
 19670121;    6850;   0.672;     9;     1
 19670122;    8900;   0.873;     9;     1
 19670123;   10800;   1.059;     9;     1
 19670124;    8350;   0.819;     9;     1
 19670125;    9750;   0.956;     9;     1
 19670126;   14400;   1.413;     9;     1
 19670127;   25600;   2.511;     9;     1
 19670128;   15900;   1.560;     9;     1
 19670129;   34000;   3.335;     9;     1
 19670130;   21300;   2.090;     9;     1
 19670131;   16900;   1.658;     9;     1
 19670201;   13500;   1.324;     9;     1
 19670202;   13100;   1.285;     9;     1
 19670203;   13000;   1.275;     9;     1
 19670204;   10600;   1.040;     9;     1
 19670205;   10200;   1.001;     9;     1
 19670206;    9800;   0.961;     9;     1
 19670207;    8500;   0.834;     9;     1
 19670208;    8300;   0.814;     9;     1
 19670209;    8250;   0.809;     9;     1
 19670210;    7800;   0.765;     9;     1
 19670211;    8450;   0.829;     9;     1
 19670212;    6500;   0.638;     9;     1
 19670213;    6350;   0.623;     9;     1
 19670214;    5950;   0.584;     9;     1
 19670215;    5550;   0.544;     9;     1
 19670216;    5600;   0.549;     9;     1
 19670217;    6000;   0.589;     9;     1
 19670218;    5900;   0.579;     9;     1
 19670219;    6600;   0.647;     9;     1
 19670220;   11900;   1.167;     9;     1
 19670221;   22800;   2.237;     9;     1
 19670222;   21200;   2.080;     9;     1
 19670223;   13000;   1.275;     9;     1
 19670224;   17600;   1.727;     9;     1
 19670225;   12700;   1.246;     9;     1
 19670226;   10200;   1.001;     9;     1
 19670227;   12600;   1.236;     9;     1
 19670228;   17500;   1.717;     9;     1
 19670301;   35600;   3.492;     9;     1
 19670302;   22600;   2.217;     9;     1
 19670303;   19100;   1.874;     9;     1
 19670304;   13300;   1.305;     9;     1
 19670305;   10300;   1.010;     9;     1
 19670306;   10800;   1.059;     9;     1
 19670307;    9450;   0.927;     9;     1
 19670308;    8350;   0.819;     9;     1
 19670309;    7650;   0.750;     9;     1
 19670310;    9500;   0.932;     9;     1
 19670311;   13300;   1.305;     9;     1
 19670312;   26700;   2.619;     9;     1
 19670313;   21000;   2.060;     9;     1
 19670314;   21800;   2.139;     9;     1
 19670315;   14800;   1.452;     9;     1
 19670316;   10200;   1.001;     9;     1
 19670317;    9550;   0.937;     9;     1
 19670318;   10600;   1.040;     9;     1
 19670319;   12700;   1.246;     9;     1
 19670320;   13000;   1.275;     9;     1
 19670321;   10100;   0.991;     9;     1
 19670322;    8200;   0.804;     9;     1
 19670323;    7750;   0.760;     9;     1
