## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:31:32
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Alsace
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : A9132050
## Nom station                      : L'Albe à Sarralbe [Rech]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      993549 ;    6883331 ;      993507 ;    6883364 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      942216 ;    2452909 ;      942213 ;    2452949 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     7.01217 ;   48.98278 ;     7.01163 ;   48.98310 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      406.00 ;     405.24 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         208 ;        208 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     4.2 [%]
## Débits disponibles               :  1967-01-01 ; 2007-08-22 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19670101;   20600;   4.392;     9;     1
 19670102;   19100;   4.072;     9;     1
 19670103;    9100;   1.940;     9;     1
 19670104;    5600;   1.194;     9;     1
 19670105;    4370;   0.932;     9;     1
 19670106;    3770;   0.804;     9;     1
 19670107;    3370;   0.719;     9;     1
 19670108;    3610;   0.770;     9;     1
 19670109;    3380;   0.721;     9;     1
 19670110;    1960;   0.418;     9;     1
 19670111;    1350;   0.288;     9;     1
 19670112;    1250;   0.267;     9;     1
 19670113;    1490;   0.318;     9;     1
 19670114;    3320;   0.708;     9;     1
 19670115;    4220;   0.900;     9;     1
 19670116;    3840;   0.819;     9;     1
 19670117;    2910;   0.620;     9;     1
 19670118;    2570;   0.548;     9;     1
 19670119;    2370;   0.505;     9;     1
 19670120;    2090;   0.446;     9;     1
 19670121;    2190;   0.467;     9;     1
 19670122;    2330;   0.497;     9;     1
 19670123;    2390;   0.510;     9;     1
 19670124;    2190;   0.467;     9;     1
 19670125;    2730;   0.582;     9;     1
 19670126;    4470;   0.953;     9;     1
 19670127;   17000;   3.625;     9;     1
 19670128;   16700;   3.561;     9;     1
 19670129;    7900;   1.684;     9;     1
 19670130;    4100;   0.874;     9;     1
 19670131;    3060;   0.652;     9;     1
 19670201;    2820;   0.601;     9;     1
 19670202;    3050;   0.650;     9;     1
 19670203;    3410;   0.727;     9;     1
 19670204;    3130;   0.667;     9;     1
 19670205;    2640;   0.563;     9;     1
 19670206;    2160;   0.461;     9;     1
 19670207;    2020;   0.431;     9;     1
 19670208;    1830;   0.390;     9;     1
 19670209;    1690;   0.360;     9;     1
 19670210;    1350;   0.288;     9;     1
 19670211;    1210;   0.258;     9;     1
 19670212;    1070;   0.228;     9;     1
 19670213;     830;   0.177;     9;     1
 19670214;    1150;   0.245;     9;     1
 19670215;    1060;   0.226;     9;     1
 19670216;     620;   0.132;     9;     1
 19670217;     785;   0.167;     9;     1
 19670218;    1030;   0.220;     9;     1
 19670219;    2000;   0.426;     9;     1
 19670220;    6850;   1.460;     9;     1
 19670221;    9850;   2.100;     9;     1
 19670222;    5800;   1.237;     9;     1
 19670223;    3680;   0.785;     9;     1
 19670224;    4550;   0.970;     9;     1
 19670225;    3450;   0.736;     9;     1
 19670226;    3130;   0.667;     9;     1
 19670227;    5000;   1.066;     9;     1
 19670228;    9400;   2.004;     9;     1
 19670301;   29500;   6.290;     9;     1
 19670302;   14000;   2.985;     9;     1
 19670303;    7700;   1.642;     9;     1
 19670304;    5150;   1.098;     9;     1
 19670305;    4290;   0.915;     9;     1
 19670306;    5300;   1.130;     9;     1
 19670307;    5200;   1.109;     9;     1
 19670308;    4860;   1.036;     9;     1
 19670309;    4600;   0.981;     9;     1
 19670310;    5450;   1.162;     9;     1
 19670311;    5300;   1.130;     9;     1
 19670312;    5700;   1.215;     9;     1
 19670313;   10800;   2.303;     9;     1
 19670314;   11800;   2.516;     9;     1
 19670315;    5800;   1.237;     9;     1
 19670316;    4260;   0.908;     9;     1
 19670317;    3080;   0.657;     9;     1
 19670318;    3030;   0.646;     9;     1
 19670319;    3270;   0.697;     9;     1
 19670320;    2800;   0.597;     9;     1
 19670321;    2310;   0.493;     9;     1
 19670322;    2180;   0.465;     9;     1
 19670323;    1550;   0.330;     9;     1
 19670324;    1480;   0.316;     9;     1
 19670325;    1190;   0.254;     9;     1
 19670326;    1080;   0.230;     9;     1
 19670327;    1070;   0.228;     9;     1
 19670328;    3640;   0.776;     9;     1
