## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:31:41
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Alsace
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : A9352050
## Nom station                      : L'Eichel à Oermingen
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :     1002118 ;    6885748 ;     1002123 ;    6885689 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      950770 ;    2455401 ;      950813 ;    2455349 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     7.13082 ;   49.00051 ;     7.13083 ;   48.99998 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      277.00 ;     279.38 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :     210.000 ;    213.125 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     2.1 [%]
## Débits disponibles               :  1968-05-01 ; 2021-02-02 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/2 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19680501;    2660;   0.823;     9;     1
 19680502;    4380;   1.355;     9;     1
 19680503;   10300;   3.185;     9;     1
 19680504;    5350;   1.655;     9;     1
 19680505;    4140;   1.280;     9;     1
 19680506;    5000;   1.546;     9;     1
 19680507;    6850;   2.118;     9;     1
 19680508;    4710;   1.457;     9;     1
 19680509;    3640;   1.126;     9;     1
 19680510;    3060;   0.946;     9;     1
 19680511;    2630;   0.813;     9;     1
 19680512;    2490;   0.770;     9;     1
 19680513;    2270;   0.702;     9;     1
 19680514;    1920;   0.594;     9;     1
 19680515;    1690;   0.523;     9;     1
 19680516;    1600;   0.495;     9;     1
 19680517;    1590;   0.492;     9;     1
 19680518;    1420;   0.439;     9;     1
 19680519;    1420;   0.439;     9;     1
 19680520;    1290;   0.399;     9;     1
 19680521;    1250;   0.387;     9;     1
 19680522;    1530;   0.473;     9;     1
 19680523;    2070;   0.640;     9;     1
 19680524;    1420;   0.439;     9;     1
 19680525;    1210;   0.374;     9;     1
 19680526;    2670;   0.826;     9;     1
 19680527;    1740;   0.538;     9;     1
 19680528;    1260;   0.390;     9;     1
 19680529;    1070;   0.331;     9;     1
 19680530;     985;   0.305;     9;     1
 19680531;     970;   0.300;     9;     1
 19680601;     890;   0.275;     9;     1
 19680602;     860;   0.266;     9;     1
 19680603;     860;   0.266;     9;     1
 19680604;    1340;   0.414;     9;     1
 19680605;    1360;   0.421;     9;     1
 19680606;     960;   0.297;     9;     1
 19680607;     865;   0.268;     9;     1
 19680608;     835;   0.258;     9;     1
 19680609;     920;   0.285;     9;     1
 19680610;     855;   0.264;     9;     1
 19680611;     795;   0.246;     9;     1
 19680612;     775;   0.240;     9;     1
 19680613;     780;   0.241;     9;     1
 19680614;     760;   0.235;     9;     1
 19680615;     730;   0.226;     9;     1
 19680616;    1070;   0.331;     9;     1
 19680617;     885;   0.274;     9;     1
 19680618;     880;   0.272;     9;     1
 19680619;     785;   0.243;     9;     1
 19680620;     790;   0.244;     9;     1
 19680621;     780;   0.241;     9;     1
 19680622;     825;   0.255;     9;     1
 19680623;     775;   0.240;     9;     1
 19680624;     845;   0.261;     9;     1
 19680625;     805;   0.249;     9;     1
 19680626;     775;   0.240;     9;     1
 19680627;     815;   0.252;     9;     1
 19680628;     755;   0.233;     9;     1
 19680629;     760;   0.235;     9;     1
 19680630;     725;   0.224;     9;     1
 19680701;     700;   0.216;     9;     1
 19680702;     680;   0.210;     9;     1
 19680703;     690;   0.213;     9;     1
 19680704;     730;   0.226;     9;     1
 19680705;     715;   0.221;     9;     1
 19680706;     860;   0.266;     9;     1
 19680707;     725;   0.224;     9;     1
 19680708;    1000;   0.309;     9;     1
 19680709;     860;   0.266;     9;     1
 19680710;     840;   0.260;     9;     1
 19680711;    1740;   0.538;     9;     1
 19680712;    1140;   0.353;     9;     1
 19680713;     930;   0.288;     9;     1
 19680714;    1040;   0.322;     9;     1
 19680715;     940;   0.291;     9;     1
 19680716;     950;   0.294;     9;     1
 19680717;     905;   0.280;     9;     1
 19680718;     975;   0.302;     9;     1
 19680719;     920;   0.285;     9;     1
 19680720;     885;   0.274;     9;     1
 19680721;     945;   0.292;     9;     1
 19680722;     930;   0.288;     9;     1
 19680723;     865;   0.268;     9;     1
 19680724;    1320;   0.408;     9;     1
