## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:32:10
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Lorraine
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : B2220010
## Nom station                      : La Meuse à Saint-Mihiel
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      885642 ;    6866422 ;      885626 ;    6866406 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      834386 ;    2435058 ;      834413 ;    2435049 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     5.53122 ;   48.87104 ;     5.53099 ;   48.87090 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :     2540.00 ;    2543.24 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         219 ;        216 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       0 [%]
## Débits disponibles               :  1968-06-27 ; 2021-02-04 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19680627;    7330;   0.249;     9;     1
 19680628;    6750;   0.229;     9;     1
 19680629;    6730;   0.229;     9;     1
 19680630;    6200;   0.211;     9;     1
 19680701;    5840;   0.198;     9;     1
 19680702;    5940;   0.202;     9;     1
 19680703;    5630;   0.191;     9;     1
 19680704;    5360;   0.182;     9;     1
 19680705;    5280;   0.179;     9;     1
 19680706;    7240;   0.246;     9;     1
 19680707;    7980;   0.271;     9;     1
 19680708;    6770;   0.230;     9;     1
 19680709;    6910;   0.235;     9;     1
 19680710;    6400;   0.217;     9;     1
 19680711;    8330;   0.283;     9;     1
 19680712;    8830;   0.300;     9;     1
 19680713;    8880;   0.302;     9;     1
 19680714;    7880;   0.268;     9;     1
 19680715;    8730;   0.297;     9;     1
 19680716;    9460;   0.321;     9;     1
 19680717;    8340;   0.283;     9;     1
 19680718;    8070;   0.274;     9;     1
 19680719;    7640;   0.260;     9;     1
 19680720;    7200;   0.245;     9;     1
 19680721;    6770;   0.230;     9;     1
 19680722;    6390;   0.217;     9;     1
 19680723;    6440;   0.219;     9;     1
 19680724;    6510;   0.221;     9;     1
 19680725;    6420;   0.218;     9;     1
 19680726;    6070;   0.206;     9;     1
 19680727;    5620;   0.191;     9;     1
 19680728;    5360;   0.182;     9;     1
 19680729;    5090;   0.173;     9;     1
 19680730;    4930;   0.167;     9;     1
 19680731;    4840;   0.164;     9;     1
 19680801;    4720;   0.160;     9;     1
 19680802;    4780;   0.162;     9;     1
 19680803;    5090;   0.173;     9;     1
 19680804;    5190;   0.176;     9;     1
 19680805;    5760;   0.196;     9;     1
 19680806;    6290;   0.214;     9;     1
 19680807;    6300;   0.214;     9;     1
 19680808;    5730;   0.195;     9;     1
 19680809;    4850;   0.165;     9;     1
 19680810;    6530;   0.222;     9;     1
 19680811;    8660;   0.294;     9;     1
 19680812;   14500;   0.493;     9;     1
 19680813;   16400;   0.557;     9;     1
 19680814;   25000;   0.849;     9;     1
 19680815;   28900;   0.982;     9;     1
 19680816;   36000;   1.223;     9;     1
 19680817;   48400;   1.644;     9;     1
 19680818;   45700;   1.553;     9;     1
 19680819;   47600;   1.617;     9;     1
 19680820;   53500;   1.818;     9;     1
 19680821;   44100;   1.498;     9;     1
 19680822;   37000;   1.257;     9;     1
 19680823;   31000;   1.053;     9;     1
 19680824;   26300;   0.893;     9;     1
 19680825;   23900;   0.812;     9;     1
 19680826;   21600;   0.734;     9;     1
 19680827;   19800;   0.673;     9;     1
 19680828;   18200;   0.618;     9;     1
 19680829;   17700;   0.601;     9;     1
 19680830;   16800;   0.571;     9;     1
 19680831;   19000;   0.645;     9;     1
 19680901;   27800;   0.944;     9;     1
 19680902;   59600;   2.025;     9;     1
 19680903;   68700;   2.334;     9;     1
 19680904;   77100;   2.619;     9;     1
 19680905;   84800;   2.881;     9;     1
 19680906;   89500;   3.041;     9;     1
 19680907;   79900;   2.714;     9;     1
 19680908;   57400;   1.950;     9;     1
 19680909;   38200;   1.298;     9;     1
 19680910;   30100;   1.023;     9;     1
 19680911;   28600;   0.972;     9;     1
 19680912;   31900;   1.084;     9;     1
 19680913;   35400;   1.203;     9;     1
 19680914;   34900;   1.186;     9;     1
 19680915;   29700;   1.009;     9;     1
 19680916;   26600;   0.904;     9;     1
 19680917;   25900;   0.880;     9;     1
