## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:32:25
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Lorraine
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : B4631010
## Nom station                      : La Chiers à Carignan
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      856078 ;    6949941 ;      856059 ;    6949911 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      804088 ;    2518371 ;      804113 ;    2518349 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     5.15948 ;   49.62942 ;     5.15919 ;   49.62916 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :     1967.00 ;    1978.31 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         159 ;        159 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       1 [%]
## Débits disponibles               :  1966-01-01 ; 2021-02-04 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    3/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19660101;   69000;   3.013;     9;     1
 19660102;   69500;   3.035;     9;     1
 19660103;   70000;   3.057;     9;     1
 19660104;   69500;   3.035;     9;     1
 19660105;   69500;   3.035;     9;     1
 19660106;   69000;   3.013;     9;     1
 19660107;   69000;   3.013;     9;     1
 19660108;   68000;   2.970;     9;     1
 19660109;   67000;   2.926;     9;     1
 19660110;   65500;   2.861;     9;     1
 19660111;   63500;   2.773;     9;     1
 19660112;   58500;   2.555;     9;     1
 19660113;   55500;   2.424;     9;     1
 19660114;   51000;   2.227;     9;     1
 19660115;   48000;   2.096;     9;     1
 19660116;   45600;   1.992;     9;     1
 19660117;   43000;   1.878;     9;     1
 19660118;   42100;   1.839;     9;     1
 19660119;   40100;   1.751;     9;     1
 19660120;   39000;   1.703;     9;     1
 19660121;   38200;   1.668;     9;     1
 19660122;   42900;   1.874;     9;     1
 19660123;   53500;   2.337;     9;     1
 19660124;   69000;   3.013;     9;     1
 19660125;   69000;   3.013;     9;     1
 19660126;   68000;   2.970;     9;     1
 19660127;   66500;   2.904;     9;     1
 19660128;   64500;   2.817;     9;     1
 19660129;   64000;   2.795;     9;     1
 19660130;   64000;   2.795;     9;     1
 19660131;   63000;   2.751;     9;     1
 19660201;   62500;   2.730;     9;     1
 19660202;   64000;   2.795;     9;     1
 19660203;   62500;   2.730;     9;     1
 19660204;   59500;   2.599;     9;     1
 19660205;   55500;   2.424;     9;     1
 19660206;   56000;   2.446;     9;     1
 19660207;   58500;   2.555;     9;     1
 19660208;   57500;   2.511;     9;     1
 19660209;   63000;   2.751;     9;     1
 19660210;   67500;   2.948;     9;     1
 19660211;   69500;   3.035;     9;     1
 19660212;   69000;   3.013;     9;     1
 19660213;   68500;   2.992;     9;     1
 19660214;   69500;   3.035;     9;     1
 19660215;   68500;   2.992;     9;     1
 19660216;   68500;   2.992;     9;     1
 19660217;   67500;   2.948;     9;     1
 19660218;   66000;   2.882;     9;     1
 19660219;   64000;   2.795;     9;     1
 19660220;   62000;   2.708;     9;     1
 19660221;   60500;   2.642;     9;     1
 19660222;   60000;   2.620;     9;     1
 19660223;   64000;   2.795;     9;     1
 19660224;   66000;   2.882;     9;     1
 19660225;   64500;   2.817;     9;     1
 19660226;   61500;   2.686;     9;     1
 19660227;   58500;   2.555;     9;     1
 19660228;   55500;   2.424;     9;     1
 19660301;   60000;   2.620;     9;     1
 19660302;   65000;   2.839;     9;     1
 19660303;   65500;   2.861;     9;     1
 19660304;   61500;   2.686;     9;     1
 19660305;   53500;   2.337;     9;     1
 19660306;   48600;   2.123;     9;     1
 19660307;   44600;   1.948;     9;     1
 19660308;   40900;   1.786;     9;     1
 19660309;   38600;   1.686;     9;     1
 19660310;   38200;   1.668;     9;     1
 19660311;   38200;   1.668;     9;     1
 19660312;   38400;   1.677;     9;     1
 19660313;   39300;   1.716;     9;     1
 19660314;   39600;   1.729;     9;     1
 19660315;   38200;   1.668;     9;     1
 19660316;   35900;   1.568;     9;     1
 19660317;   34400;   1.502;     9;     1
 19660318;   33300;   1.454;     9;     1
 19660319;   32900;   1.437;     9;     1
 19660320;   31300;   1.367;     9;     1
 19660321;   30300;   1.323;     9;     1
 19660322;   29900;   1.306;     9;     1
 19660323;   28800;   1.258;     9;     1
 19660324;   29100;   1.271;     9;     1
 19660325;   30600;   1.336;     9;     1
 19660326;   30200;   1.319;     9;     1
 19660327;   35300;   1.542;     9;     1
 19660328;   51000;   2.227;     9;     1
 19660329;   61500;   2.686;     9;     1
 19660330;   64000;   2.795;     9;     1
 19660331;   63000;   2.751;     9;     1
 19660401;   56000;   2.446;     9;     1
 19660402;   47500;   2.074;     9;     1
 19660403;   41900;   1.830;     9;     1
 19660404;   37700;   1.646;     9;     1
 19660405;   35800;   1.564;     9;     1
 19660406;   34200;   1.494;     9;     1
 19660407;   33300;   1.454;     9;     1
 19660408;   32900;   1.437;     9;     1
 19660409;   34900;   1.524;     9;     1
 19660410;   38200;   1.668;     9;     1
 19660411;   42500;   1.856;     9;     1
 19660412;   44200;   1.930;     9;     1
 19660413;   44100;   1.926;     9;     1
 19660414;   41200;   1.799;     9;     1
 19660415;   50000;   2.184;     9;     1
 19660416;   65000;   2.839;     9;     1
 19660417;   68000;   2.970;     9;     1
 19660418;   69000;   3.013;     9;     1
 19660419;   69500;   3.035;     9;     1
 19660420;   70000;   3.057;     9;     1
 19660421;   70000;   3.057;     9;     1
 19660422;   70000;   3.057;     9;     1
 19660423;   69500;   3.035;     9;     1
 19660424;   68000;   2.970;     9;     1
 19660425;   63000;   2.751;     9;     1
 19660426;   58500;   2.555;     9;     1
 19660427;   54000;   2.358;     9;     1
 19660428;   49700;   2.171;     9;     1
 19660429;   45800;   2.000;     9;     1
 19660430;   42000;   1.834;     9;     1
 19660501;   40200;   1.756;     9;     1
