## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:32:29
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Lorraine
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : B5322010
## Nom station                      : La Vence à la Francheville
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      823700 ;    6960105 ;      823663 ;    6960083 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      771604 ;    2528263 ;      771613 ;    2528249 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     4.71470 ;   49.72786 ;     4.71418 ;   49.72767 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      124.00 ;     124.58 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         150 ;        153 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     1.3 [%]
## Débits disponibles               :  1968-11-01 ; 2021-02-04 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19681101;    1160;   0.804;     9;     1
 19681102;    1230;   0.853;     9;     1
 19681103;    1410;   0.978;     9;     1
 19681104;    1400;   0.971;     9;     1
 19681105;    1260;   0.874;     9;     1
 19681106;    1260;   0.874;     9;     1
 19681107;    1220;   0.846;     9;     1
 19681108;    1110;   0.770;     9;     1
 19681109;    1110;   0.770;     9;     1
 19681110;    1060;   0.735;     9;     1
 19681111;    1020;   0.707;     9;     1
 19681112;    1020;   0.707;     9;     1
 19681113;    1020;   0.707;     9;     1
 19681114;     993;   0.689;     9;     1
 19681115;     944;   0.655;     9;     1
 19681116;     944;   0.655;     9;     1
 19681117;     944;   0.655;     9;     1
 19681118;     944;   0.655;     9;     1
 19681119;     966;   0.670;     9;     1
 19681120;     996;   0.691;     9;     1
 19681121;     950;   0.659;     9;     1
 19681122;     944;   0.655;     9;     1
 19681123;     944;   0.655;     9;     1
 19681124;    1100;   0.763;     9;     1
 19681125;    1470;   1.019;     9;     1
 19681126;    1270;   0.881;     9;     1
 19681127;    1160;   0.804;     9;     1
 19681128;    1050;   0.728;     9;     1
 19681129;     972;   0.674;     9;     1
 19681130;     955;   0.662;     9;     1
 19681201;     922;   0.639;     9;     1
 19681202;     907;   0.629;     9;     1
 19681203;     942;   0.653;     9;     1
 19681204;     903;   0.626;     9;     1
 19681205;     905;   0.628;     9;     1
 19681206;     895;   0.621;     9;     1
 19681207;     902;   0.626;     9;     1
 19681208;     870;   0.603;     9;     1
 19681209;     814;   0.565;     9;     1
 19681210;     796;   0.552;     9;     1
 19681211;     796;   0.552;     9;     1
 19681212;     796;   0.552;     9;     1
 19681213;     783;   0.543;     9;     1
 19681214;     796;   0.552;     9;     1
 19681215;     796;   0.552;     9;     1
 19681216;     846;   0.587;     9;     1
 19681217;    1070;   0.742;     9;     1
 19681218;    1070;   0.742;     9;     1
 19681219;    1530;   1.061;     9;     1
 19681220;    1300;   0.902;     9;     1
 19681221;    2990;   2.074;     9;     1
 19681222;    3790;   2.628;     9;     1
 19681223;    3900;   2.705;     9;     1
 19681224;    2570;   1.782;     9;     1
 19681225;    2060;   1.429;     9;     1
 19681226;    1860;   1.290;     9;     1
 19681227;    1700;   1.179;     9;     1
 19681228;    1660;   1.151;     9;     1
 19681229;    1450;   1.006;     9;     1
 19681230;    1330;   0.922;     9;     1
 19681231;    1180;   0.818;     9;     1
 19690101;    1110;   0.770;     9;     1
 19690102;    1230;   0.853;     9;     1
 19690103;    2000;   1.387;     9;     1
 19690104;    2400;   1.664;     9;     1
 19690105;    1790;   1.241;     9;     1
 19690106;    1680;   1.165;     9;     1
 19690107;    1580;   1.096;     9;     1
 19690108;    1550;   1.075;     9;     1
 19690109;    1500;   1.040;     9;     1
 19690110;    1410;   0.978;     9;     1
 19690111;    1410;   0.978;     9;     1
 19690112;    1490;   1.033;     9;     1
 19690113;    2630;   1.824;     9;     1
 19690114;    2370;   1.644;     9;     1
 19690115;    2300;   1.595;     9;     1
 19690116;    3840;   2.663;     9;     1
 19690117;    3020;   2.094;     9;     1
 19690118;    5280;   3.662;     9;     1
 19690119;    3530;   2.448;     9;     1
 19690120;    2650;   1.838;     9;     1
 19690121;    2330;   1.616;     9;     1
 19690122;    2050;   1.422;     9;     1
 19690123;    1880;   1.304;     9;     1
