## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:33:05
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Nord-Pas-de-Calais
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : E4306010
## Nom station                      : La Hem à Tournehem-sur-la-Hem [Guémy]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      631513 ;    7078664 ;      631458 ;    7078652 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      578314 ;    2645253 ;      578313 ;    2645249 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     2.03036 ;   50.80066 ;     2.02958 ;   50.80055 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      105.00 ;     106.31 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :          32 ;         32 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     5.4 [%]
## Débits disponibles               :  1966-01-01 ; 2021-02-28 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19660101;    7500;   6.095;     9;     1
 19660102;    6500;   5.283;     9;     1
 19660103;    3350;   2.723;     9;     1
 19660104;    3140;   2.552;     9;     1
 19660105;    2930;   2.381;     9;     1
 19660106;    2830;   2.300;     9;     1
 19660107;    2730;   2.219;     9;     1
 19660108;    2730;   2.219;     9;     1
 19660109;    2630;   2.137;     9;     1
 19660110;    2530;   2.056;     9;     1
 19660111;    2340;   1.902;     9;     1
 19660112;    2250;   1.829;     9;     1
 19660113;    2250;   1.829;     9;     1
 19660114;    2150;   1.747;     9;     1
 19660115;    2150;   1.747;     9;     1
 19660116;    2150;   1.747;     9;     1
 19660117;    2060;   1.674;     9;     1
 19660118;    2060;   1.674;     9;     1
 19660119;    1790;   1.455;     9;     1
 19660120;    1970;   1.601;     9;     1
 19660121;    2150;   1.747;     9;     1
 19660122;    2250;   1.829;     9;     1
 19660123;    2340;   1.902;     9;     1
 19660124;    2150;   1.747;     9;     1
 19660125;    2250;   1.829;     9;     1
 19660126;    2250;   1.829;     9;     1
 19660127;    2250;   1.829;     9;     1
 19660128;    2150;   1.747;     9;     1
 19660129;    2060;   1.674;     9;     1
 19660130;    2340;   1.902;     9;     1
 19660131;    4360;   3.543;     9;     1
 19660201;    2630;   2.137;     9;     1
 19660202;    2250;   1.829;     9;     1
 19660203;    2060;   1.674;     9;     1
 19660204;    2060;   1.674;     9;     1
 19660205;    2830;   2.300;     9;     1
 19660206;    2730;   2.219;     9;     1
 19660207;    2530;   2.056;     9;     1
 19660208;    2630;   2.137;     9;     1
 19660209;    3140;   2.552;     9;     1
 19660210;    8300;   6.746;     9;     1
 19660211;    3460;   2.812;     9;     1
 19660212;    2930;   2.381;     9;     1
 19660213;    2830;   2.300;     9;     1
 19660214;    2730;   2.219;     9;     1
 19660215;    2630;   2.137;     9;     1
 19660216;    2630;   2.137;     9;     1
 19660217;    2530;   2.056;     9;     1
 19660218;    2440;   1.983;     9;     1
 19660219;    2630;   2.137;     9;     1
 19660220;    2630;   2.137;     9;     1
 19660221;    3240;   2.633;     9;     1
 19660222;    2830;   2.300;     9;     1
 19660223;    2440;   1.983;     9;     1
 19660224;    2530;   2.056;     9;     1
 19660225;    3240;   2.633;     9;     1
 19660226;    3460;   2.812;     9;     1
 19660227;    2930;   2.381;     9;     1
 19660228;    2630;   2.137;     9;     1
 19660301;    2630;   2.137;     9;     1
 19660302;    2650;   2.154;     9;     1
 19660303;    2530;   2.056;     9;     1
 19660304;    2530;   2.056;     9;     1
 19660305;    2440;   1.983;     9;     1
 19660306;    2440;   1.983;     9;     1
 19660307;    2340;   1.902;     9;     1
 19660308;    2250;   1.829;     9;     1
 19660309;    2250;   1.829;     9;     1
 19660310;    2250;   1.829;     9;     1
 19660311;    2340;   1.902;     9;     1
 19660312;    2250;   1.829;     9;     1
 19660313;    2150;   1.747;     9;     1
 19660314;    2060;   1.674;     9;     1
 19660315;    1880;   1.528;     9;     1
 19660316;    1880;   1.528;     9;     1
 19660317;    1790;   1.455;     9;     1
 19660318;    1790;   1.455;     9;     1
 19660319;    1790;   1.455;     9;     1
 19660320;    1790;   1.455;     9;     1
 19660321;    1540;   1.252;     9;     1
 19660322;    1540;   1.252;     9;     1
 19660323;    1460;   1.187;     9;     1
 19660324;    1540;   1.252;     9;     1
 19660325;    1460;   1.187;     9;     1
