## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:33:23
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Haute-Normandie
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : G2011010
## Nom station                      : La Béthune à Saint-Aubin-le-Cauf
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      569500 ;    6975421 ;      569525 ;    6975418 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      517131 ;    2541443 ;      517213 ;    2541449 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     1.18618 ;   49.86406 ;     1.18654 ;   49.86405 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      307.00 ;     307.12 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :          14 ;         13 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :    14.1 [%]
## Débits disponibles               :  1966-01-01 ; 2021-02-28 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19660101;   14200;   3.995;     9;     1
 19660102;   17200;   4.839;     9;     1
 19660103;   15700;   4.417;     9;     1
 19660104;   13600;   3.826;     9;     1
 19660105;   10000;   2.813;     9;     1
 19660106;    9150;   2.574;     9;     1
 19660107;    9150;   2.574;     9;     1
 19660108;    8550;   2.405;     9;     1
 19660109;    8550;   2.405;     9;     1
 19660110;    7950;   2.237;     9;     1
 19660111;    7650;   2.152;     9;     1
 19660112;    7650;   2.152;     9;     1
 19660113;    7350;   2.068;     9;     1
 19660114;    7050;   1.983;     9;     1
 19660115;    6750;   1.899;     9;     1
 19660116;    6750;   1.899;     9;     1
 19660117;    6450;   1.815;     9;     1
 19660118;    6150;   1.730;     9;     1
 19660119;    5850;   1.646;     9;     1
 19660120;    4650;   1.308;     9;     1
 19660121;    9150;   2.574;     9;     1
 19660122;    7950;   2.237;     9;     1
 19660123;   12100;   3.404;     9;     1
 19660124;    7650;   2.152;     9;     1
 19660125;    6150;   1.730;     9;     1
 19660126;    8250;   2.321;     9;     1
 19660127;    7950;   2.237;     9;     1
 19660128;    7050;   1.983;     9;     1
 19660129;    6750;   1.899;     9;     1
 19660130;    6150;   1.730;     9;     1
 19660131;    5850;   1.646;     9;     1
 19660201;    5850;   1.646;     9;     1
 19660202;    5550;   1.561;     9;     1
 19660203;    5250;   1.477;     9;     1
 19660204;    4950;   1.393;     9;     1
 19660205;    5250;   1.477;     9;     1
 19660206;    4950;   1.393;     9;     1
 19660207;    6150;   1.730;     9;     1
 19660208;    5850;   1.646;     9;     1
 19660209;    9450;   2.659;     9;     1
 19660210;    7650;   2.152;     9;     1
 19660211;    7650;   2.152;     9;     1
 19660212;    6150;   1.730;     9;     1
 19660213;    5850;   1.646;     9;     1
 19660214;    5250;   1.477;     9;     1
 19660215;    4650;   1.308;     9;     1
 19660216;    4650;   1.308;     9;     1
 19660217;    4650;   1.308;     9;     1
 19660218;   10300;   2.898;     9;     1
 19660219;    3150;   0.886;     9;     1
 19660220;    4650;   1.308;     9;     1
 19660221;    6750;   1.899;     9;     1
 19660222;    7050;   1.983;     9;     1
 19660223;    5850;   1.646;     9;     1
 19660224;    5250;   1.477;     9;     1
 19660225;   13600;   3.826;     9;     1
 19660226;   10600;   2.982;     9;     1
 19660227;    6750;   1.899;     9;     1
 19660228;    5850;   1.646;     9;     1
 19660301;    5250;   1.477;     9;     1
 19660302;    4650;   1.308;     9;     1
 19660303;    4950;   1.393;     9;     1
 19660304;    4950;   1.393;     9;     1
 19660305;    4350;   1.224;     9;     1
 19660306;    4350;   1.224;     9;     1
 19660307;    4350;   1.224;     9;     1
 19660308;    4050;   1.139;     9;     0
 19660309;    4050;   1.139;     9;     0
 19660310;    4050;   1.139;     9;     0
 19660311;    4050;   1.139;     9;     0
 19660312;    4050;   1.139;     9;     0
 19660313;    4050;   1.139;     9;     0
 19660314;    3750;   1.055;     9;     1
 19660315;    3450;   0.971;     9;     1
 19660316;    3450;   0.971;     9;     1
 19660317;    3450;   0.971;     9;     1
 19660318;    3450;   0.971;     9;     1
 19660319;    3150;   0.886;     9;     0
 19660320;    3150;   0.886;     9;     0
 19660321;    3150;   0.886;     9;     0
 19660322;    3150;   0.886;     9;     0
 19660323;    3150;   0.886;     9;     0
 19660324;    3150;   0.886;     9;     0
