## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:33:29
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Bourgogne
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : H0100010
## Nom station                      : La Seine à Nod-sur-Seine
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      817675 ;    6741630 ;      817603 ;    6741669 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      767439 ;    2309604 ;      767413 ;    2309649 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     4.57096 ;   47.76453 ;     4.57001 ;   47.76489 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      371.00 ;     373.22 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         248 ;        249 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       0 [%]
## Débits disponibles               :  1968-05-01 ; 2021-02-01 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19680501;    3140;   0.727;     9;     1
 19680502;    3610;   0.836;     9;     1
 19680503;    4470;   1.035;     9;     1
 19680504;    4440;   1.028;     9;     1
 19680505;    5110;   1.183;     9;     1
 19680506;    9880;   2.287;     9;     1
 19680507;   17300;   4.005;     9;     1
 19680508;   20500;   4.746;     9;     1
 19680509;   18800;   4.352;     9;     1
 19680510;   15600;   3.611;     9;     1
 19680511;   12700;   2.940;     9;     1
 19680512;   11100;   2.570;     9;     1
 19680513;    9520;   2.204;     9;     1
 19680514;    7930;   1.836;     9;     1
 19680515;    6790;   1.572;     9;     1
 19680516;    6160;   1.426;     9;     1
 19680517;    5690;   1.317;     9;     1
 19680518;    5320;   1.232;     9;     1
 19680519;    4980;   1.153;     9;     1
 19680520;    4640;   1.074;     9;     1
 19680521;    4540;   1.051;     9;     1
 19680522;    5180;   1.199;     9;     1
 19680523;    4870;   1.127;     9;     1
 19680524;    4010;   0.928;     9;     1
 19680525;    4190;   0.970;     9;     1
 19680526;    6580;   1.523;     9;     1
 19680527;    6230;   1.442;     9;     1
 19680528;    6050;   1.401;     9;     1
 19680529;    5870;   1.359;     9;     1
 19680530;    5700;   1.320;     9;     1
 19680531;    5480;   1.269;     9;     1
 19680601;    5100;   1.181;     9;     1
 19680602;    4710;   1.090;     9;     1
 19680603;    4570;   1.058;     9;     1
 19680604;    4430;   1.026;     9;     1
 19680605;    4200;   0.972;     9;     1
 19680606;    3970;   0.919;     9;     1
 19680607;    3770;   0.873;     9;     1
 19680608;    3590;   0.831;     9;     1
 19680609;    3450;   0.799;     9;     1
 19680610;    3340;   0.773;     9;     1
 19680611;    3200;   0.741;     9;     1
 19680612;    3030;   0.701;     9;     1
 19680613;    2880;   0.667;     9;     1
 19680614;    2790;   0.646;     9;     1
 19680615;    2750;   0.637;     9;     1
 19680616;    3510;   0.813;     9;     1
 19680617;    3660;   0.847;     9;     1
 19680618;    3060;   0.708;     9;     1
 19680619;    2900;   0.671;     9;     1
 19680620;    2960;   0.685;     9;     1
 19680621;    2800;   0.648;     9;     1
 19680622;    2550;   0.590;     9;     1
 19680623;    2640;   0.611;     9;     1
 19680624;    2920;   0.676;     9;     1
 19680625;    2570;   0.595;     9;     0
 19680626;    2460;   0.569;     9;     0
 19680627;    2350;   0.544;     9;     0
 19680628;    2240;   0.519;     9;     0
 19680629;    2130;   0.493;     9;     0
 19680630;    1840;   0.426;     9;     1
 19680701;    1730;   0.400;     9;     1
 19680702;    1420;   0.329;     9;     1
 19680703;    1330;   0.308;     9;     1
 19680704;    1320;   0.306;     9;     1
 19680705;    1360;   0.315;     9;     1
 19680706;    1400;   0.324;     9;     1
 19680707;    1410;   0.326;     9;     1
 19680708;    1410;   0.326;     9;     1
 19680709;    1400;   0.324;     9;     1
 19680710;    1380;   0.319;     9;     1
 19680711;    1370;   0.317;     9;     1
 19680712;    1360;   0.315;     9;     1
 19680713;    1340;   0.310;     9;     1
 19680714;    1330;   0.308;     9;     1
 19680715;    1320;   0.306;     9;     1
 19680716;    1300;   0.301;     9;     1
 19680717;    1280;   0.296;     9;     1
 19680718;    1260;   0.292;     9;     1
 19680719;    1230;   0.285;     9;     1
 19680720;    1180;   0.273;     9;     1
 19680721;    1100;   0.255;     9;     1
 19680722;     991;   0.229;     9;     1
