## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:33:30
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Bourgogne
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : H0100020
## Nom station                      : La Seine à Plaines-Saint-Lange
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      810488 ;    6767200 ;      810425 ;    6767213 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      760029 ;    2335130 ;      760013 ;    2335149 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     4.48145 ;   47.99586 ;     4.48061 ;   47.99598 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :         704 ;        686 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         179 ;        180 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     0.1 [%]
## Débits disponibles               :  1967-08-18 ; 2021-01-12 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19670818;    2870;   0.361;     9;     1
 19670819;    3150;   0.397;     9;     1
 19670820;    3100;   0.390;     9;     1
 19670821;    3160;   0.398;     9;     1
 19670822;    3250;   0.409;     9;     1
 19670823;    3090;   0.389;     9;     1
 19670824;    2980;   0.375;     9;     1
 19670825;    3070;   0.387;     9;     1
 19670826;    3090;   0.389;     9;     1
 19670827;    3090;   0.389;     9;     1
 19670828;    2890;   0.364;     9;     1
 19670829;    2850;   0.359;     9;     1
 19670830;    2810;   0.354;     9;     1
 19670831;    2700;   0.340;     9;     1
 19670901;    2760;   0.348;     9;     1
 19670902;    2580;   0.325;     9;     1
 19670903;    2570;   0.324;     9;     1
 19670904;    2460;   0.310;     9;     1
 19670905;    2370;   0.298;     9;     1
 19670906;    2290;   0.288;     9;     1
 19670907;    2370;   0.298;     9;     1
 19670908;    2420;   0.305;     9;     1
 19670909;    2360;   0.297;     9;     1
 19670910;    2380;   0.300;     9;     1
 19670911;    2350;   0.296;     9;     1
 19670912;    2190;   0.276;     9;     1
 19670913;    2280;   0.287;     9;     1
 19670914;    2220;   0.280;     9;     1
 19670915;    2740;   0.345;     9;     1
 19670916;    3000;   0.378;     9;     1
 19670917;    5240;   0.660;     9;     1
 19670918;    5990;   0.754;     9;     1
 19670919;    6310;   0.795;     9;     1
 19670920;    6370;   0.802;     9;     1
 19670921;    6270;   0.790;     9;     1
 19670922;    9910;   1.248;     9;     1
 19670923;   16100;   2.028;     9;     1
 19670924;   17200;   2.166;     9;     1
 19670925;   15400;   1.940;     9;     1
 19670926;   13100;   1.650;     9;     1
 19670927;   11900;   1.499;     9;     1
 19670928;   10200;   1.285;     9;     1
 19670929;    9390;   1.183;     9;     1
 19670930;    8370;   1.054;     9;     1
 19671001;    7670;   0.966;     9;     1
 19671002;    6870;   0.865;     9;     1
 19671003;    6390;   0.805;     9;     1
 19671004;    6110;   0.770;     9;     1
 19671005;    5630;   0.709;     9;     1
 19671006;    5150;   0.649;     9;     1
 19671007;    4980;   0.627;     9;     1
 19671008;    4900;   0.617;     9;     1
 19671009;    4780;   0.602;     9;     1
 19671010;    3330;   0.419;     9;     1
 19671011;    2350;   0.296;     9;     1
 19671012;    2290;   0.288;     9;     1
 19671013;    2290;   0.288;     9;     1
 19671014;    2130;   0.268;     9;     1
 19671015;    2360;   0.297;     9;     1
 19671016;    3050;   0.384;     9;     1
 19671017;    3480;   0.438;     9;     1
 19671018;    3820;   0.481;     9;     1
 19671019;    4090;   0.515;     9;     1
 19671020;    4320;   0.544;     9;     1
 19671021;    4430;   0.558;     9;     1
 19671022;    4640;   0.584;     9;     1
 19671023;    4360;   0.549;     9;     1
 19671024;    4050;   0.510;     9;     1
 19671025;    3990;   0.503;     9;     1
 19671026;    3970;   0.500;     9;     1
 19671027;    4050;   0.510;     9;     1
 19671028;    4050;   0.510;     9;     1
 19671029;    4180;   0.526;     9;     1
 19671030;    4950;   0.623;     9;     1
 19671031;    6530;   0.822;     9;     1
 19671101;   10600;   1.335;     9;     1
 19671102;   14300;   1.801;     9;     1
 19671103;   16900;   2.129;     9;     1
 19671104;   18900;   2.380;     9;     1
 19671105;   20400;   2.569;     9;     1
 19671106;   20600;   2.595;     9;     1
 19671107;   20400;   2.569;     9;     1
 19671108;   20300;   2.557;     9;     1
 19671109;   19400;   2.443;     9;     1
 19671110;   18000;   2.267;     9;     1
 19671111;   16600;   2.091;     9;     1
 19671112;   15200;   1.914;     9;     1
 19671113;   13700;   1.725;     9;     1
