## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:33:34
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Bourgogne
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : H0321030
## Nom station                      : L'Ource à Autricourt
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      820491 ;    6767710 ;      820422 ;    6767628 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      770035 ;    2335726 ;      770013 ;    2335649 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     4.61568 ;   47.99869 ;     4.61473 ;   47.99795 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      548.00 ;     548.93 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         198 ;        196 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       0 [%]
## Débits disponibles               :  1967-08-18 ; 2021-01-12 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19670818;     541;   0.085;     9;     1
 19670819;     530;   0.083;     9;     1
 19670820;     520;   0.082;     9;     1
 19670821;     538;   0.085;     9;     1
 19670822;     551;   0.087;     9;     0
 19670823;     551;   0.087;     9;     0
 19670824;     551;   0.087;     9;     0
 19670825;     551;   0.087;     9;     0
 19670826;     551;   0.087;     9;     0
 19670827;     551;   0.087;     9;     0
 19670828;     571;   0.090;     9;     1
 19670829;     558;   0.088;     9;     1
 19670830;     551;   0.087;     9;     1
 19670831;     548;   0.086;     9;     1
 19670901;     538;   0.085;     9;     1
 19670902;     529;   0.083;     9;     1
 19670903;     519;   0.082;     9;     1
 19670904;     513;   0.081;     9;     1
 19670905;     512;   0.081;     9;     0
 19670906;     512;   0.081;     9;     0
 19670907;     512;   0.081;     9;     0
 19670908;     512;   0.081;     9;     0
 19670909;     512;   0.081;     9;     0
 19670910;     512;   0.081;     9;     0
 19670911;     538;   0.085;     9;     1
 19670912;     551;   0.087;     9;     1
 19670913;     551;   0.087;     9;     1
 19670914;     551;   0.087;     9;     1
 19670915;     501;   0.079;     5;     1
 19670916;     454;   0.071;     5;     1
 19670917;     424;   0.067;     5;     1
 19670918;     436;   0.069;     5;     1
 19670919;     475;   0.075;     5;     1
 19670920;     574;   0.090;     5;     1
 19670921;    1010;   0.159;     9;     1
 19670922;    5820;   0.916;     9;     1
 19670923;    8050;   1.267;     9;     1
 19670924;    6360;   1.001;     9;     1
 19670925;    4150;   0.653;     9;     1
 19670926;    2310;   0.364;     9;     1
 19670927;    1920;   0.302;     9;     1
 19670928;    1460;   0.230;     9;     1
 19670929;    1270;   0.200;     9;     1
 19670930;    1000;   0.157;     9;     1
 19671001;     842;   0.133;     9;     1
 19671002;     711;   0.112;     9;     1
 19671003;     702;   0.110;     9;     1
 19671004;     710;   0.112;     9;     1
 19671005;     779;   0.123;     9;     1
 19671006;     769;   0.121;     9;     1
 19671007;     747;   0.118;     9;     1
 19671008;     725;   0.114;     9;     1
 19671009;     709;   0.112;     9;     1
 19671010;     708;   0.111;     9;     0
 19671011;     708;   0.111;     9;     0
 19671012;     708;   0.111;     9;     0
 19671013;     708;   0.111;     9;     0
 19671014;     708;   0.111;     9;     0
 19671015;     991;   0.156;     9;     1
 19671016;    1490;   0.235;     9;     1
 19671017;    1870;   0.294;     9;     1
 19671018;    1990;   0.313;     9;     1
 19671019;    2030;   0.320;     9;     1
 19671020;    1790;   0.282;     9;     1
 19671021;    1690;   0.266;     9;     1
 19671022;    1340;   0.211;     9;     1
 19671023;    1090;   0.172;     9;     1
 19671024;    1180;   0.186;     9;     1
 19671025;     974;   0.153;     9;     1
 19671026;     976;   0.154;     9;     1
 19671027;     951;   0.150;     9;     1
 19671028;     926;   0.146;     9;     1
 19671029;     901;   0.142;     9;     1
 19671030;    1060;   0.167;     9;     1
 19671031;    1240;   0.195;     9;     1
 19671101;    1870;   0.294;     9;     1
 19671102;    5230;   0.823;     9;     1
 19671103;    7390;   1.163;     9;     1
 19671104;    7480;   1.177;     9;     1
 19671105;    8060;   1.269;     9;     1
 19671106;    8420;   1.325;     9;     1
 19671107;    8690;   1.368;     9;     1
 19671108;    8400;   1.322;     9;     1
 19671109;    8070;   1.270;     9;     1
 19671110;    7550;   1.188;     9;     1
