## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:34:10
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Bourgogne
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : H2062010
## Nom station                      : Le Beuvron à Ouagne [Champmoreau]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      737272 ;    6701663 ;      737220 ;    6701681 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      687315 ;    2268925 ;      687313 ;    2268949 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     3.49430 ;   47.41426 ;     3.49362 ;   47.41443 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      263.00 ;     264.12 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         161 ;        161 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       0 [%]
## Débits disponibles               :  1967-10-20 ; 2020-12-01 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19671020;     363;   0.119;     9;     1
 19671021;     363;   0.119;     9;     1
 19671022;     363;   0.119;     9;     1
 19671023;     363;   0.119;     9;     1
 19671024;     361;   0.118;     9;     1
 19671025;     341;   0.112;     9;     1
 19671026;     320;   0.105;     9;     1
 19671027;     304;   0.099;     9;     1
 19671028;     303;   0.099;     9;     1
 19671029;     378;   0.124;     9;     1
 19671030;     474;   0.155;     9;     1
 19671031;     534;   0.175;     9;     1
 19671101;     795;   0.260;     9;     1
 19671102;    1240;   0.406;     9;     1
 19671103;    1500;   0.491;     9;     1
 19671104;    1320;   0.432;     9;     1
 19671105;    1500;   0.491;     9;     1
 19671106;    2380;   0.779;     9;     1
 19671107;    2260;   0.739;     9;     1
 19671108;    1900;   0.622;     9;     1
 19671109;    1590;   0.520;     9;     1
 19671110;    1350;   0.442;     9;     1
 19671111;    1230;   0.402;     9;     1
 19671112;    1140;   0.373;     9;     1
 19671113;    1010;   0.330;     9;     1
 19671114;     939;   0.307;     9;     1
 19671115;    1690;   0.553;     9;     1
 19671116;    3120;   1.021;     9;     1
 19671117;    2510;   0.821;     9;     1
 19671118;    2120;   0.694;     9;     1
 19671119;    1870;   0.612;     9;     1
 19671120;    1680;   0.550;     9;     1
 19671121;    1520;   0.497;     9;     1
 19671122;    1350;   0.442;     9;     1
 19671123;    1250;   0.409;     9;     1
 19671124;    1160;   0.379;     9;     1
 19671125;    1110;   0.363;     9;     1
 19671126;    1070;   0.350;     9;     1
 19671127;    1350;   0.442;     9;     1
 19671128;    1540;   0.504;     9;     1
 19671129;    1440;   0.471;     9;     1
 19671130;    1430;   0.468;     9;     1
 19671201;    1370;   0.448;     9;     1
 19671202;    1260;   0.412;     9;     1
 19671203;    1210;   0.396;     9;     1
 19671204;    1140;   0.373;     9;     1
 19671205;    1100;   0.360;     9;     1
 19671206;    1060;   0.347;     9;     1
 19671207;    1280;   0.419;     9;     1
 19671208;    1400;   0.458;     9;     1
 19671209;    1320;   0.432;     9;     1
 19671210;    1230;   0.402;     9;     1
 19671211;    1080;   0.353;     9;     1
 19671212;     978;   0.320;     9;     1
 19671213;     916;   0.300;     9;     1
 19671214;     918;   0.300;     9;     1
 19671215;    1010;   0.330;     9;     1
 19671216;    1070;   0.350;     9;     1
 19671217;    1120;   0.366;     9;     1
 19671218;    1140;   0.373;     9;     1
 19671219;    1250;   0.409;     9;     1
 19671220;    3300;   1.080;     9;     1
 19671221;    2640;   0.864;     9;     1
 19671222;    2240;   0.733;     9;     1
 19671223;    3110;   1.017;     9;     1
 19671224;    9360;   3.062;     9;     1
 19671225;   11600;   3.795;     9;     1
 19671226;   15700;   5.136;     9;     1
 19671227;    9630;   3.150;     9;     1
 19671228;    6170;   2.018;     9;     1
 19671229;    8240;   2.696;     9;     1
 19671230;    7170;   2.345;     9;     1
 19671231;    5460;   1.786;     9;     1
 19680101;    5850;   1.914;     9;     1
 19680102;    8710;   2.849;     9;     1
 19680103;   10800;   3.533;     9;     1
 19680104;   10900;   3.566;     9;     1
 19680105;    9930;   3.248;     9;     1
 19680106;   14700;   4.809;     9;     1
 19680107;   26200;   8.571;     5;     1
 19680108;   19000;   6.215;     9;     1
 19680109;   14100;   4.612;     9;     1
 19680110;   22000;   7.197;     9;     1
 19680111;   13000;   4.253;     9;     1
