## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:34:13
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Bourgogne
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : H2073110
## Nom station                      : Le Sauzay à Corvol-l'Orgueilleux
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      730776 ;    6703463 ;      730740 ;    6703435 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      680799 ;    2270671 ;      680813 ;    2270649 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     3.40828 ;   47.43080 ;     3.40780 ;   47.43055 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :       80.40 ;      87.12 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         172 ;        170 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       0 [%]
## Débits disponibles               :  1967-01-31 ; 2020-12-01 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19670131;    1080;   1.071;     9;     1
 19670201;    1040;   1.031;     9;     1
 19670202;    1010;   1.002;     9;     1
 19670203;     953;   0.945;     9;     1
 19670204;     915;   0.907;     9;     1
 19670205;     884;   0.877;     9;     1
 19670206;     888;   0.881;     9;     1
 19670207;     845;   0.838;     9;     1
 19670208;     819;   0.812;     9;     1
 19670209;     792;   0.785;     9;     1
 19670210;     778;   0.772;     9;     1
 19670211;     778;   0.772;     9;     1
 19670212;     778;   0.772;     9;     1
 19670213;     818;   0.811;     9;     1
 19670214;     837;   0.830;     9;     1
 19670215;     807;   0.800;     9;     1
 19670216;     816;   0.809;     9;     1
 19670217;     904;   0.897;     9;     1
 19670218;     875;   0.868;     9;     1
 19670219;    1030;   1.021;     9;     1
 19670220;    1820;   1.805;     9;     1
 19670221;    2130;   2.112;     9;     1
 19670222;    2070;   2.053;     9;     1
 19670223;    2000;   1.983;     9;     1
 19670224;    1880;   1.864;     9;     1
 19670225;    1820;   1.805;     9;     1
 19670226;    1800;   1.785;     9;     1
 19670227;    1990;   1.974;     9;     1
 19670228;    2040;   2.023;     9;     1
 19670301;    2310;   2.291;     9;     1
 19670302;    2620;   2.598;     9;     1
 19670303;    2570;   2.549;     9;     1
 19670304;    2440;   2.420;     9;     1
 19670305;    2320;   2.301;     9;     1
 19670306;    2190;   2.172;     9;     1
 19670307;    1980;   1.964;     9;     1
 19670308;    1820;   1.805;     9;     1
 19670309;    1840;   1.825;     9;     1
 19670310;    1700;   1.686;     9;     1
 19670311;    1930;   1.914;     9;     1
 19670312;    1950;   1.934;     9;     1
 19670313;    1850;   1.835;     9;     1
 19670314;    1680;   1.666;     9;     1
 19670315;    1660;   1.646;     9;     1
 19670316;    1600;   1.587;     9;     1
 19670317;    1560;   1.547;     9;     1
 19670318;    1550;   1.537;     9;     1
 19670319;    1450;   1.438;     9;     1
 19670320;    1410;   1.398;     9;     1
 19670321;    1390;   1.379;     9;     1
 19670322;    1320;   1.309;     9;     1
 19670323;    1250;   1.240;     9;     1
 19670324;    1180;   1.170;     9;     1
 19670325;    1150;   1.140;     9;     1
 19670326;    1150;   1.140;     9;     1
 19670327;    1130;   1.121;     9;     1
 19670328;    1250;   1.240;     9;     1
 19670329;    1210;   1.200;     9;     1
 19670330;    1170;   1.160;     9;     1
 19670331;    1130;   1.121;     9;     1
 19670401;    1100;   1.091;     9;     1
 19670402;    1070;   1.061;     9;     1
 19670403;    1050;   1.041;     9;     1
 19670404;    1040;   1.031;     9;     1
 19670405;    1040;   1.031;     9;     1
 19670406;    1040;   1.031;     9;     1
 19670407;    1010;   1.002;     9;     1
 19670408;     940;   0.932;     9;     1
 19670409;     940;   0.932;     9;     1
 19670410;     939;   0.931;     9;     1
 19670411;     921;   0.913;     9;     1
 19670412;     899;   0.892;     9;     1
 19670413;     877;   0.870;     9;     1
 19670414;     853;   0.846;     9;     1
 19670415;     824;   0.817;     9;     1
 19670416;     796;   0.789;     9;     1
 19670417;     837;   0.830;     9;     1
 19670418;     830;   0.823;     9;     1
 19670419;     781;   0.775;     9;     1
 19670420;     778;   0.772;     9;     1
 19670421;     794;   0.787;     9;     1
 19670422;     816;   0.809;     9;     1
 19670423;     838;   0.831;     9;     1
 19670424;     855;   0.848;     9;     1
 19670425;     811;   0.804;     9;     1
