## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:34:15
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Bourgogne
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : H2122010
## Nom station                      : La Cure à Marigny-l'Église [Iles Ménéfriers]
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      773501 ;    6693241 ;      773324 ;    6693381 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      723644 ;    2260804 ;      723513 ;    2260949 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     3.97336 ;   47.33542 ;     3.97103 ;   47.33670 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      216.00 ;     213.39 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         330 ;        338 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     0.2 [%]
## Débits disponibles               :  1961-09-12 ; 1997-06-04 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/3/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19610912;    1130;   0.458;     9;     1
 19610913;    1070;   0.433;     9;     1
 19610914;    1180;   0.478;     9;     1
 19610915;    1170;   0.474;     9;     1
 19610916;    1140;   0.462;     9;     1
 19610917;    1110;   0.449;     9;     1
 19610918;    1060;   0.429;     9;     1
 19610919;    1010;   0.409;     9;     1
 19610920;    1100;   0.445;     9;     1
 19610921;    1470;   0.595;     9;     1
 19610922;    1460;   0.591;     9;     1
 19610923;    1470;   0.595;     9;     1
 19610924;    1460;   0.591;     9;     1
 19610925;    1430;   0.579;     9;     1
 19610926;    1470;   0.595;     9;     1
 19610927;    1440;   0.583;     9;     1
 19610928;    1470;   0.595;     9;     1
 19610929;    1430;   0.579;     9;     1
 19610930;    1490;   0.603;     9;     1
 19611001;    1530;   0.619;     9;     1
 19611002;    1490;   0.603;     9;     1
 19611003;    1410;   0.571;     9;     1
 19611004;    1450;   0.587;     9;     1
 19611005;    1500;   0.607;     9;     1
 19611006;    1480;   0.599;     9;     1
 19611007;    1480;   0.599;     9;     1
 19611008;    1500;   0.607;     9;     1
 19611009;    1480;   0.599;     9;     1
 19611010;    1490;   0.603;     9;     1
 19611011;    1510;   0.611;     9;     1
 19611012;    1470;   0.595;     9;     1
 19611013;    1760;   0.713;     9;     1
 19611014;    1880;   0.761;     9;     1
 19611015;    2470;   1.000;     9;     1
 19611016;    1840;   0.745;     9;     1
 19611017;    1940;   0.785;     9;     1
 19611018;    4620;   1.871;     9;     1
 19611019;    6600;   2.672;     9;     1
 19611020;    5270;   2.134;     9;     1
 19611021;    2630;   1.065;     9;     1
 19611022;    2320;   0.939;     9;     1
 19611023;    2360;   0.956;     9;     1
 19611024;    2780;   1.126;     9;     1
 19611025;    3330;   1.348;     9;     1
 19611026;    5480;   2.219;     9;     1
 19611027;    8210;   3.324;     9;     1
 19611028;    4720;   1.911;     9;     1
 19611029;    4090;   1.656;     9;     1
 19611030;    3550;   1.437;     9;     1
 19611031;    2610;   1.057;     9;     1
 19611101;    2380;   0.964;     9;     1
 19611102;    2280;   0.923;     9;     1
 19611103;    2650;   1.073;     9;     1
 19611104;    2800;   1.134;     9;     1
 19611105;    2900;   1.174;     9;     1
 19611106;    2790;   1.130;     9;     1
 19611107;    2800;   1.134;     9;     1
 19611108;    2850;   1.154;     9;     1
 19611109;    6380;   2.583;     9;     1
 19611110;    7000;   2.834;     9;     1
 19611111;    5990;   2.425;     9;     1
 19611112;    7440;   3.012;     9;     1
 19611113;    6250;   2.531;     9;     1
 19611114;    6490;   2.628;     9;     1
 19611115;    4790;   1.939;     9;     1
 19611116;    4200;   1.701;     9;     1
 19611117;    3920;   1.587;     9;     1
 19611118;    3730;   1.510;     9;     1
 19611119;    3590;   1.454;     9;     1
 19611120;    3370;   1.364;     9;     1
 19611121;    3340;   1.352;     9;     1
 19611122;    3080;   1.247;     9;     1
 19611123;    3040;   1.231;     9;     1
 19611124;    3070;   1.243;     9;     1
 19611125;    2870;   1.162;     9;     1
 19611126;    2940;   1.190;     9;     1
 19611127;    3390;   1.373;     9;     1
 19611128;    3250;   1.316;     9;     1
 19611129;    3080;   1.247;     9;     1
 19611130;    2840;   1.150;     9;     1
 19611201;    6070;   2.458;     9;     1
 19611202;    9610;   3.891;     9;     1
 19611203;    7600;   3.077;     9;     1
