## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:35:41
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DRIEE IDF
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : H4223110
## Nom station                      : La Remarde à Saint-Cyr-sous-Dourdan
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      628720 ;    6830336 ;      628679 ;    6830408 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      577600 ;    2396770 ;      577613 ;    2396849 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     2.03383 ;   48.56932 ;     2.03327 ;   48.56996 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      147.00 ;     152.27 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :          77 ;         80 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       0 [%]
## Débits disponibles               :  1968-02-29 ; 2021-01-03 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19680229;     809;   0.459;     9;     1
 19680301;     766;   0.435;     9;     1
 19680302;     731;   0.415;     9;     1
 19680303;     724;   0.411;     9;     1
 19680304;     688;   0.390;     9;     1
 19680305;     674;   0.382;     9;     1
 19680306;     691;   0.392;     9;     1
 19680307;     796;   0.452;     9;     1
 19680308;     781;   0.443;     9;     1
 19680309;     723;   0.410;     9;     1
 19680310;     669;   0.380;     9;     1
 19680311;     658;   0.373;     9;     1
 19680312;     622;   0.353;     9;     1
 19680313;     623;   0.353;     9;     1
 19680314;     668;   0.379;     9;     1
 19680315;     680;   0.386;     9;     1
 19680316;     690;   0.392;     9;     1
 19680317;     679;   0.385;     9;     1
 19680318;     653;   0.371;     9;     1
 19680319;     639;   0.363;     9;     1
 19680320;     781;   0.443;     9;     1
 19680321;     991;   0.562;     9;     1
 19680322;     942;   0.535;     9;     1
 19680323;     753;   0.427;     9;     1
 19680324;     730;   0.414;     9;     1
 19680325;     921;   0.523;     9;     1
 19680326;     841;   0.477;     9;     1
 19680327;     753;   0.427;     9;     1
 19680328;     693;   0.393;     9;     1
 19680329;     670;   0.380;     9;     1
 19680330;     636;   0.361;     9;     1
 19680331;     605;   0.343;     9;     1
 19680401;     609;   0.346;     9;     1
 19680402;     670;   0.380;     9;     1
 19680403;     771;   0.437;     9;     1
 19680404;     710;   0.403;     9;     1
 19680405;     647;   0.367;     9;     1
 19680406;     598;   0.339;     9;     1
 19680407;     572;   0.325;     9;     1
 19680408;     576;   0.327;     9;     1
 19680409;     521;   0.296;     9;     1
 19680410;     531;   0.301;     9;     1
 19680411;     529;   0.300;     9;     1
 19680412;     545;   0.309;     9;     1
 19680413;     543;   0.308;     9;     1
 19680414;     540;   0.306;     9;     1
 19680415;     535;   0.304;     9;     1
 19680416;     534;   0.303;     9;     1
 19680417;     520;   0.295;     9;     1
 19680418;     642;   0.364;     9;     1
 19680419;     586;   0.333;     9;     1
 19680420;     563;   0.319;     9;     1
 19680421;    1490;   0.845;     5;     1
 19680422;    1100;   0.624;     9;     1
 19680423;     903;   0.512;     9;     1
 19680424;     839;   0.476;     9;     1
 19680425;     737;   0.418;     9;     1
 19680426;     634;   0.360;     9;     1
 19680427;     693;   0.393;     9;     1
 19680428;     976;   0.554;     9;     1
 19680429;     979;   0.555;     9;     1
 19680430;    1090;   0.618;     9;     1
 19680501;    1050;   0.596;     9;     1
 19680502;     962;   0.546;     9;     1
 19680503;    1320;   0.749;     5;     1
 19680504;    1600;   0.908;     5;     1
 19680505;    1180;   0.670;     9;     1
 19680506;     942;   0.535;     9;     1
 19680507;     839;   0.476;     9;     1
 19680508;     969;   0.550;     9;     1
 19680509;     867;   0.492;     9;     1
 19680510;     747;   0.424;     9;     1
 19680511;     715;   0.406;     9;     1
 19680512;     619;   0.351;     9;     1
 19680513;     600;   0.340;     9;     1
 19680514;     538;   0.305;     9;     1
 19680515;     527;   0.299;     9;     1
 19680516;     522;   0.296;     9;     1
 19680517;     471;   0.267;     9;     1
 19680518;     570;   0.323;     9;     1
 19680519;     527;   0.299;     9;     1
 19680520;     535;   0.304;     9;     1
 19680521;     486;   0.276;     9;     1
 19680522;     503;   0.285;     9;     1
 19680523;     480;   0.272;     9;     1
 19680524;     494;   0.280;     9;     1
 19680525;     508;   0.288;     9;     1
