## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:35:46
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DRIEE IDF
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : H4252010
## Nom station                      : L'Orge à Morsang-sur-Orge
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      651538 ;    6841036 ;      651454 ;    6841010 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      600344 ;    2407668 ;      600313 ;    2407649 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     2.34190 ;   48.66767 ;     2.34076 ;   48.66743 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      922.00 ;     934.22 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :          35 ;         38 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       0 [%]
## Débits disponibles               :  1967-09-28 ; 2021-02-03 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19670928;    1910;   0.177;     9;     1
 19670929;    2060;   0.191;     9;     1
 19670930;    2060;   0.191;     9;     1
 19671001;    1840;   0.170;     9;     1
 19671002;    2060;   0.191;     9;     1
 19671003;    2060;   0.191;     9;     1
 19671004;    3720;   0.344;     9;     1
 19671005;    2610;   0.241;     9;     1
 19671006;    3330;   0.308;     9;     1
 19671007;    2870;   0.265;     9;     1
 19671008;    2450;   0.227;     9;     1
 19671009;    2210;   0.204;     9;     1
 19671010;    2290;   0.212;     9;     1
 19671011;    2060;   0.191;     9;     1
 19671012;    2210;   0.204;     9;     1
 19671013;    4140;   0.383;     9;     1
 19671014;    3430;   0.317;     9;     1
 19671015;    3050;   0.282;     9;     1
 19671016;    4680;   0.433;     9;     1
 19671017;    3720;   0.344;     9;     1
 19671018;    2530;   0.234;     9;     1
 19671019;    2450;   0.227;     9;     1
 19671020;    2370;   0.219;     9;     1
 19671021;    2610;   0.241;     9;     1
 19671022;    2790;   0.258;     9;     1
 19671023;    2700;   0.250;     9;     1
 19671024;    2700;   0.250;     9;     1
 19671025;    2700;   0.250;     9;     1
 19671026;    2450;   0.227;     9;     1
 19671027;    2610;   0.241;     9;     1
 19671028;    3430;   0.317;     9;     1
 19671029;    3330;   0.308;     9;     1
 19671030;    2610;   0.241;     9;     1
 19671031;    4350;   0.402;     9;     1
 19671101;    7350;   0.680;     9;     1
 19671102;    7200;   0.666;     9;     1
 19671103;    5500;   0.509;     9;     1
 19671104;    4030;   0.373;     9;     1
 19671105;    4350;   0.402;     9;     1
 19671106;    3620;   0.335;     9;     1
 19671107;    2960;   0.274;     9;     1
 19671108;    2870;   0.265;     9;     1
 19671109;    2790;   0.258;     9;     1
 19671110;    2610;   0.241;     9;     1
 19671111;    2530;   0.234;     9;     1
 19671112;    2450;   0.227;     9;     1
 19671113;    2610;   0.241;     9;     1
 19671114;    3530;   0.326;     9;     1
 19671115;    9150;   0.846;     9;     1
 19671116;    6550;   0.606;     9;     1
 19671117;    4030;   0.373;     9;     1
 19671118;    3430;   0.317;     9;     1
 19671119;    2960;   0.274;     9;     1
 19671120;    2960;   0.274;     9;     1
 19671121;    2700;   0.250;     9;     1
 19671122;    2530;   0.234;     9;     1
 19671123;    2450;   0.227;     9;     1
 19671124;    2450;   0.227;     9;     1
 19671125;    2450;   0.227;     9;     1
 19671126;    2870;   0.265;     9;     1
 19671127;    3050;   0.282;     9;     1
 19671128;    2870;   0.265;     9;     1
 19671129;    2960;   0.274;     9;     1
 19671130;    3050;   0.282;     9;     1
 19671201;    2700;   0.250;     9;     1
 19671202;    2530;   0.234;     9;     1
 19671203;    2530;   0.234;     9;     1
 19671204;    2370;   0.219;     9;     1
 19671205;    2530;   0.234;     9;     1
 19671206;    2870;   0.265;     9;     1
 19671207;    3330;   0.308;     9;     1
 19671208;    2960;   0.274;     9;     1
 19671209;    2610;   0.241;     9;     1
 19671210;    2370;   0.219;     9;     1
 19671211;    2210;   0.204;     9;     1
 19671212;    2370;   0.219;     9;     1
 19671213;    2370;   0.219;     9;     1
 19671214;    2530;   0.234;     9;     1
 19671215;    2610;   0.241;     9;     1
 19671216;    2700;   0.250;     9;     1
 19671217;    2700;   0.250;     9;     1
 19671218;    2700;   0.250;     9;     1
 19671219;    3930;   0.363;     9;     1
