## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:36:23
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Champagne-Ardenne
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : H5172010
## Nom station                      : La Saulx à Vitry-en-Perthois
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      819620 ;    6850799 ;      819632 ;    6850780 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      768455 ;    2418860 ;      768513 ;    2418849 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     4.62696 ;   48.74621 ;     4.62711 ;   48.74604 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :     2100.00 ;    2109.14 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :          94 ;         95 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       2 [%]
## Débits disponibles               :  1957-01-01 ; 2021-02-02 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    3/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19570101;   18000;   0.737;     9;     1
 19570102;   19500;   0.799;     9;     1
 19570103;   20000;   0.819;     9;     1
 19570104;   20000;   0.819;     9;     1
 19570105;   18500;   0.758;     9;     1
 19570106;   20000;   0.819;     9;     1
 19570107;   25000;   1.024;     9;     1
 19570108;   31000;   1.270;     9;     1
 19570109;   34000;   1.393;     9;     1
 19570110;   34000;   1.393;     9;     1
 19570111;   34000;   1.393;     9;     1
 19570112;   34000;   1.393;     9;     1
 19570113;   35000;   1.434;     9;     1
 19570114;   36000;   1.475;     9;     1
 19570115;   37000;   1.516;     9;     1
 19570116;   37000;   1.516;     9;     1
 19570117;   33000;   1.352;     9;     1
 19570118;   28000;   1.147;     9;     1
 19570119;   26000;   1.065;     9;     1
 19570120;   25000;   1.024;     9;     1
 19570121;   22000;   0.901;     9;     1
 19570122;   20000;   0.819;     9;     1
 19570123;   19500;   0.799;     9;     1
 19570124;   18500;   0.758;     9;     1
 19570125;   18000;   0.737;     9;     1
 19570126;   17500;   0.717;     9;     1
 19570127;   18000;   0.737;     9;     1
 19570128;   19000;   0.778;     9;     1
 19570129;   20000;   0.819;     9;     1
 19570130;   20000;   0.819;     9;     1
 19570131;   20000;   0.819;     9;     1
 19570201;   25000;   1.024;     9;     1
 19570202;   29000;   1.188;     9;     1
 19570203;   29000;   1.188;     9;     1
 19570204;   29000;   1.188;     9;     1
 19570205;   27000;   1.106;     9;     1
 19570206;   26000;   1.065;     9;     1
 19570207;   25000;   1.024;     9;     1
 19570208;   25000;   1.024;     9;     1
 19570209;   25000;   1.024;     9;     1
 19570210;   34000;   1.393;     9;     1
 19570211;   47000;   1.925;     9;     1
 19570212;   55000;   2.253;     9;     1
 19570213;   59000;   2.417;     9;     1
 19570214;   67000;   2.745;     9;     1
 19570215;   91000;   3.728;     9;     1
 19570216;  117000;   4.793;     9;     1
 19570217;  133000;   5.448;     9;     1
 19570218;  122000;   4.998;     9;     1
 19570219;  117000;   4.793;     9;     1
 19570220;  109000;   4.465;     9;     1
 19570221;   85000;   3.482;     9;     1
 19570222;   79000;   3.236;     9;     1
 19570223;   70000;   2.868;     9;     1
 19570224;   63000;   2.581;     9;     1
 19570225;   76000;   3.113;     9;     1
 19570226;  133000;   5.448;     9;     1
 19570227;  151000;   6.186;     9;     1
 19570228;  137000;   5.612;     9;     1
 19570301;  122000;   4.998;     9;     1
 19570302;  105000;   4.301;     9;     1
 19570303;   94000;   3.851;     9;     1
 19570304;   77000;   3.154;     9;     1
 19570305;   68000;   2.786;     9;     1
 19570306;   60000;   2.458;     9;     1
 19570307;   56000;   2.294;     9;     1
 19570308;   53000;   2.171;     9;     1
 19570309;   52000;   2.130;     9;     1
 19570310;   50000;   2.048;     9;     1
 19570311;   46000;   1.884;     9;     1
 19570312;   45000;   1.843;     9;     1
 19570313;   44000;   1.802;     9;     1
 19570314;   41000;   1.680;     9;     1
 19570315;   38000;   1.557;     9;     1
 19570316;   35000;   1.434;     9;     1
 19570317;   33000;   1.352;     9;     1
 19570318;   20000;   0.819;     9;     1
 19570319;   27000;   1.106;     9;     1
 19570320;   23000;   0.942;     9;     1
 19570321;   24000;   0.983;     9;     1
 19570322;   25000;   1.024;     9;     1
 19570323;   28000;   1.147;     9;     1
 19570324;   30000;   1.229;     9;     1
