## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:37:19
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Champagne-Ardenne
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : H6201010
## Nom station                      : L'Aisne à Mouron
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      829715 ;    6913526 ;      829661 ;    6913457 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      778020 ;    2481710 ;      778013 ;    2481649 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     4.78347 ;   49.30815 ;     4.78272 ;   49.30754 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :     2280.00 ;    2242.16 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         102 ;        100 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :     4.3 [%]
## Débits disponibles               :  1951-05-08 ; 2021-01-07 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    1/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19510508;   12500;   0.482;     9;     1
 19510509;   10500;   0.405;     9;     1
 19510510;   12000;   0.462;     9;     1
 19510511;   12000;   0.462;     9;     1
 19510512;   11500;   0.443;     9;     1
 19510513;   11000;   0.424;     9;     1
 19510514;   10500;   0.405;     9;     1
 19510515;    9500;   0.366;     9;     1
 19510516;    9300;   0.358;     9;     1
 19510517;    9600;   0.370;     9;     1
 19510518;    9800;   0.378;     9;     1
 19510519;   10500;   0.405;     9;     1
 19510520;   15500;   0.597;     9;     1
 19510521;   17500;   0.674;     9;     1
 19510522;   16500;   0.636;     9;     1
 19510523;   15500;   0.597;     9;     1
 19510524;   13000;   0.501;     9;     1
 19510525;   10500;   0.405;     9;     1
 19510526;   10500;   0.405;     9;     1
 19510527;   11000;   0.424;     9;     1
 19510528;   10500;   0.405;     9;     1
 19510529;   16000;   0.617;     9;     1
 19510530;   12500;   0.482;     9;     1
 19510531;   11000;   0.424;     9;     1
 19510601;   10500;   0.405;     9;     1
 19510602;   10500;   0.405;     9;     1
 19510603;   11500;   0.443;     9;     1
 19510604;   11500;   0.443;     9;     1
 19510605;   10500;   0.405;     9;     1
 19510606;   10500;   0.405;     9;     1
 19510607;   10500;   0.405;     9;     1
 19510608;    7500;   0.289;     9;     1
 19510609;    7200;   0.277;     9;     1
 19510610;    8300;   0.320;     9;     1
 19510611;    9000;   0.347;     9;     1
 19510612;    9000;   0.347;     9;     1
 19510613;    9100;   0.351;     9;     1
 19510614;    9800;   0.378;     9;     1
 19510615;   11000;   0.424;     9;     1
 19510616;   12500;   0.482;     9;     1
 19510617;   11500;   0.443;     9;     1
 19510618;   10500;   0.405;     9;     1
 19510619;   22000;   0.848;     9;     1
 19510620;   26000;   1.002;     9;     1
 19510621;   22000;   0.848;     9;     1
 19510622;   19000;   0.732;     9;     1
 19510623;   33000;   1.272;     9;     1
 19510624;   55000;   2.119;     9;     1
 19510625;   55000;   2.119;     9;     1
 19510626;   54000;   2.081;     9;     1
 19510627;   49000;   1.888;     9;     1
 19510628;   48000;   1.850;     9;     1
 19510629;   46000;   1.773;     9;     1
 19510630;   44000;   1.696;     9;     1
 19510701;   38000;   1.464;     9;     1
 19510702;   35000;   1.349;     9;     1
 19510703;   26000;   1.002;     9;     1
 19510704;   25000;   0.963;     9;     1
 19510705;   20000;   0.771;     9;     1
 19510706;   19000;   0.732;     9;     1
 19510707;   18500;   0.713;     9;     1
 19510708;   17000;   0.655;     9;     1
 19510709;   16000;   0.617;     9;     1
 19510710;   14500;   0.559;     9;     1
 19510711;   12500;   0.482;     9;     1
 19510712;   11500;   0.443;     9;     1
 19510713;   11000;   0.424;     9;     1
 19510714;   11000;   0.424;     9;     1
 19510715;   10500;   0.405;     9;     1
 19510716;   10000;   0.385;     9;     1
 19510717;    9800;   0.378;     9;     1
 19510718;    8300;   0.320;     9;     1
 19510719;    7800;   0.301;     9;     1
 19510720;    7500;   0.289;     9;     1
 19510721;    7300;   0.281;     9;     1
 19510722;    7300;   0.281;     9;     1
 19510723;    7000;   0.270;     9;     1
 19510724;    6800;   0.262;     9;     1
 19510725;    6700;   0.258;     9;     1
 19510726;    6700;   0.258;     9;     1
 19510727;    6700;   0.258;     9;     1
 19510728;    6700;   0.258;     9;     1
 19510729;    6400;   0.247;     9;     1
 19510730;    6400;   0.247;     9;     1
 19510731;    6200;   0.239;     9;     1
 19510801;    5900;   0.227;     9;     1
 19510802;    6800;   0.262;     9;     1
 19510803;    6700;   0.258;     9;     1
 19510804;    6000;   0.231;     9;     1
 19510805;    7200;   0.277;     9;     1
 19510806;    7500;   0.289;     9;     1
 19510807;    7500;   0.289;     9;     1
 19510808;    7800;   0.301;     9;     1
 19510809;    8300;   0.320;     9;     1
 19510810;    9100;   0.351;     9;     1
 19510811;    8800;   0.339;     9;     1
 19510812;    8800;   0.339;     9;     1
 19510813;    8500;   0.328;     9;     1
 19510814;    8300;   0.320;     9;     1
 19510815;    7800;   0.301;     9;     1
 19510816;    7300;   0.281;     9;     1
 19510817;    6700;   0.258;     9;     1
 19510818;    6400;   0.247;     9;     1
 19510819;    6000;   0.231;     9;     1
 19510820;    5900;   0.227;     9;     1
 19510821;    3900;   0.150;     9;     1
 19510822;    3900;   0.150;     9;     1
 19510823;    5400;   0.208;     9;     1
 19510824;    5200;   0.200;     9;     1
 19510825;    5200;   0.200;     9;     1
 19510826;    5100;   0.197;     9;     1
 19510827;    4500;   0.173;     9;     0
 19510828;    4500;   0.173;     9;     0
 19510829;    4500;   0.173;     9;     0
 19510830;    4500;   0.173;     9;     0
 19510831;    4500;   0.173;     9;     0
 19510901;    4500;   0.173;     9;     0
 19510902;    4500;   0.173;     9;     0
 19510903;    4200;   0.162;     9;     1
 19510904;    7500;   0.289;     9;     1
 19510905;    6700;   0.258;     9;     1
 19510906;    6000;   0.231;     9;     1
 19510907;    5900;   0.227;     9;     1
 19510908;    5100;   0.197;     9;     1
 19510909;    2600;   0.100;     9;     0
 19510910;    2600;   0.100;     9;     0
 19510911;    2600;   0.100;     9;     0
 19510912;    2600;   0.100;     9;     0
 19510913;    2600;   0.100;     9;     0
 19510914;    2600;   0.100;     9;     0
 19510915;    6200;   0.239;     9;     1
 19510916;    5500;   0.212;     9;     1
 19510917;    2600;   0.100;     9;     0
 19510918;    2600;   0.100;     9;     0
 19510919;    2600;   0.100;     9;     0
 19510920;    2600;   0.100;     9;     0
 19510921;    2600;   0.100;     9;     0
 19510922;    2600;   0.100;     9;     0
 19510923;    2600;   0.100;     9;     0
 19510924;    2600;   0.100;     9;     0
 19510925;    2600;   0.100;     9;     0
 19510926;    2600;   0.100;     9;     0
 19510927;    2600;   0.100;     9;     0
 19510928;    2600;   0.100;     9;     0
 19510929;    2600;   0.100;     9;     0
 19510930;    2600;   0.100;     9;     0
 19511001;    3200;   0.123;     9;     1
 19511002;    3200;   0.123;     9;     1
 19511003;    3600;   0.139;     9;     1
 19511004;    3900;   0.150;     9;     1
 19511005;    3900;   0.150;     9;     1
 19511006;    3200;   0.123;     9;     1
 19511007;    3900;   0.150;     9;     1
 19511008;    4100;   0.158;     9;     0
 19511009;    4100;   0.158;     9;     0
 19511010;    4100;   0.158;     9;     0
 19511011;    4100;   0.158;     9;     0
 19511012;    4100;   0.158;     9;     0
 19511013;    4100;   0.158;     9;     0
 19511014;    4100;   0.158;     9;     0
 19511015;    4100;   0.158;     9;     0
 19511016;    4100;   0.158;     9;     0
 19511017;    4100;   0.158;     9;     0
 19511018;    3900;   0.150;     9;     0
 19511019;    3900;   0.150;     9;     0
 19511020;    3900;   0.150;     9;     0
 19511021;    3900;   0.150;     9;     0
 19511022;    3900;   0.150;     9;     0
 19511023;    3900;   0.150;     9;     0
 19511024;    3900;   0.150;     9;     0
 19511025;    3900;   0.150;     9;     0
 19511026;    3900;   0.150;     9;     0
 19511027;    3900;   0.150;     9;     0
 19511028;    3600;   0.139;     9;     1
 19511029;    4100;   0.158;     9;     1
 19511030;    4200;   0.162;     9;     1
 19511031;    4500;   0.173;     9;     1
 19511101;    4200;   0.162;     9;     1
 19511102;    6700;   0.258;     9;     1
 19511103;    9000;   0.347;     9;     1
 19511104;    8300;   0.320;     9;     1
 19511105;    8300;   0.320;     9;     1
 19511106;    8300;   0.320;     9;     1
 19511107;    8500;   0.328;     9;     1
 19511108;   11500;   0.443;     9;     1
 19511109;   10500;   0.405;     9;     1
 19511110;   14000;   0.539;     9;     1
 19511111;   46000;   1.773;     9;     1
 19511112;   19000;   0.732;     9;     1
 19511113;   19000;   0.732;     9;     1
 19511114;   19000;   0.732;     9;     1
 19511115;   18000;   0.694;     9;     1
 19511116;   17000;   0.655;     9;     1
 19511117;   14000;   0.539;     9;     1
 19511118;   13500;   0.520;     9;     1
 19511119;   17500;   0.674;     9;     1
 19511120;   18500;   0.713;     9;     1
 19511121;   20000;   0.771;     9;     1
 19511122;   25000;   0.963;     9;     1
 19511123;   44000;   1.696;     9;     1
 19511124;   46000;   1.773;     9;     1
 19511125;   50000;   1.927;     9;     1
 19511126;   58000;   2.235;     9;     1
 19511127;   55000;   2.119;     9;     1
 19511128;   54000;   2.081;     9;     1
