## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:37:44
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Picardie
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : H7021010
## Nom station                      : L'Oise à Hirson
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      777535 ;    6981148 ;      777466 ;    6981166 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      725234 ;    2548924 ;      725213 ;    2548949 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     4.07886 ;   49.92422 ;     4.07791 ;   49.92439 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      315.00 ;     315.84 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         161 ;        167 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       0 [%]
## Débits disponibles               :  1965-01-01 ; 2020-12-15 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    3/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19650101;   23000;   6.292;     9;     1
 19650102;   18100;   4.951;     9;     1
 19650103;   11300;   3.091;     9;     1
 19650104;    9300;   2.544;     9;     1
 19650105;    8350;   2.284;     9;     1
 19650106;    4900;   1.340;     9;     1
 19650107;    5900;   1.614;     9;     1
 19650108;    8350;   2.284;     9;     1
 19650109;   20600;   5.635;     9;     1
 19650110;   25500;   6.976;     9;     1
 19650111;   26000;   7.112;     9;     1
 19650112;   15200;   4.158;     9;     1
 19650113;   10800;   2.954;     9;     1
 19650114;   14500;   3.967;     9;     1
 19650115;   14500;   3.967;     9;     1
 19650116;   15700;   4.295;     9;     1
 19650117;   36500;   9.985;     9;     1
 19650118;   37700;  10.313;     9;     1
 19650119;   20600;   5.635;     9;     1
 19650120;   13200;   3.611;     9;     1
 19650121;   10800;   2.954;     9;     1
 19650122;   10800;   2.954;     9;     1
 19650123;    7100;   1.942;     9;     1
 19650124;    7100;   1.942;     9;     1
 19650125;    9550;   2.612;     9;     1
 19650126;    7100;   1.942;     9;     1
 19650127;    7100;   1.942;     9;     1
 19650128;    5900;   1.614;     9;     1
 19650129;    5900;   1.614;     9;     1
 19650130;    4660;   1.275;     9;     1
 19650131;   10800;   2.954;     9;     1
 19650201;   15700;   4.295;     9;     1
 19650202;   10800;   2.954;     9;     1
 19650203;    8350;   2.284;     9;     1
 19650204;    5400;   1.477;     9;     1
 19650205;    8350;   2.284;     9;     1
 19650206;    8350;   2.284;     9;     1
 19650207;    5900;   1.614;     9;     1
 19650208;    5900;   1.614;     9;     1
 19650209;    4660;   1.275;     9;     1
 19650210;    4900;   1.340;     9;     1
 19650211;    4900;   1.340;     9;     1
 19650212;    4660;   1.275;     9;     1
 19650213;    5900;   1.614;     9;     0
 19650214;    5900;   1.614;     9;     0
 19650215;    5900;   1.614;     9;     0
 19650216;    5900;   1.614;     9;     0
 19650217;    5900;   1.614;     9;     0
 19650218;    4660;   1.275;     9;     1
 19650219;    4660;   1.275;     9;     1
 19650220;    4660;   1.275;     9;     1
 19650221;    4660;   1.275;     9;     1
 19650222;    4170;   1.141;     9;     1
 19650223;    4170;   1.141;     9;     1
 19650224;    4170;   1.141;     9;     1
 19650225;    3920;   1.072;     9;     0
 19650226;    3920;   1.072;     9;     0
 19650227;    3920;   1.072;     9;     0
 19650228;    3920;   1.072;     9;     0
 19650301;    3920;   1.072;     9;     0
 19650302;    3920;   1.072;     9;     0
 19650303;    3920;   1.072;     9;     0
 19650304;    3920;   1.072;     9;     0
 19650305;    3920;   1.072;     9;     0
 19650306;    3920;   1.072;     9;     0
 19650307;    3920;   1.072;     9;     0
 19650308;    3920;   1.072;     9;     0
 19650309;    3920;   1.072;     9;     0
 19650310;    3920;   1.072;     9;     0
 19650311;    3920;   1.072;     9;     0
 19650312;    3920;   1.072;     9;     0
 19650313;    3920;   1.072;     9;     0
 19650314;    3430;   0.938;     9;     1
 19650315;    3920;   1.072;     9;     1
 19650316;    8350;   2.284;     9;     1
 19650317;    9550;   2.612;     9;     1
 19650318;    8350;   2.284;     9;     1
 19650319;    7850;   2.147;     9;     1
 19650320;    5900;   1.614;     9;     1
 19650321;   12000;   3.283;     9;     1
 19650322;   15700;   4.295;     9;     1
 19650323;   10800;   2.954;     9;     1
