## ========================================================================================================================================================================================================
## Date de création du fichier      : 2021-04-06 20:37:46
## Auteurs                          : Pierre-Yves Bourgin - Pierre Brigode - Laurent Coron - Olivier Delaigue - Benoît Génot
## Créateur du fichier              : J. Boissonnat
## Entité                           : INRAE - UR HYCAR
## Extraction données hydrologiques : INRAE - UR HYCAR - 2021-03-01
## Producteur données hydrologiques : SCHAPI (BANQUE HYDRO) DREAL Picardie
## Source MNT                       : France_100m_L2E [NASA - SRTM]
## Source plan de drainage          : France_100m_L2E [INRAE - Nicolas Le Moine (Sorbonne Université - UMR METIS)]
## ========================================================================================================================================================================================================
## Code station                     : H7033010
## Nom station                      : Le Thon à Origny-en-Thiérache
## Territoire                       : Métropole continentale
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Définition position stations     :        2018
## Coordonnées station L93          :      773018 ;    6977932 ;      772941 ;    6977906 ; (BANQUE HYDRO ; INRAE Lambert 93 [m])
## Coordonnées station L2E          :      720742 ;    2545668 ;      720713 ;    2545649 ; (BANQUE HYDRO ; INRAE Lambert 2 étendu [m])
## Coordonnées station WGS84        :     4.01545 ;   49.89587 ;     4.01437 ;   49.89564 ; (BANQUE HYDRO ; INRAE WGS84 [degrés décimaux])
## Superficie bassin                :      258.00 ;     258.58 ;                            (BANQUE HYDRO ; INRAE [km2])
## Altitude station                 :         140 ;        137 ;                            (BANQUE HYDRO ; INRAE [m])
## --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
## Pas de temps                     :  Journalier
## Interpolation des débits         :           -
## Taux de lacunes                  :       0 [%]
## Débits disponibles               :  1967-01-01 ; 2021-01-11 ;                            (BANQUE HYDRO ; Période [AAAA-MM-JJ])
## Caractéristiques                 :           1 ;    3/1/1/- ;       1/1/1 ;      01/09 ; (BANQUE HYDRO ; Statut ; Finalité/Type/Influence/Débit ; QBE/QME/QHE ; MoisE/MoisA)
##     Statut      : [0] inconnu, [1] station avec signification hydrologique, [2] station sans signification hydrologique, [3] station d'essai
##     Finalité    : [0] inconnue, [1] hydrométrie générale, [2] alerte de crue, [3] 1 et 2, [4] gestion d'ouvrage, [5] police des eaux, [6] suivi d'étiage, [7] bassin expérimental, [8] drainage
##     Type        : [0] inconnu, [1] une échelle, [2] deux échelles, station mère, [3] deux échelles, station fille, [4] débits mesurés, [5] virtuelle
##     Influence   : [0] inconnue, [1] nulle ou faible, [2] en étiage seulement, [3] forte en toute saison
##     Débit       : [0] reconstitué, [1] réel (prise en compte de l'eau rajoutée ou retirée du bassin selon aménagements), [2] naturel
##     QBE,QME,QHE : qualité basses, moyennes, hautes eaux : [0] inconnue, [1] bonne, [2] douteuse
##     MoisE/MoisA : premier mois d'étiage, premier mois de l'année hydrologique [MM]
## ========================================================================================================================================================================================================
## Champs
##     Date        : date [AAAAMMJJ] (horodatage : UTC)
##     Qls         : débit [l/s]
##     Qmmj        : lame d'eau [mm/j] (calcul avec la surface INRAE)
##     Val_H       : code de validité BANQUE HYDRO ([5] estimé (anciennement douteux), [I] inconnu faible, [S] inconnu fort, [8] reconstitué bon, [9] bon)
##     Val_I       : code de validité INRAE ([0] anomalie présumée : valeur interpolée, [1] pas d anomalie détectée, [2] débit négatif)
## ========================================================================================================================================================================================================
     Date;     Qls;    Qmmj; val_H; val_I
 19670101;   18400;   6.148;     5;     1
 19670102;   13600;   4.544;     9;     1
 19670103;   10200;   3.408;     9;     1
 19670104;    8850;   2.957;     9;     1
 19670105;    8050;   2.690;     9;     1
 19670106;    7550;   2.523;     9;     1
 19670107;    6550;   2.189;     9;     1
 19670108;    6550;   2.189;     9;     1
 19670109;    6350;   2.122;     9;     1
 19670110;    6000;   2.005;     9;     1
 19670111;    6000;   2.005;     9;     1
 19670112;    5750;   1.921;     9;     1
 19670113;    6550;   2.189;     9;     1
 19670114;    8050;   2.690;     9;     1
 19670115;    7300;   2.439;     9;     1
 19670116;    6350;   2.122;     9;     1
 19670117;    5850;   1.955;     9;     1
 19670118;    5200;   1.737;     9;     1
 19670119;    5200;   1.737;     9;     1
 19670120;    4980;   1.664;     9;     1
 19670121;    5100;   1.704;     9;     1
 19670122;    7550;   2.523;     9;     1
 19670123;    6000;   2.005;     9;     1
 19670124;   10700;   3.575;     9;     1
 19670125;    7200;   2.406;     9;     1
 19670126;   12900;   4.310;     9;     1
 19670127;   16400;   5.480;     5;     1
 19670128;   11800;   3.943;     9;     1
 19670129;    8300;   2.773;     9;     1
 19670130;    6550;   2.189;     9;     1
 19670131;    6000;   2.005;     9;     1
 19670201;    5300;   1.771;     9;     1
 19670202;    8300;   2.773;     9;     1
 19670203;    8200;   2.740;     9;     1
 19670204;    6700;   2.239;     9;     1
 19670205;    6000;   2.005;     9;     1
 19670206;    5400;   1.804;     9;     1
 19670207;    5200;   1.737;     9;     1
 19670208;    5100;   1.704;     9;     1
 19670209;    4560;   1.524;     9;     1
 19670210;    4560;   1.524;     9;     1
 19670211;    4350;   1.453;     9;     1
 19670212;    4350;   1.453;     9;     1
 19670213;    4250;   1.420;     9;     1
 19670214;    4040;   1.350;     9;     1
 19670215;    4140;   1.383;     9;     1
 19670216;    4450;   1.487;     9;     1
 19670217;    4140;   1.383;     9;     1
 19670218;    4140;   1.383;     9;     1
 19670219;    4880;   1.631;     9;     1
 19670220;   15800;   5.279;     5;     1
 19670221;   23500;   7.852;     5;     1
 19670222;   10700;   3.575;     9;     1
 19670223;    7800;   2.606;     9;     1
 19670224;    6000;   2.005;     9;     1
 19670225;    5300;   1.771;     9;     1
 19670226;    5200;   1.737;     9;     1
 19670227;    6800;   2.272;     9;     1
 19670228;    8700;   2.907;     9;     1
 19670301;   12100;   4.043;     9;     1
 19670302;    7550;   2.523;     9;     1
 19670303;    6200;   2.072;     9;     1
 19670304;    5850;   1.955;     9;     1
 19670305;    5400;   1.804;     9;     1
 19670306;    5400;   1.804;     9;     1
 19670307;    4660;   1.557;     9;     1
 19670308;    4560;   1.524;     9;     1
 19670309;    4660;   1.557;     9;     1
 19670310;    4560;   1.524;     9;     1
 19670311;    4660;   1.557;     9;     1
 19670312;    4660;   1.557;     9;     1
 19670313;    8050;   2.690;     9;     1
 19670314;    7550;   2.523;     9;     1
 19670315;    5400;   1.804;     9;     1
 19670316;    5200;   1.737;     9;     1
 19670317;    4560;   1.524;     9;     1
 19670318;    4560;   1.524;     9;     1
 19670319;    4660;   1.557;     9;     1
 19670320;    4450;   1.487;     9;     1
 19670321;    4250;   1.420;     9;     1
 19670322;    3840;   1.283;     9;     1
 19670323;    4040;   1.350;     9;     1
 19670324;    3640;   1.216;     9;     1
